.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR950158_1	1	0.25	0.5	1	0.5	1	1	1	0.5	0.5	0.25
ERR950159_1	1	0.25	0.5	1	0.5	0.5	0.5	1	1	0.5	0.25
ERR950160_1	1	0.25	0.5	1	0.5	0.5	1	1	0.25	0.25	0.25
ERR950161_1	1	0.25	0.5	1	0.5	1	1	1	0.25	0.25	0.25
ERR950162_1	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
ERR950163_1	1	0.25	0.5	1	0.5	1	1	1	0.5	0.5	0.25
ERR950164_1	1	0.25	0.5	1	0.5	1	1	1	0.5	0.25	0.25
ERR950165_1	1	0.25	0.5	1	0.5	0.5	1	1	0.5	0.25	0.25
ERR950166_1	1	0.25	0.5	1	0.5	1	0.5	1	1	0.5	0.25
ERR950167_1	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR950168_1	1	0.25	0.5	1	0.5	0.5	1	1	0.25	0.5	0.25
ERR950169_1	1	0.25	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.25
ERR950170_1	1	0.25	0.5	1	0.5	0.25	0.5	1	1	0.5	0.25
ERR950171_1	1	0.25	0.25	1	0.5	1	0.5	1	1	0.5	0.25
ERR950172_1	1	0.25	0.5	1	0.5	1	1	1	0.25	0.25	0.25
ERR950173_1	1	0.25	0.5	1	0.5	0.5	1	1	0.25	0.25	0.5
ERR950174_1	1	0.25	0.5	1	0.5	0.5	1	1	0.25	0.25	0.5
ERR950175_1	1	0.25	0.5	1	0.5	0.5	0.5	1	1	0.5	0.5
ERR950176_1	1	0.25	0.5	1	0.25	0.25	0.5	1	0.25	0.5	0.25
ERR950177_1	1	0.25	0.5	1	0.5	0.5	1	1	0.25	0.25	0.25
ERR950178_1	1	0.25	0.5	1	0.5	1	1	1	0.5	0.25	0.25
ERR950179_1	1	0.25	0.5	1	0.5	1	1	1	0.25	0.25	0.25
ERR950180_1	1	0.25	0.5	1	0.5	1	1	1	0.25	0.25	0.25
ERR950181_1	1	0.25	0.5	1	0.5	0.5	0.5	1	1	0.5	0.25
ERR950182_1	1	0.25	0.5	1	0.5	0.5	1	1	0.25	0.25	0.5
ERR950183_1	1	1	1	1	0.5	1	1	0.5	0.5	0.5	0.25
ERR950184_1	1	0.25	0.5	1	0.5	1	0.5	1	1	0.5	0.25
ERR950185_1	1	0.25	0.5	1	0.5	1	1	1	0.5	0.5	0.25
ERR950186_1	1	0.25	0.5	1	0.5	0.5	0.5	1	1	0.5	0.25
ERR950187_1	1	0.25	0.5	1	0.5	0.5	1	1	0.25	0.25	0.5
