Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
ERR950158_1 - illumina_universal_adapter	(1, 0.0022923547944937637)	(2, 0.00280746040125648)	(3, 0.003419653975785991)	(4, 0.004320414565622364)	(5, 0.006955274135293432)	(6, 0.01082530840599761)	(7, 0.015202357619483938)	(8, 0.01879461242685534)	(9, 0.02061231493448922)	(10, 0.0224300174421231)	(12, 0.023994212478365903)	(14, 0.025619087494462952)	(16, 0.02801257558871379)	(18, 0.03154145352823743)	(20, 0.03708760368691558)	(22, 0.044049620042192816)	(24, 0.05385685323063584)	(26, 0.06818002536423158)	(28, 0.09009089186760168)	(30, 0.11932246082938744)	(32, 0.1533612326396263)	(34, 0.19575631189779336)	(36, 0.24770646531700907)	(38, 0.31276349438474205)	(40, 0.38430114530090864)	(42, 0.4702752376463989)	(44, 0.5706655447612614)	(46, 0.6957431645688249)	(48, 0.8485380507298117)	(50, 1.0439114045325248)	(52, 1.2882561989656085)	(54, 1.5573719096191927)	(56, 1.8399032895965521)	(58, 2.1636390727829387)	(60, 2.5148709775072797)	(62, 2.925534202944867)	(64, 3.3424124067635255)	(66, 3.8092720357661287)	(68, 4.336806250846991)	(70, 4.950982038051741)	(72, 5.6309066060945625)	(74, 6.344345401232882)	(76, 7.125006826497733)	(78, 7.922043755659251)	(80, 8.728673515413726)	(82, 9.574929998901018)	(84, 10.449677755595875)	(86, 11.389777850593752)	(88, 12.406816114714829)	(90, 13.142288484760224)
ERR950158_1 - polya	(1, 0.007179115838755763)	(2, 0.023514166415518973)	(3, 0.027791430773244984)	(4, 0.03278067356126082)	(5, 0.03870573648302882)	(6, 0.05020256999941343)	(7, 0.059822369472306666)	(8, 0.07714448105469895)	(9, 0.08902966644215074)	(10, 0.1100802256755873)	(12, 0.13612811836102026)	(14, 0.16371863097874784)	(16, 0.19009149866740022)	(18, 0.2137445548145856)	(20, 0.23611254383285768)	(22, 0.2619096259348931)	(24, 0.2929251863043937)	(26, 0.3403243412345409)	(28, 0.3769750490665059)	(30, 0.4196910579959021)	(32, 0.48758116790083)	(34, 0.5617806472666029)	(36, 0.605371796349897)	(38, 0.6535705785701235)	(40, 0.691442976663154)	(42, 0.7235952753219241)	(44, 0.7551623492861)	(46, 0.791130744455704)	(48, 0.8190988213925245)	(50, 0.8425334296122347)	(52, 0.8636433203815288)	(54, 0.883826830125048)	(56, 0.9042854224439064)	(58, 0.9239012372647892)	(60, 0.9424517813282308)	(62, 0.9612005466591962)	(64, 0.9811076253833795)	(66, 0.9990918229681814)	(68, 1.0162629088229365)	(70, 1.0345693845229644)	(72, 1.0527598940392706)	(74, 1.0726818056474183)	(76, 1.0916625033458267)	(78, 1.111924222841158)	(80, 1.135934616647485)	(82, 1.1730276141103877)	(84, 1.2039703585040633)	(86, 1.226102369822902)	(88, 1.2463951035301588)	(90, 1.2620330085605966)
ERR950159_1 - illumina_universal_adapter	(1, 0.002608118648776186)	(2, 0.0032706461051737142)	(3, 0.004068478464638344)	(4, 0.004922299059854877)	(5, 0.007866347123142485)	(6, 0.011818183429964362)	(7, 0.015116823653014028)	(8, 0.017486992299844625)	(9, 0.018340812895061155)	(10, 0.019385926629096696)	(12, 0.0202374143811569)	(14, 0.020944265857524683)	(16, 0.021870404590587426)	(18, 0.02333543009276224)	(20, 0.02597154285941438)	(22, 0.028824610039605146)	(24, 0.032323874774099134)	(26, 0.038023010605011676)	(28, 0.048660775397873404)	(30, 0.06438180542837672)	(32, 0.08122026733076179)	(34, 0.10341027143376633)	(36, 0.1310358000910182)	(38, 0.16556654449100489)	(40, 0.204301072258697)	(42, 0.2534797388372755)	(44, 0.30953795988386923)	(46, 0.38069667468138263)	(48, 0.47118066218592813)	(50, 0.59511528770908)	(52, 0.758062049335527)	(54, 0.9358713547109481)	(56, 1.1145624747994618)	(58, 1.3300518628359144)	(60, 1.5671597084020705)	(62, 1.8682434446874023)	(64, 2.1674445765455763)	(66, 2.505496878329259)	(68, 2.8954596060275817)	(70, 3.402862323901835)	(72, 3.977450924678373)	(74, 4.562637631914115)	(76, 5.219601257383799)	(78, 5.880726675044373)	(80, 6.531858192623233)	(82, 7.212222567794055)	(84, 7.926896067265012)	(86, 8.766201712362864)	(88, 9.681945296321004)	(90, 10.316994193180129)
ERR950159_1 - polya	(1, 0.006727919662853774)	(2, 0.02666439727684419)	(3, 0.036266379708295694)	(4, 0.042527730739883605)	(5, 0.05043140335352736)	(6, 0.06448445052725521)	(7, 0.07631663101615756)	(8, 0.09506335862042001)	(9, 0.1077027028414123)	(10, 0.1316096795074752)	(12, 0.15932618904782395)	(14, 0.1879478417328284)	(16, 0.216137918433912)	(18, 0.24035283039661037)	(20, 0.2631750349949802)	(22, 0.2921092886629328)	(24, 0.32350235901765656)	(26, 0.3791873251592376)	(28, 0.41806648920262207)	(30, 0.4640864861475307)	(32, 0.5427662872810498)	(34, 0.6290441585747336)	(36, 0.6735851329585294)	(38, 0.7235219735629149)	(40, 0.7612230518123532)	(42, 0.7947553393414309)	(44, 0.8269415763693067)	(46, 0.8648852703070031)	(48, 0.8931663278911834)	(50, 0.9137956599226038)	(52, 0.9353954547070569)	(54, 0.9567992906663785)	(56, 0.9775149378945829)	(58, 0.9957717684360163)	(60, 1.012698878378342)	(62, 1.0301882035213428)	(64, 1.0496231198567223)	(66, 1.0665945538190182)	(68, 1.0834493456234975)	(70, 1.1013492511620124)	(72, 1.1203875841608162)	(74, 1.1403357259905884)	(76, 1.1604774938023357)	(78, 1.1808688758318102)	(80, 1.2040386740604732)	(82, 1.2393905792514877)	(84, 1.2692743000840663)	(86, 1.2907061301612637)	(88, 1.311634066116694)	(90, 1.3281622598792875)
ERR950160_1 - illumina_universal_adapter	(1, 0.014576343428383876)	(2, 0.01859919360670482)	(3, 0.023708862179975376)	(4, 0.028215103226497788)	(5, 0.04037773654788909)	(6, 0.06101106488185781)	(7, 0.09369996681473027)	(8, 0.11301289190468557)	(9, 0.11699032280679966)	(10, 0.11867408026046787)	(12, 0.11991175553710451)	(14, 0.12117051833483719)	(16, 0.12293375952186739)	(18, 0.1261066203883173)	(20, 0.13241827766406197)	(22, 0.1379448303082311)	(24, 0.1453400617449106)	(26, 0.15708418887839595)	(28, 0.178267414877869)	(30, 0.20996682543623513)	(32, 0.24397613061312096)	(34, 0.28825830279779174)	(36, 0.33982540246263965)	(38, 0.40166374701826507)	(40, 0.4705793880771221)	(42, 0.5588825716082741)	(44, 0.6492344889197568)	(46, 0.7575059328118486)	(48, 0.8919534788521524)	(50, 1.0687042143281142)	(52, 1.2886097506686123)	(54, 1.5257989437228239)	(56, 1.8045581293253545)	(58, 2.093731306115313)	(60, 2.393625054207095)	(62, 2.76638592038773)	(64, 3.1453221860154894)	(66, 3.566996368436886)	(68, 4.032816465214333)	(70, 4.626787049809407)	(72, 5.254572285540478)	(74, 5.901032954377603)	(76, 6.617998938940824)	(78, 7.3072137457416595)	(80, 8.020768418238344)	(82, 8.790857112676498)	(84, 9.564117045864093)	(86, 10.425758024199196)	(88, 11.386923991522558)	(90, 12.036429373982548)
ERR950160_1 - polya	(1, 0.0050804704671375805)	(2, 0.026518368836770487)	(3, 0.03200436855575493)	(4, 0.03865829252005837)	(5, 0.04644769838953304)	(6, 0.05905803600496329)	(7, 0.06872585336899266)	(8, 0.08404837062077478)	(9, 0.09504632393086188)	(10, 0.11322052288163117)	(12, 0.13415069862795181)	(14, 0.1541546455630542)	(16, 0.17193953643205048)	(18, 0.18750050488391856)	(20, 0.20282951060373022)	(22, 0.22011803366846594)	(24, 0.24182195922731042)	(26, 0.27818333406490814)	(28, 0.30600101862459594)	(30, 0.33992435160009027)	(32, 0.39543806194391196)	(34, 0.4546761529366952)	(36, 0.4881550258521654)	(38, 0.5269138896266817)	(40, 0.5552295641076377)	(42, 0.5803318247969588)	(44, 0.6047657732792364)	(46, 0.6331220006853768)	(48, 0.6552590314851938)	(50, 0.6733310370644977)	(52, 0.6887184389965753)	(54, 0.703658136634614)	(56, 0.7186951612930959)	(58, 0.7332861037745462)	(60, 0.7471925128788791)	(62, 0.7614492992568076)	(64, 0.7784344864411619)	(66, 0.7948276009178197)	(68, 0.8102117586158826)	(70, 0.8317210301338405)	(72, 0.8508749877570718)	(74, 0.8653004743037687)	(76, 0.8791436208448135)	(78, 0.8942357974815465)	(80, 0.9114594358659869)	(82, 0.937663114003324)	(84, 0.9599396468657764)	(86, 0.9760278033450454)	(88, 0.9908344873884782)	(90, 1.0022022833762496)
ERR950161_1 - illumina_universal_adapter	(1, 0.004289448352881585)	(2, 0.004943990230613213)	(3, 0.005795153383868968)	(4, 0.007049907576358454)	(5, 0.011194477094643315)	(6, 0.01717331614380456)	(7, 0.024973489113610334)	(8, 0.03156806320980766)	(9, 0.034936496114181495)	(10, 0.039394107400077136)	(12, 0.044018588057963645)	(14, 0.049194125711726974)	(16, 0.05542908984347886)	(18, 0.06767393848894843)	(20, 0.09011851580223201)	(22, 0.11243503057422027)	(24, 0.1403733615529707)	(26, 0.17661118005647636)	(28, 0.23242575108486435)	(30, 0.31085306235955)	(32, 0.4011048149471701)	(34, 0.5152395847058555)	(36, 0.6501890448886114)	(38, 0.8134894820165137)	(40, 1.0013339459983288)	(42, 1.2322966795659709)	(44, 1.4857466779606616)	(46, 1.7864478734102556)	(48, 2.14776921908937)	(50, 2.601424950603432)	(52, 3.1348144900255965)	(54, 3.6947685986198895)	(56, 4.308816842081734)	(58, 4.969475969892005)	(60, 5.63588756357238)	(62, 6.376893647215743)	(64, 7.126142301698842)	(66, 7.924927875564811)	(68, 8.7774039932591)	(70, 9.797865826107264)	(72, 10.856258748838286)	(74, 11.864535236848049)	(76, 12.938254270581766)	(78, 13.990514420501867)	(80, 15.027207857068959)	(82, 16.09887659658093)	(84, 17.161200651261407)	(86, 18.284703674533425)	(88, 19.477194894293945)	(90, 20.311376178437325)
ERR950161_1 - polya	(1, 0.003474504908275011)	(2, 0.020859965059881917)	(3, 0.024681144322370514)	(4, 0.029524236793175295)	(5, 0.036126572255511726)	(6, 0.04842833758600144)	(7, 0.059123500125695325)	(8, 0.08033013953979083)	(9, 0.0941298485351288)	(10, 0.11667532360822083)	(12, 0.14727580317268607)	(14, 0.1776007542392129)	(16, 0.20481339748395655)	(18, 0.22894865905454298)	(20, 0.2519611096570048)	(22, 0.2785515500495964)	(24, 0.30946636494269564)	(26, 0.3544512430849785)	(28, 0.3898779988269471)	(30, 0.43122797049408)	(32, 0.503421611198037)	(34, 0.5834736351178431)	(36, 0.6276461569375656)	(38, 0.67779363712338)	(40, 0.7149395354651615)	(42, 0.7476782714009517)	(44, 0.7781054137883101)	(46, 0.8111895305172907)	(48, 0.8379054463291312)	(50, 0.8597342885953787)	(52, 0.8793045733151452)	(54, 0.89859803597595)	(56, 0.9174607428160342)	(58, 0.9343856952433872)	(60, 0.9499265373759322)	(62, 0.9664957605219094)	(64, 0.9841464006832692)	(66, 1.0001542183451841)	(68, 1.0155062005683442)	(70, 1.0329498709659943)	(72, 1.0504388159994562)	(74, 1.067438794966154)	(76, 1.0843533989053213)	(78, 1.102623654796787)	(80, 1.1240540802678933)	(82, 1.160536381804781)	(84, 1.1922519109712317)	(86, 1.2140975695307805)	(88, 1.2348255913662975)	(90, 1.2519109453605257)
ERR950162_1 - illumina_universal_adapter	(1, 0.15936576015622253)	(2, 0.23609609350387434)	(3, 0.3413446451413024)	(4, 0.42680959589989675)	(5, 0.6270906824493958)	(6, 0.9997625660337589)	(7, 1.698252594678588)	(8, 2.153803387657801)	(9, 2.2565248463471104)	(10, 2.2924769724421794)	(12, 2.3108355594476317)	(14, 2.320110964497573)	(16, 2.3334435583273043)	(18, 2.35163555198425)	(20, 2.377613862452945)	(22, 2.405501588992988)	(24, 2.4439449263918824)	(26, 2.4974457395212015)	(28, 2.5782755507294173)	(30, 2.6990224097271653)	(32, 2.8383662123674593)	(34, 2.982651430021926)	(36, 3.143326870194871)	(38, 3.327493253994575)	(40, 3.512983414171261)	(42, 3.7409189965728933)	(44, 3.972610618239706)	(46, 4.226896142425934)	(48, 4.531032803921884)	(50, 4.940585891891066)	(52, 5.4682062489216285)	(54, 6.002490339892463)	(56, 6.742141740491441)	(58, 7.396645999181283)	(60, 7.970720270699326)	(62, 8.715168278248004)	(64, 9.309505426893661)	(66, 9.977933045056787)	(68, 10.711367950781867)	(70, 11.68491256822254)	(72, 12.722262438141327)	(74, 13.822722994423685)	(76, 14.97236831462174)	(78, 15.978226915723551)	(80, 16.94690188143864)	(82, 18.069310470643124)	(84, 19.133116645792093)	(86, 20.340254612047147)	(88, 21.835405566637288)	(90, 22.80152652817104)
ERR950162_1 - polya	(1, 0.012143373618851436)	(2, 0.07698406783230068)	(3, 0.08903261139123285)	(4, 0.10518447727261776)	(5, 0.12182074535196868)	(6, 0.1492830181096709)	(7, 0.1751254909249683)	(8, 0.2187319406402782)	(9, 0.2603238923259517)	(10, 0.312999427636514)	(12, 0.37400719334701005)	(14, 0.42273318481066435)	(16, 0.47147327263457695)	(18, 0.5059593772627862)	(20, 0.538871815491254)	(22, 0.5738051591858393)	(24, 0.6081426112876887)	(26, 0.6699948771263847)	(28, 0.7149430440408227)	(30, 0.7786752517430534)	(32, 0.893012111285177)	(34, 1.0152608733940784)	(36, 1.0710196671393133)	(38, 1.1317403796954593)	(40, 1.1775702098696872)	(42, 1.2202988407870956)	(44, 1.2646677754436484)	(46, 1.327032636200827)	(48, 1.3765928758943113)	(50, 1.4008309266147587)	(52, 1.4206324683157392)	(54, 1.4388629065915708)	(56, 1.4554466336917773)	(58, 1.4727069860843807)	(60, 1.4873236301849104)	(62, 1.5024567136658113)	(64, 1.5448021798816542)	(66, 1.6035212092811255)	(68, 1.664730168497126)	(70, 1.8319501642917975)	(72, 1.9892655447740897)	(74, 2.0137803967505175)	(76, 2.0276819709397635)	(78, 2.0401495608445552)	(80, 2.054636774728168)	(82, 2.0799012967728765)	(84, 2.1015225504344706)	(86, 2.1171810437068155)	(88, 2.13263065454988)	(90, 2.145847914522952)
