Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR950158_1	(1, 0.008775673530920831)	(2, 0.0435898006392973)	(3, 0.0020981788589601747)	(4, 0.0)	(5, 0.0016639798920031203)	(6, 0.0007794006301278798)	(7, 0.0)	(8, 0.0)	(9, 2.6968879935220747e-05)	(10, 0.0008859277058720016)	(12, 2.6968879935220747e-05)	(14, 0.00037217054310604636)	(16, 5.663464786396358e-05)	(18, 0.000287218571310101)	(20, 0.0)	(22, 0.0)	(24, 0.0009708796776679469)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0018905184834589746)	(34, 0.0030366958807058566)	(36, 0.003065013204637838)	(38, 0.0007092815422963057)	(40, 2.831732393198179e-05)	(42, 0.00040453319902831124)	(44, 0.00019956971152063356)	(46, 0.0026456471216451554)	(48, 0.00357472503541351)	(50, 0.0)	(52, 0.004278612801722772)	(54, 0.000179343051569218)	(56, 0.0055893003665745)	(58, 0.0)	(60, 2.6968879935220747e-05)	(62, 0.004532120273113847)	(64, 0.0)	(66, 9.439107977327263e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0007429926422153316)	(74, 0.0)	(76, 7.686130781537914e-05)	(78, 5.5286203867202544e-05)	(80, 0.0001334959556793427)	(82, 0.0008090663980566225)	(84, 0.0075162268379460224)	(86, 0.0004099269750153554)	(88, 0.03313126900041869)	(90, 0.00017125238758865176)	(92, 0.0)	(94, 0.006034286885505643)	(96, 0.0005542104826687864)	(98, 0.0)	(100, 0.019737174780591307)
ERR950159_1	(1, 0.0)	(2, 19.18142493232655)	(3, 0.002444819627833133)	(4, 4.6656863126586515e-06)	(5, 0.0006391990248342352)	(6, 4.665686312658651e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0064433127977815965)	(12, 0.0)	(14, 5.132254943924516e-05)	(16, 0.0)	(18, 0.00011897500097279561)	(20, 0.00020529019775698064)	(22, 0.0)	(24, 2.3328431563293254e-05)	(26, 0.0)	(28, 0.0)	(30, 0.002101891683852722)	(32, 0.0009331372625317301)	(34, 0.0039751647383851705)	(36, 0.0019969137418179026)	(38, 0.0)	(40, 0.0)	(42, 2.566127471962258e-05)	(44, 0.00010964362834747829)	(46, 0.005419194652153023)	(48, 0.010231850083660421)	(50, 0.0)	(52, 0.004901303471447913)	(54, 0.0037395475795959088)	(56, 0.007775366240045641)	(58, 0.0)	(60, 1.3997058937975951e-05)	(62, 0.005496178476311891)	(64, 0.0)	(66, 7.465098100253842e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0003382622576677522)	(74, 0.0)	(76, 0.0)	(78, 0.003849191207943387)	(80, 0.0)	(82, 0.005829775047666985)	(84, 0.011741199605805495)	(86, 0.0013973730506412659)	(88, 0.031248434079031315)	(90, 0.00010731078519114897)	(92, 0.0)	(94, 0.004472060330683317)	(96, 0.0002496142177272378)	(98, 3.2659804188610554e-05)	(100, 0.01407404276213482)
ERR950160_1	(1, 0.0181093142704738)	(2, 0.006381408307062337)	(3, 0.0)	(4, 0.0057422942061516715)	(5, 0.003257210950834055)	(6, 0.00014923476467964793)	(7, 0.0)	(8, 0.0)	(9, 0.002137950215736696)	(10, 0.002653783424085914)	(12, 0.0)	(14, 0.003904435636781659)	(16, 0.0)	(18, 1.2976936059099823e-05)	(20, 0.0)	(22, 0.0)	(24, 0.002532124648531853)	(26, 0.0)	(28, 0.0)	(30, 3.244234014774955e-05)	(32, 0.0006228929308367914)	(34, 0.0010349106507132107)	(36, 0.0067382740486875824)	(38, 1.6221170073874778e-06)	(40, 3.2442340147749557e-06)	(42, 0.00046554758112020607)	(44, 0.0005288101444083178)	(46, 0.008460962310533084)	(48, 0.004965300159613069)	(50, 0.0)	(52, 0.0038963250517447213)	(54, 0.0003941744327951571)	(56, 0.006131602287924666)	(58, 0.0002416954341007342)	(60, 0.002749488327521775)	(62, 0.002671626711167176)	(64, 0.0)	(66, 0.00019140980687172237)	(68, 0.00022223003001208447)	(70, 0.000624515047844179)	(72, 2.270963810342469e-05)	(74, 5.190774423639929e-05)	(76, 1.6221170073874778e-06)	(78, 9.732702044324866e-06)	(80, 0.0004574369960832687)	(82, 0.0002644050722041589)	(84, 0.003758445106116786)	(86, 0.0004574369960832687)	(88, 0.021593621602342104)	(90, 0.00016870016876829768)	(92, 0.0)	(94, 0.00581366735447672)	(96, 0.0)	(98, 0.0009862471404915865)	(100, 0.0034437544066836154)
ERR950161_1	(1, 0.007013687867709274)	(2, 0.0666985934774669)	(3, 0.0017851142119953518)	(4, 0.0)	(5, 0.0023749780385677287)	(6, 0.0009494737910178175)	(7, 0.0)	(8, 0.0)	(9, 1.552273227822045e-05)	(10, 0.0007308619780995462)	(12, 2.975190353325586e-05)	(14, 0.000311748206587594)	(16, 5.044887990421646e-05)	(18, 0.00021990537394145636)	(20, 0.0)	(22, 0.0)	(24, 0.000792952907212428)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.00025224439952108233)	(34, 0.002341345451964918)	(36, 0.001244405704304006)	(38, 0.0001655758109676848)	(40, 1.1642049208665339e-05)	(42, 0.000311748206587594)	(44, 2.06969763709606e-05)	(46, 0.002209402227600044)	(48, 0.002656974341622067)	(50, 0.0)	(52, 0.0033503230500492474)	(54, 0.0)	(56, 0.004350245720971281)	(58, 0.0)	(60, 1.552273227822045e-05)	(62, 0.0033904234417679834)	(64, 0.0)	(66, 1.03484881854803e-05)	(68, 0.0)	(70, 0.0)	(72, 0.00024965727747471223)	(74, 0.0)	(76, 4.7861757857846385e-05)	(78, 2.4577659440515715e-05)	(80, 0.00010219132083161796)	(82, 0.0006493676336388888)	(84, 0.0098297702151831)	(86, 0.000311748206587594)	(88, 0.024223223720163015)	(90, 0.0022365670090869296)	(92, 0.0)	(94, 0.011799863653493912)	(96, 0.0003854811849091412)	(98, 1.2935610231850375e-06)	(100, 0.016336382161803838)
ERR950162_1	(1, 0.013594017238157034)	(2, 0.02499925417439361)	(3, 0.0)	(4, 0.0031242660281510974)	(5, 0.0031729625454069398)	(6, 0.00015121550095235009)	(7, 0.0)	(8, 0.0)	(9, 0.0017838303163192487)	(10, 0.002083698343631536)	(12, 0.0)	(14, 0.00311657710437386)	(16, 0.0)	(18, 1.4096360258269924e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0020350018263756947)	(26, 0.0)	(28, 0.0)	(30, 3.075569510895256e-05)	(32, 0.0008278407933493064)	(34, 0.0005920471308473368)	(36, 0.005105445388086126)	(38, 6.4074364810317836e-06)	(40, 0.0)	(42, 0.00040879444748982783)	(44, 0.0005241283041483999)	(46, 0.00650739249013588)	(48, 0.004030277546568992)	(50, 0.0)	(52, 0.0031883403929614156)	(54, 0.00022554176413231878)	(56, 0.005052904408941665)	(58, 0.00023963812439058873)	(60, 0.002173402454365981)	(62, 0.002010653567747774)	(64, 0.0)	(66, 0.0001217412931396039)	(68, 0.00020503796739301707)	(70, 0.0005292542533332253)	(72, 0.0004869651725584156)	(74, 6.0229902921698776e-05)	(76, 1.281487296206357e-06)	(78, 1.153338566585721e-05)	(80, 0.0003908536253429388)	(82, 0.007987510317254223)	(84, 0.015349654833959742)	(86, 0.0006087064656980194)	(88, 0.02885653093597474)	(90, 0.00029217910353504934)	(92, 0.0)	(94, 0.007289099740821757)	(96, 0.0)	(98, 0.0008547520265696399)	(100, 0.01935686560919702)
ERR950163_1	(1, 0.018836051769879594)	(2, 0.01710321994978695)	(3, 0.0)	(4, 0.004688839042603624)	(5, 0.003843658816627065)	(6, 0.00010617842034881396)	(7, 0.0)	(8, 0.0)	(9, 0.0024421036680227206)	(10, 0.0028349638233133322)	(12, 0.0)	(14, 0.004283237476871155)	(16, 0.0)	(18, 1.6988547255810232e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0028710644862319293)	(26, 0.0)	(28, 0.0)	(30, 2.548282088371535e-05)	(32, 0.0005181506913022121)	(34, 0.0008685394784532981)	(36, 0.007158549099917036)	(38, 1.0617842034881395e-05)	(40, 0.0)	(42, 0.0005457570805929037)	(44, 0.0006349469536859074)	(46, 0.009267252528044482)	(48, 0.005466065079556942)	(50, 0.0)	(52, 0.004174935488115364)	(54, 0.00011467269397671907)	(56, 0.006663757661091564)	(58, 0.0003142881242324893)	(60, 0.0030090964326853873)	(62, 0.002909288717557502)	(64, 0.0)	(66, 0.0002123568406976279)	(68, 0.00022722181954646183)	(70, 0.0007411253740347214)	(72, 0.00031853526104644184)	(74, 7.644846265114604e-05)	(76, 0.0)	(78, 1.2741410441857675e-05)	(80, 0.0005011621440464019)	(82, 0.0055170307213243735)	(84, 0.010575370666741869)	(86, 0.0006540590693486939)	(88, 0.02271368768101828)	(90, 0.00029729957697667905)	(92, 0.0)	(94, 0.008260681103137726)	(96, 0.0)	(98, 0.0010320542457904717)	(100, 0.013138517733962237)
ERR950164_1	(1, 0.02243458278369243)	(2, 0.0040268600856262346)	(3, 0.0)	(4, 0.006414564098405969)	(5, 0.004147064864301645)	(6, 0.000169379460860805)	(7, 0.0)	(8, 0.0)	(9, 0.002901306248938305)	(10, 0.003193622415262597)	(12, 0.0)	(14, 0.005111435020493002)	(16, 0.0)	(18, 1.092770715231e-05)	(20, 0.0)	(22, 0.0)	(24, 0.00333295068145455)	(26, 0.0)	(28, 0.0)	(30, 4.09789018211625e-05)	(32, 0.0004234486521520125)	(34, 0.0012375628349991076)	(36, 0.008460777262676017)	(38, 1.092770715231e-05)	(40, 0.0)	(42, 0.0007184967452643824)	(44, 0.000759475647085545)	(46, 0.01089492403085307)	(48, 0.006343534001915955)	(50, 0.0)	(52, 0.0049748386810891275)	(54, 0.00028412038596006)	(56, 0.00795537080688168)	(58, 0.000387933603907005)	(60, 0.0034941343619511226)	(62, 0.00357336023880537)	(64, 0.0)	(66, 0.000180307168013115)	(68, 0.0003087077270527575)	(70, 0.0008223099632113276)	(72, 3.8246975033085e-05)	(74, 0.0001010812911588675)	(76, 0.0)	(78, 8.1957803642325e-06)	(80, 0.000562776918343965)	(82, 0.0003469547020858425)	(84, 0.002712803300560958)	(86, 0.0005436534308274225)	(88, 0.017014440036146668)	(90, 0.0003032438734766025)	(92, 0.0)	(94, 0.007447232424299265)	(96, 0.0)	(98, 0.00122390320105872)	(100, 0.0021500263822169926)
ERR950165_1	(1, 0.012237903456462359)	(2, 0.049601644108593544)	(3, 0.0032544849489388214)	(4, 0.0)	(5, 0.0016250757068602634)	(6, 0.000598027860124577)	(7, 0.0)	(8, 0.0)	(9, 3.466828174635229e-05)	(10, 0.0011028847130558322)	(12, 4.333535218294036e-05)	(14, 0.0005308580642410195)	(16, 0.00010183807762990986)	(18, 0.0003835178668190222)	(20, 0.0)	(22, 0.0)	(24, 0.001308727635924799)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0003900181696464632)	(34, 0.0040215206825768655)	(36, 0.0021407663978372537)	(38, 0.0003228483737629057)	(40, 2.600121130976422e-05)	(42, 0.0005828604868605479)	(44, 1.7334140873176145e-05)	(46, 0.003852512809063398)	(48, 0.004797223486651498)	(50, 0.0)	(52, 0.005817771030559743)	(54, 0.0)	(56, 0.007553351885486505)	(58, 0.0)	(60, 3.9001816964646325e-05)	(62, 0.005991112439291505)	(64, 0.0)	(66, 8.667070436588072e-06)	(68, 0.0)	(70, 0.0)	(72, 0.000481022409230638)	(74, 0.0)	(76, 8.017040153843968e-05)	(78, 5.416919022867545e-05)	(80, 0.00015817403546773231)	(82, 0.0010465487552180097)	(84, 0.007748360970309736)	(86, 0.0005221909938044314)	(88, 0.024501808124234484)	(90, 0.001796250347982878)	(92, 0.0)	(94, 0.012341908301701416)	(96, 0.0006521970503532525)	(98, 2.166767609147018e-06)	(100, 0.012099230329476948)
ERR950166_1	(1, 0.0)	(2, 12.660375085670001)	(3, 0.0016988358652063943)	(4, 0.0)	(5, 0.0014846021388418712)	(6, 0.000702836961932734)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.004173799177680754)	(12, 0.0)	(14, 5.6377296411716636e-05)	(16, 0.0)	(18, 9.396216068619438e-05)	(20, 0.00011839232246460492)	(22, 1.8792432137238878e-06)	(24, 1.691318892351499e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0013662098163772663)	(32, 0.0016311831095123346)	(34, 0.002574563202801726)	(36, 0.0025144274199625618)	(38, 0.0003702109131036059)	(40, 1.5033945709791102e-05)	(42, 7.516972854895551e-06)	(44, 0.00018980356458611267)	(46, 0.0034559282700382297)	(48, 0.0069682338364881755)	(50, 0.0)	(52, 0.0031928342201168855)	(54, 0.0025971141213664128)	(56, 0.005297586619487639)	(58, 0.0)	(60, 5.637729641171663e-06)	(62, 0.00368331669889882)	(64, 0.0)	(66, 5.449805319799274e-05)	(68, 0.0)	(70, 0.0)	(72, 0.00034014302168402366)	(74, 0.0)	(76, 0.0)	(78, 0.0025313406088860765)	(80, 0.0)	(82, 5.6377296411716636e-05)	(84, 0.006442045736645487)	(86, 0.0007949198794052045)	(88, 0.030272728929878107)	(90, 5.449805319799274e-05)	(92, 0.0)	(94, 0.002820744063799555)	(96, 0.00015785642995280657)	(98, 1.3154702496067214e-05)	(100, 0.016819226762828793)
ERR950167_1	(1, 0.007845113157470204)	(2, 0.06093923832940122)	(3, 0.0019291751426439865)	(4, 0.0)	(5, 0.002383098705619042)	(6, 0.0008242296275073379)	(7, 0.0)	(8, 0.0)	(9, 2.090437461069335e-05)	(10, 0.0008137774402019912)	(12, 3.284973153108955e-05)	(14, 0.0003852377606827775)	(16, 5.674044537188196e-05)	(18, 0.00024637298648317164)	(20, 0.0)	(22, 0.0)	(24, 0.0009227788221006065)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0002732500395540631)	(34, 0.0027265277170804327)	(36, 0.0014692789012087327)	(38, 0.00023592079917782497)	(40, 1.6424865765544776e-05)	(42, 0.00037777191260752986)	(44, 1.3438526535445728e-05)	(46, 0.002504045444438054)	(48, 0.003235698555812321)	(50, 0.0)	(52, 0.0036448270303358907)	(54, 0.0)	(56, 0.004943884595428978)	(58, 0.0)	(60, 3.434290114613908e-05)	(62, 0.003965858497571539)	(64, 0.0)	(66, 1.0452187305346676e-05)	(68, 0.0)	(70, 0.0)	(72, 0.00032999048492594505)	(74, 0.0)	(76, 6.56994630621791e-05)	(78, 5.5247275756832436e-05)	(80, 0.00010601504266851628)	(82, 0.0007197077544538711)	(84, 0.009168061436404085)	(86, 0.0003792650822225794)	(88, 0.024326719368386863)	(90, 0.002165095941821811)	(92, 0.0)	(94, 0.011615366435470256)	(96, 0.00046138941105030326)	(98, 0.0)	(100, 0.015388606052700406)
