Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR950158_1	(1, 31.018515376644007)	(2, 31.232878975128624)	(3, 31.816262396414217)	(4, 35.64162174662602)	(5, 35.49000281150573)	(6, 35.38682144106861)	(7, 35.378301324643964)	(8, 35.3639372407195)	(9, 36.94741432492511)	(10, 36.88394794736484)	(12, 36.79748114706737)	(14, 37.89448576751073)	(16, 37.798465646029406)	(18, 37.803444748518565)	(20, 37.80103672419803)	(22, 37.862673492490174)	(24, 38.07469388635719)	(26, 37.95224979115974)	(28, 37.84319672921424)	(30, 37.68658899629246)	(32, 37.45916683690772)	(34, 37.38991024082536)	(36, 37.3436878460023)	(38, 37.21096252606711)	(40, 37.063808922788766)	(42, 36.83084600702135)	(44, 36.60609503428756)	(46, 36.40219858399896)	(48, 36.16764853616291)	(50, 35.1740383537926)	(52, 35.28362548046745)	(54, 35.610522960293046)	(56, 35.605273022827134)	(58, 35.38717621668417)	(60, 35.00483647756762)	(62, 34.64401818781263)	(64, 34.14543642727066)	(66, 33.79352072659556)	(68, 33.28621483005223)	(70, 32.65447876908638)	(72, 32.05483582357228)	(74, 31.756221471138915)	(76, 31.31458835713)	(78, 30.748328920550353)	(80, 30.128348432534985)	(82, 29.624881353783834)	(84, 29.050805324465966)	(86, 28.724777631471603)	(88, 28.20174883747272)	(90, 27.72503753056754)	(92, 27.19927897351049)	(94, 26.47581994497)	(96, 25.35718551420552)	(98, 24.062852862510628)	(100, 20.390069883110133)
ERR950159_1	(1, 31.888187294085768)	(2, 26.0386672019142)	(3, 29.1664729007141)	(4, 34.967177270045354)	(5, 35.46639670072524)	(6, 35.49269922737168)	(7, 35.65291702907385)	(8, 35.6249774530709)	(9, 37.374733647632624)	(10, 37.35448641198178)	(12, 37.27547334087495)	(14, 38.53498420245271)	(16, 38.45128234988597)	(18, 38.46087920006248)	(20, 38.41958293056796)	(22, 38.290242057672174)	(24, 38.40172662586804)	(26, 38.24446560955279)	(28, 38.0471382453119)	(30, 37.84361902543704)	(32, 37.70701808802601)	(34, 37.52881065963753)	(36, 37.36380308769522)	(38, 37.21791162574253)	(40, 36.822936504581655)	(42, 36.578505467764444)	(44, 36.35024040415294)	(46, 36.07284790319858)	(48, 35.79510974487374)	(50, 34.486691946288246)	(52, 34.54273264768274)	(54, 34.99217786025467)	(56, 34.79289002128206)	(58, 34.377779944211454)	(60, 33.93583897484794)	(62, 33.42429630019474)	(64, 32.80140268260166)	(66, 32.201707743835534)	(68, 31.56151579096867)	(70, 30.900607934260854)	(72, 30.192750769208374)	(74, 29.617906675449355)	(76, 28.92798594825922)	(78, 28.271816096001906)	(80, 27.44844906521575)	(82, 26.8227527931831)	(84, 26.027613631157156)	(86, 25.40798223810546)	(88, 24.651860111153447)	(90, 23.66581195959105)	(92, 22.74883934054443)	(94, 21.712878889887655)	(96, 20.639142033475927)	(98, 19.15751965863599)	(100, 15.496459210657324)
ERR950160_1	(1, 31.922220430323634)	(2, 32.13383532663938)	(3, 32.37569177207426)	(4, 35.94695800666736)	(5, 35.85443881126464)	(6, 35.78361500908532)	(7, 35.692903014240535)	(8, 35.70139674331462)	(9, 37.4098928763661)	(10, 37.363797939762165)	(12, 37.239499914952404)	(14, 38.46618891752142)	(16, 38.44191132489748)	(18, 38.46851636344596)	(20, 38.46956721950686)	(22, 38.594637582887344)	(24, 38.57056400391943)	(26, 38.392981592832605)	(28, 38.224383649878106)	(30, 38.16057576329446)	(32, 38.05808531732032)	(34, 37.938863837454534)	(36, 37.85717404118367)	(38, 37.686304404466185)	(40, 37.487921100358534)	(42, 37.25905414616838)	(44, 37.08916405724814)	(46, 36.869813901328634)	(48, 36.65438724092074)	(50, 35.46372615459612)	(52, 35.38587624992631)	(54, 35.952423924577786)	(56, 35.94385929276931)	(58, 35.608102192203546)	(60, 35.1832215386513)	(62, 34.88118838043847)	(64, 34.41358543107938)	(66, 34.052730076453294)	(68, 33.409472407416615)	(70, 32.89703652848533)	(72, 32.34022359974561)	(74, 31.835003254128928)	(76, 31.3777873363726)	(78, 30.72799041082287)	(80, 30.202735963115913)	(82, 29.64262588690464)	(84, 29.072918101226392)	(86, 28.506654605253445)	(88, 27.788623765759557)	(90, 27.054311754083688)	(92, 26.411701569271678)	(94, 25.569207346360294)	(96, 24.551764235544756)	(98, 23.09077520874456)	(100, 18.69468304433859)
ERR950161_1	(1, 30.8437820164438)	(2, 31.22463292554167)	(3, 31.84988014769052)	(4, 35.71516784898575)	(5, 35.60066599247991)	(6, 35.56199136372093)	(7, 35.50171506788259)	(8, 35.44245525229627)	(9, 37.08756349994046)	(10, 37.004985306569694)	(12, 36.922605842978925)	(14, 38.021931926144184)	(16, 37.96746986371481)	(18, 37.920445518456546)	(20, 37.865428143215524)	(22, 38.183454273096444)	(24, 38.31248571746936)	(26, 38.119161392667465)	(28, 37.96898071711867)	(30, 37.843213716279486)	(32, 37.736077784307966)	(34, 37.632251104824)	(36, 37.521180121413124)	(38, 37.37888495505483)	(40, 37.19483262989054)	(42, 37.0515755586198)	(44, 36.76923410761326)	(46, 36.624227326895735)	(48, 36.366108853832756)	(50, 35.24581181807182)	(52, 35.343492763263406)	(54, 35.81000900085631)	(56, 35.81121033097854)	(58, 35.54322774365522)	(60, 35.183582335637745)	(62, 34.84624534470025)	(64, 34.42851118189074)	(66, 33.93482615277178)	(68, 33.46028935821755)	(70, 32.867973004623266)	(72, 32.34590010619877)	(74, 31.98040383112416)	(76, 31.415861784970886)	(78, 30.864641632242204)	(80, 30.37598629177164)	(82, 29.849786222224626)	(84, 29.16768489753794)	(86, 28.911898184639746)	(88, 28.390670576601465)	(90, 27.848249614020794)	(92, 27.374731252995723)	(94, 26.54589025443802)	(96, 25.463565249766326)	(98, 24.241031282212095)	(100, 20.605746686239453)
ERR950162_1	(1, 31.398601036200375)	(2, 31.45570851843563)	(3, 31.91612893751068)	(4, 35.69257693870318)	(5, 35.54181477669674)	(6, 35.41254764185321)	(7, 35.33143252031337)	(8, 35.30118680588881)	(9, 36.93546235190236)	(10, 36.89783520657729)	(12, 36.781693987292364)	(14, 37.906331313572664)	(16, 37.832003871424384)	(18, 37.87178228791821)	(20, 37.87360945813489)	(22, 37.685224559119675)	(24, 37.88585868260441)	(26, 37.75569208464255)	(28, 37.535387823164186)	(30, 37.389842185864666)	(32, 37.29700583825108)	(34, 37.22265432977138)	(36, 37.119233614724024)	(38, 36.98644518345824)	(40, 36.7318037646201)	(42, 36.50416091236154)	(44, 36.20502917639017)	(46, 35.98003282606599)	(48, 35.69225367071785)	(50, 34.52044592477301)	(52, 34.59355850414961)	(54, 35.017514573842426)	(56, 34.93773814519169)	(58, 34.62637627891151)	(60, 34.27468035606073)	(62, 33.90759660286945)	(64, 33.35590608276911)	(66, 32.81908958067788)	(68, 32.13905873579125)	(70, 31.46898755891125)	(72, 30.781040890106723)	(74, 30.128103134302634)	(76, 29.512376040452352)	(78, 28.84950245230535)	(80, 28.38393146667451)	(82, 27.920877975651948)	(84, 27.35604490628791)	(86, 26.918111334283545)	(88, 26.361827886824372)	(90, 25.61869747888391)	(92, 24.980404547085996)	(94, 24.17626332349527)	(96, 23.169462009078877)	(98, 21.832817628672345)	(100, 18.00490867301375)
ERR950163_1	(1, 31.804473245883653)	(2, 31.954129690739638)	(3, 32.30948868974725)	(4, 35.959385267718694)	(5, 35.8198479660929)	(6, 35.7365773275775)	(7, 35.64142167128741)	(8, 35.64319841850216)	(9, 37.34223016474559)	(10, 37.301668967623826)	(12, 37.21029058740196)	(14, 38.429519868828024)	(16, 38.36264322088586)	(18, 38.43021905372602)	(20, 38.420553441000514)	(22, 38.325136330968164)	(24, 38.43973253401086)	(26, 38.27680274606276)	(28, 38.151963999229736)	(30, 38.04879431430698)	(32, 37.93139646622927)	(34, 37.83166630381961)	(36, 37.67484891023141)	(38, 37.53866536019075)	(40, 37.30050675987037)	(42, 37.071122255786875)	(44, 36.869543183060856)	(46, 36.66505469420318)	(48, 36.45222094251271)	(50, 35.29564557201586)	(52, 35.337495031911715)	(54, 35.789547957692065)	(56, 35.72384489983)	(58, 35.404327913109015)	(60, 35.05318967619574)	(62, 34.76404475055164)	(64, 34.258595843904814)	(66, 33.84219599652992)	(68, 33.240289325152894)	(70, 32.68692430591379)	(72, 32.13931205472487)	(74, 31.59312752104732)	(76, 31.151918491158778)	(78, 30.541873073976546)	(80, 30.04271657658348)	(82, 29.514358677669243)	(84, 28.842189349760808)	(86, 28.362134074124597)	(88, 27.677205752627895)	(90, 26.883198789701915)	(92, 26.193067789315172)	(94, 25.37538607535423)	(96, 24.36175040902051)	(98, 22.917356366292445)	(100, 18.572657107324382)
ERR950164_1	(1, 32.178466177189165)	(2, 32.44710342271633)	(3, 32.644938250532)	(4, 36.16118001971468)	(5, 36.0598712136929)	(6, 36.01300391687271)	(7, 35.9143106029193)	(8, 35.94414564754069)	(9, 37.69867546900763)	(10, 37.649067831064855)	(12, 37.531668112857645)	(14, 38.83319404149283)	(16, 38.82930235714468)	(18, 38.871788490294094)	(20, 38.87541121644996)	(22, 38.94558463533777)	(24, 38.912312908774794)	(26, 38.72008672665504)	(28, 38.578023856386764)	(30, 38.519144741906956)	(32, 38.41878118255385)	(34, 38.30350286013611)	(36, 38.177022681712884)	(38, 38.01419632095791)	(40, 37.795354314786046)	(42, 37.56658325729926)	(44, 37.39346717625479)	(46, 37.16846789884943)	(48, 36.96978606445238)	(50, 35.79645104679512)	(52, 35.74762096985478)	(54, 36.28104183230111)	(56, 36.27346270245148)	(58, 35.94272755898353)	(60, 35.52893785254491)	(62, 35.256103821085894)	(64, 34.77402974117562)	(66, 34.40278271877092)	(68, 33.75606404423186)	(70, 33.22334804621612)	(72, 32.70357389569645)	(74, 32.12975441999801)	(76, 31.684821758988218)	(78, 31.023764102274377)	(80, 30.488264516734993)	(82, 29.957104952048947)	(84, 29.365257546114513)	(86, 28.82537089594249)	(88, 28.103267761444435)	(90, 27.319569239618993)	(92, 26.64637486155278)	(94, 25.80764672864607)	(96, 24.79354845654059)	(98, 23.32688719726768)	(100, 18.669932539439053)
ERR950165_1	(1, 31.420073316482238)	(2, 31.7775910553753)	(3, 32.25511920515337)	(4, 35.971767581412394)	(5, 35.87105076268487)	(6, 35.83329470708942)	(7, 35.79100612033846)	(8, 35.748119159044556)	(9, 37.44842958750638)	(10, 37.37119227427742)	(12, 37.28016742873328)	(14, 38.46736869648301)	(16, 38.472636606897396)	(18, 38.41933022353068)	(20, 38.39606238955986)	(22, 38.620950311338504)	(24, 38.716138384166854)	(26, 38.53780766799989)	(28, 38.39706454124676)	(30, 38.29280830762969)	(32, 38.17187604546537)	(34, 38.08019072581861)	(36, 37.97719591930056)	(38, 37.82780117116389)	(40, 37.65735599402457)	(42, 37.483818492824184)	(44, 37.20513711998797)	(46, 37.06364134483812)	(48, 36.7891280961809)	(50, 35.68437684283585)	(52, 35.77320404433242)	(54, 36.253093299106496)	(56, 36.24844571259093)	(58, 36.01094830837853)	(60, 35.644368908999574)	(62, 35.29736850840757)	(64, 34.86826258779309)	(66, 34.406556955133354)	(68, 33.940495989573165)	(70, 33.34534828362537)	(72, 32.830513942542865)	(74, 32.4536212493686)	(76, 31.911125086280684)	(78, 31.33470054924959)	(80, 30.8407282583938)	(82, 30.33175296526481)	(84, 29.667119773886533)	(86, 29.380726420108157)	(88, 28.86298388687601)	(90, 28.278463569356152)	(92, 27.826656792851125)	(94, 26.963542769912507)	(96, 25.886691401330083)	(98, 24.592589945123578)	(100, 20.557512057628394)
ERR950166_1	(1, 31.205529522816924)	(2, 27.538545627367494)	(3, 29.87560590089886)	(4, 35.0843335198169)	(5, 35.35354206338274)	(6, 35.35365575759717)	(7, 35.45739592140328)	(8, 35.4730013073895)	(9, 37.123804242241214)	(10, 37.07906079558513)	(12, 36.99038113119542)	(14, 38.14985269552069)	(16, 38.010404993825745)	(18, 38.0213540473543)	(20, 37.97960942184895)	(22, 38.006152567112004)	(24, 38.154225544139564)	(26, 37.998100667676326)	(28, 37.84781755028996)	(30, 37.64231884706174)	(32, 37.43131262695462)	(34, 37.275224452111345)	(36, 37.1736157635431)	(38, 37.032027716582306)	(40, 36.73446235133542)	(42, 36.4882903227807)	(44, 36.28523110275307)	(46, 36.00444362091831)	(48, 35.77132214720075)	(50, 34.6523853328074)	(52, 34.75464923831454)	(54, 35.096353967486465)	(56, 35.01342014560001)	(58, 34.682743886774844)	(60, 34.26098495647015)	(62, 33.84425303934703)	(64, 33.278472724006264)	(66, 32.8318450353495)	(68, 32.22757800691599)	(70, 31.582971651052347)	(72, 30.92185411397347)	(74, 30.500103621470807)	(76, 29.921060434394587)	(78, 29.28895211707084)	(80, 28.44646960671762)	(82, 27.838019833908724)	(84, 27.15013625452921)	(86, 26.648948478855978)	(88, 25.96990910664348)	(90, 25.260951411978787)	(92, 24.450517590562143)	(94, 23.59287342113032)	(96, 22.45388519440113)	(98, 21.100708493484007)	(100, 17.680174942509254)
ERR950167_1	(1, 30.920171419455414)	(2, 31.32331067119945)	(3, 31.909061281890892)	(4, 35.74342173673902)	(5, 35.638715427374706)	(6, 35.58794682428804)	(7, 35.49571875421634)	(8, 35.45668494127095)	(9, 37.0991270213709)	(10, 37.03034528293085)	(12, 36.93104954832515)	(14, 38.040120541791225)	(16, 38.04178306670401)	(18, 37.96644238661781)	(20, 37.908254387962614)	(22, 38.17626141625227)	(24, 38.2889588856941)	(26, 38.08623284475031)	(28, 37.89216181216321)	(30, 37.756562704433584)	(32, 37.65922424642268)	(34, 37.581363484250375)	(36, 37.49173223025129)	(38, 37.32581034165692)	(40, 37.12830206247935)	(42, 36.995715887330675)	(44, 36.61552012741873)	(46, 36.469511327991015)	(48, 36.14402525797939)	(50, 34.9725706234885)	(52, 35.057385315465226)	(54, 35.518677894465995)	(56, 35.4996346064635)	(58, 35.20203410614417)	(60, 34.81272765237244)	(62, 34.42112109026228)	(64, 33.8788080827302)	(66, 33.385183050948086)	(68, 32.854018212010615)	(70, 32.20487412968369)	(72, 31.62538520043144)	(74, 31.218346177876995)	(76, 30.649435145879984)	(78, 30.135212511184587)	(80, 29.692289427397526)	(82, 29.20641346810324)	(84, 28.59598852815703)	(86, 28.366203849785464)	(88, 27.92674815968338)	(90, 27.40456263061128)	(92, 26.94221742675869)	(94, 26.06449193679449)	(96, 24.964014970638015)	(98, 23.722139978439827)	(100, 20.086458880766642)
