Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR950158_1	(0.0, 2676.0)	(1.0, 2348.5)	(2.0, 2100.0)	(3.0, 2495.5)	(4.0, 3178.0)	(5.0, 3769.5)	(6.0, 4140.0)	(7.0, 4835.0)	(8.0, 5111.0)	(9.0, 4990.5)	(10.0, 5232.0)	(11.0, 5428.5)	(12.0, 6183.0)	(13.0, 6600.5)	(14.0, 6576.5)	(15.0, 7009.5)	(16.0, 7893.0)	(17.0, 9761.0)	(18.0, 12568.5)	(19.0, 17176.5)	(20.0, 24752.0)	(21.0, 35956.0)	(22.0, 53165.0)	(23.0, 76865.5)	(24.0, 110273.5)	(25.0, 155927.0)	(26.0, 204026.5)	(27.0, 257843.0)	(28.0, 322685.5)	(29.0, 393467.5)	(30.0, 469436.0)	(31.0, 547875.5)	(32.0, 641827.5)	(33.0, 762454.0)	(34.0, 910099.5)	(35.0, 1034454.0)	(36.0, 1259318.0)	(37.0, 1413918.5)	(38.0, 1426983.0)	(39.0, 1448843.0)	(40.0, 1519064.5)	(41.0, 1558432.5)	(42.0, 1565325.5)	(43.0, 1711342.0)	(44.0, 1712786.0)	(45.0, 1559125.5)	(46.0, 1471468.5)	(47.0, 1423560.0)	(48.0, 1341893.5)	(49.0, 1241862.0)	(50.0, 1151161.5)	(51.0, 1038109.0)	(52.0, 933674.5)	(53.0, 860307.0)	(54.0, 799455.5)	(55.0, 723400.0)	(56.0, 632651.0)	(57.0, 560674.0)	(58.0, 515031.0)	(59.0, 481525.5)	(60.0, 429357.5)	(61.0, 370054.5)	(62.0, 324568.5)	(63.0, 283967.5)	(64.0, 240257.5)	(65.0, 189929.0)	(66.0, 156595.0)	(67.0, 145487.5)	(68.0, 124105.0)	(69.0, 84935.5)	(70.0, 50836.0)	(71.0, 35940.5)	(72.0, 27762.5)	(73.0, 22407.0)	(74.0, 17838.5)	(75.0, 13849.0)	(76.0, 11899.0)	(77.0, 11388.0)	(78.0, 10210.5)	(79.0, 8062.5)	(80.0, 6784.0)	(81.0, 6221.5)	(82.0, 5600.5)	(83.0, 5042.5)	(84.0, 4774.5)	(85.0, 4002.0)	(86.0, 3149.0)	(87.0, 3162.5)	(88.0, 3269.5)	(89.0, 2711.5)	(90.0, 1980.0)	(91.0, 1616.5)	(92.0, 1173.5)	(93.0, 599.0)	(94.0, 249.5)	(95.0, 114.5)	(96.0, 57.5)	(97.0, 32.0)	(98.0, 17.0)	(99.0, 7.5)	(100.0, 4.5)
ERR950159_1	(0.0, 1658.0)	(1.0, 1555.0)	(2.0, 1429.5)	(3.0, 1569.5)	(4.0, 1803.0)	(5.0, 2282.0)	(6.0, 2681.5)	(7.0, 2657.5)	(8.0, 2671.5)	(9.0, 2833.5)	(10.0, 2875.5)	(11.0, 2841.0)	(12.0, 3037.0)	(13.0, 3120.5)	(14.0, 3173.0)	(15.0, 3449.5)	(16.0, 3989.5)	(17.0, 4962.0)	(18.0, 6447.0)	(19.0, 8426.0)	(20.0, 11416.0)	(21.0, 15825.0)	(22.0, 22293.5)	(23.0, 31741.0)	(24.0, 44208.0)	(25.0, 59652.0)	(26.0, 79217.0)	(27.0, 103288.0)	(28.0, 130630.5)	(29.0, 160995.0)	(30.0, 193308.0)	(31.0, 228426.0)	(32.0, 277303.0)	(33.0, 353303.5)	(34.0, 453871.0)	(35.0, 536042.0)	(36.0, 629055.5)	(37.0, 850468.0)	(38.0, 932792.5)	(39.0, 915867.5)	(40.0, 949894.5)	(41.0, 905196.5)	(42.0, 948396.0)	(43.0, 1100759.5)	(44.0, 1106416.5)	(45.0, 971721.0)	(46.0, 904098.0)	(47.0, 873396.0)	(48.0, 842115.5)	(49.0, 785291.0)	(50.0, 698229.5)	(51.0, 607516.5)	(52.0, 532134.0)	(53.0, 472133.0)	(54.0, 429140.5)	(55.0, 402755.0)	(56.0, 357528.5)	(57.0, 313158.5)	(58.0, 301316.5)	(59.0, 289134.0)	(60.0, 252642.0)	(61.0, 210379.5)	(62.0, 175871.0)	(63.0, 144979.0)	(64.0, 118428.0)	(65.0, 95986.5)	(66.0, 81997.0)	(67.0, 71884.5)	(68.0, 63810.0)	(69.0, 53836.0)	(70.0, 39258.0)	(71.0, 33463.0)	(72.0, 30182.5)	(73.0, 27744.0)	(74.0, 26976.5)	(75.0, 21853.0)	(76.0, 16598.0)	(77.0, 14740.5)	(78.0, 12808.0)	(79.0, 9791.5)	(80.0, 7655.0)	(81.0, 6445.5)	(82.0, 5354.5)	(83.0, 4499.5)	(84.0, 4039.0)	(85.0, 3529.5)	(86.0, 2984.5)	(87.0, 2765.5)	(88.0, 2530.5)	(89.0, 2036.5)	(90.0, 1564.0)	(91.0, 1333.0)	(92.0, 1034.5)	(93.0, 626.0)	(94.0, 373.5)	(95.0, 218.0)	(96.0, 106.0)	(97.0, 53.5)	(98.0, 21.5)	(99.0, 6.5)	(100.0, 2.0)
ERR950160_1	(0.0, 1278.0)	(1.0, 1234.5)	(2.0, 1330.5)	(3.0, 1620.5)	(4.0, 1891.5)	(5.0, 2243.5)	(6.0, 2354.0)	(7.0, 2469.0)	(8.0, 2458.0)	(9.0, 2309.5)	(10.0, 2514.5)	(11.0, 2674.0)	(12.0, 3033.5)	(13.0, 3290.5)	(14.0, 3390.0)	(15.0, 3828.0)	(16.0, 4688.0)	(17.0, 6051.0)	(18.0, 8113.0)	(19.0, 11676.5)	(20.0, 17723.0)	(21.0, 26702.5)	(22.0, 40454.0)	(23.0, 59523.0)	(24.0, 86820.5)	(25.0, 122410.5)	(26.0, 158878.0)	(27.0, 201309.5)	(28.0, 253469.5)	(29.0, 309803.5)	(30.0, 369376.0)	(31.0, 429635.0)	(32.0, 502875.0)	(33.0, 597193.5)	(34.0, 725180.5)	(35.0, 850952.5)	(36.0, 1182654.5)	(37.0, 1355627.0)	(38.0, 1262492.5)	(39.0, 1223421.0)	(40.0, 1335736.5)	(41.0, 1413675.5)	(42.0, 1351742.5)	(43.0, 1456252.0)	(44.0, 1552115.5)	(45.0, 1445757.0)	(46.0, 1269589.5)	(47.0, 1153042.5)	(48.0, 1032703.5)	(49.0, 991011.5)	(50.0, 942524.5)	(51.0, 819152.0)	(52.0, 724437.0)	(53.0, 652757.5)	(54.0, 605916.5)	(55.0, 547590.5)	(56.0, 469127.5)	(57.0, 418886.5)	(58.0, 388874.5)	(59.0, 363832.5)	(60.0, 320663.5)	(61.0, 278844.5)	(62.0, 249055.5)	(63.0, 227446.0)	(64.0, 204077.0)	(65.0, 157948.5)	(66.0, 124036.0)	(67.0, 114032.0)	(68.0, 100615.0)	(69.0, 72441.5)	(70.0, 41891.0)	(71.0, 29329.0)	(72.0, 22601.0)	(73.0, 17897.0)	(74.0, 13761.5)	(75.0, 10560.5)	(76.0, 8883.5)	(77.0, 8401.0)	(78.0, 7467.0)	(79.0, 5945.5)	(80.0, 4753.0)	(81.0, 4038.0)	(82.0, 3526.0)	(83.0, 2991.0)	(84.0, 2678.0)	(85.0, 2332.5)	(86.0, 1884.0)	(87.0, 1665.5)	(88.0, 1475.0)	(89.0, 1142.0)	(90.0, 818.0)	(91.0, 650.5)	(92.0, 503.5)	(93.0, 281.5)	(94.0, 122.0)	(95.0, 57.5)	(96.0, 36.5)	(97.0, 19.0)	(98.0, 7.0)	(99.0, 2.5)	(100.0, 1.5)
ERR950161_1	(0.0, 1893.0)	(1.0, 1697.0)	(2.0, 1516.0)	(3.0, 1776.5)	(4.0, 2157.5)	(5.0, 2572.0)	(6.0, 2865.0)	(7.0, 3206.5)	(8.0, 3557.0)	(9.0, 3674.0)	(10.0, 3826.0)	(11.0, 3958.5)	(12.0, 4355.5)	(13.0, 4741.5)	(14.0, 5083.5)	(15.0, 5536.0)	(16.0, 6319.5)	(17.0, 8150.5)	(18.0, 10787.5)	(19.0, 14868.0)	(20.0, 21498.0)	(21.0, 31614.5)	(22.0, 46906.0)	(23.0, 68396.5)	(24.0, 97170.0)	(25.0, 135326.5)	(26.0, 180604.5)	(27.0, 234460.5)	(28.0, 297815.5)	(29.0, 368189.5)	(30.0, 444684.5)	(31.0, 525202.0)	(32.0, 621877.0)	(33.0, 738873.0)	(34.0, 883821.0)	(35.0, 1012641.0)	(36.0, 1299333.5)	(37.0, 1504361.0)	(38.0, 1510885.5)	(39.0, 1491095.5)	(40.0, 1545906.5)	(41.0, 1647457.0)	(42.0, 1702319.0)	(43.0, 1869004.0)	(44.0, 1942438.0)	(45.0, 1848688.5)	(46.0, 1722103.5)	(47.0, 1586591.5)	(48.0, 1434538.5)	(49.0, 1328122.0)	(50.0, 1242591.0)	(51.0, 1140538.0)	(52.0, 1034121.5)	(53.0, 925594.0)	(54.0, 838358.5)	(55.0, 751454.5)	(56.0, 659069.0)	(57.0, 582003.5)	(58.0, 522073.0)	(59.0, 465713.0)	(60.0, 396009.0)	(61.0, 332186.0)	(62.0, 283130.5)	(63.0, 243968.5)	(64.0, 206211.5)	(65.0, 160512.5)	(66.0, 129990.0)	(67.0, 115892.5)	(68.0, 96551.0)	(69.0, 68863.5)	(70.0, 42806.5)	(71.0, 31255.5)	(72.0, 25357.5)	(73.0, 21568.0)	(74.0, 17873.5)	(75.0, 13232.5)	(76.0, 10137.0)	(77.0, 8814.0)	(78.0, 7743.0)	(79.0, 6442.0)	(80.0, 5409.5)	(81.0, 4728.0)	(82.0, 4171.0)	(83.0, 3741.0)	(84.0, 3624.0)	(85.0, 3162.0)	(86.0, 2480.5)	(87.0, 2428.5)	(88.0, 2404.5)	(89.0, 1980.5)	(90.0, 1559.0)	(91.0, 1578.5)	(92.0, 1259.5)	(93.0, 520.0)	(94.0, 193.5)	(95.0, 89.5)	(96.0, 46.0)	(97.0, 23.0)	(98.0, 8.5)	(99.0, 2.0)	(100.0, 1.0)
ERR950162_1	(0.0, 4386.0)	(1.0, 3899.0)	(2.0, 3436.0)	(3.0, 4007.0)	(4.0, 5180.0)	(5.0, 6839.0)	(6.0, 7642.5)	(7.0, 9229.5)	(8.0, 9816.5)	(9.0, 8763.5)	(10.0, 7839.5)	(11.0, 5914.0)	(12.0, 4899.5)	(13.0, 5016.5)	(14.0, 5302.0)	(15.0, 5261.0)	(16.0, 5670.0)	(17.0, 7147.5)	(18.0, 8859.5)	(19.0, 10606.5)	(20.0, 13537.0)	(21.0, 17803.5)	(22.0, 23193.0)	(23.0, 31550.5)	(24.0, 42522.5)	(25.0, 55694.5)	(26.0, 72195.5)	(27.0, 92822.0)	(28.0, 117170.0)	(29.0, 143925.0)	(30.0, 174264.5)	(31.0, 209027.5)	(32.0, 276645.0)	(33.0, 397098.5)	(34.0, 616669.0)	(35.0, 839957.5)	(36.0, 1326965.5)	(37.0, 1601868.5)	(38.0, 1540781.5)	(39.0, 1484926.5)	(40.0, 1786882.0)	(41.0, 1976952.0)	(42.0, 1909738.5)	(43.0, 2454344.5)	(44.0, 2746974.0)	(45.0, 2460589.0)	(46.0, 2205194.0)	(47.0, 2006444.0)	(48.0, 1732014.0)	(49.0, 1536943.5)	(50.0, 1295336.5)	(51.0, 1059022.0)	(52.0, 899087.0)	(53.0, 719894.5)	(54.0, 589987.5)	(55.0, 508520.5)	(56.0, 408666.0)	(57.0, 322201.5)	(58.0, 286577.0)	(59.0, 278432.0)	(60.0, 282837.0)	(61.0, 335227.0)	(62.0, 409530.5)	(63.0, 425840.0)	(64.0, 284899.0)	(65.0, 124843.0)	(66.0, 95394.0)	(67.0, 90063.5)	(68.0, 84742.5)	(69.0, 67627.5)	(70.0, 43439.0)	(71.0, 34505.5)	(72.0, 30841.5)	(73.0, 33081.5)	(74.0, 36281.5)	(75.0, 31476.0)	(76.0, 29667.5)	(77.0, 27999.0)	(78.0, 24258.0)	(79.0, 22585.5)	(80.0, 20359.0)	(81.0, 17216.0)	(82.0, 13446.5)	(83.0, 10573.0)	(84.0, 9263.5)	(85.0, 8171.0)	(86.0, 7122.0)	(87.0, 6402.0)	(88.0, 5542.5)	(89.0, 4415.5)	(90.0, 3295.0)	(91.0, 2386.5)	(92.0, 1547.0)	(93.0, 959.5)	(94.0, 621.5)	(95.0, 392.0)	(96.0, 207.0)	(97.0, 103.5)	(98.0, 44.5)	(99.0, 11.5)	(100.0, 4.5)
ERR950163_1	(0.0, 821.0)	(1.0, 978.0)	(2.0, 1273.0)	(3.0, 1627.0)	(4.0, 1915.5)	(5.0, 2318.5)	(6.0, 2502.0)	(7.0, 2431.5)	(8.0, 2287.5)	(9.0, 2142.5)	(10.0, 2246.0)	(11.0, 2333.0)	(12.0, 2535.0)	(13.0, 2746.0)	(14.0, 3000.0)	(15.0, 3435.0)	(16.0, 4310.5)	(17.0, 5687.5)	(18.0, 7820.5)	(19.0, 11442.5)	(20.0, 17163.0)	(21.0, 25654.5)	(22.0, 37901.0)	(23.0, 54516.0)	(24.0, 76096.0)	(25.0, 104012.0)	(26.0, 137199.0)	(27.0, 174528.5)	(28.0, 216966.0)	(29.0, 263148.5)	(30.0, 311557.0)	(31.0, 360802.0)	(32.0, 417396.5)	(33.0, 483922.5)	(34.0, 567744.0)	(35.0, 653775.0)	(36.0, 810192.0)	(37.0, 897270.0)	(38.0, 901876.0)	(39.0, 904991.0)	(40.0, 942547.5)	(41.0, 989205.5)	(42.0, 986067.0)	(43.0, 1048960.0)	(44.0, 1080670.0)	(45.0, 1020843.0)	(46.0, 964029.5)	(47.0, 932542.5)	(48.0, 877862.0)	(49.0, 823646.0)	(50.0, 748406.5)	(51.0, 657891.5)	(52.0, 589798.5)	(53.0, 532317.0)	(54.0, 478934.5)	(55.0, 434185.5)	(56.0, 381481.5)	(57.0, 334090.0)	(58.0, 308737.0)	(59.0, 285668.0)	(60.0, 251956.5)	(61.0, 216994.5)	(62.0, 186281.5)	(63.0, 154909.0)	(64.0, 132165.0)	(65.0, 109947.0)	(66.0, 96512.5)	(67.0, 84429.0)	(68.0, 70057.5)	(69.0, 59061.0)	(70.0, 41356.0)	(71.0, 31429.5)	(72.0, 27998.5)	(73.0, 28396.5)	(74.0, 28826.5)	(75.0, 23344.5)	(76.0, 17877.5)	(77.0, 17264.5)	(78.0, 15102.5)	(79.0, 10668.0)	(80.0, 8012.0)	(81.0, 6348.0)	(82.0, 4998.0)	(83.0, 4008.5)	(84.0, 3690.5)	(85.0, 3195.5)	(86.0, 2438.0)	(87.0, 2248.0)	(88.0, 1944.0)	(89.0, 1363.0)	(90.0, 1106.5)	(91.0, 1191.0)	(92.0, 1066.5)	(93.0, 595.0)	(94.0, 260.5)	(95.0, 114.0)	(96.0, 54.5)	(97.0, 16.0)	(98.0, 5.5)	(99.0, 4.0)	(100.0, 2.0)
ERR950164_1	(0.0, 535.0)	(1.0, 677.5)	(2.0, 1096.5)	(3.0, 1507.5)	(4.0, 1769.0)	(5.0, 2296.5)	(6.0, 2426.5)	(7.0, 2371.5)	(8.0, 2257.5)	(9.0, 1949.0)	(10.0, 2005.5)	(11.0, 2077.0)	(12.0, 2436.5)	(13.0, 2674.5)	(14.0, 2645.5)	(15.0, 2782.5)	(16.0, 3277.0)	(17.0, 4309.0)	(18.0, 5862.0)	(19.0, 8432.0)	(20.0, 12567.0)	(21.0, 18797.5)	(22.0, 28513.0)	(23.0, 41080.0)	(24.0, 56848.0)	(25.0, 80025.0)	(26.0, 106075.5)	(27.0, 134345.0)	(28.0, 166995.0)	(29.0, 202846.0)	(30.0, 241815.5)	(31.0, 280991.0)	(32.0, 324567.0)	(33.0, 375746.0)	(34.0, 444746.5)	(35.0, 515727.0)	(36.0, 657791.5)	(37.0, 732738.0)	(38.0, 718343.0)	(39.0, 711993.5)	(40.0, 759936.0)	(41.0, 794376.0)	(42.0, 763757.5)	(43.0, 813391.0)	(44.0, 851497.0)	(45.0, 799048.0)	(46.0, 734241.5)	(47.0, 698385.0)	(48.0, 643265.5)	(49.0, 600407.0)	(50.0, 557367.5)	(51.0, 499269.5)	(52.0, 455836.0)	(53.0, 417558.0)	(54.0, 384530.5)	(55.0, 346966.0)	(56.0, 302758.0)	(57.0, 269922.0)	(58.0, 245432.0)	(59.0, 223118.5)	(60.0, 195622.5)	(61.0, 171087.5)	(62.0, 153268.0)	(63.0, 136893.0)	(64.0, 120652.5)	(65.0, 94529.5)	(66.0, 78018.5)	(67.0, 70934.0)	(68.0, 55691.5)	(69.0, 38958.5)	(70.0, 23141.5)	(71.0, 16333.0)	(72.0, 13509.5)	(73.0, 12284.0)	(74.0, 9805.5)	(75.0, 6660.0)	(76.0, 5375.5)	(77.0, 5477.5)	(78.0, 5044.5)	(79.0, 3685.5)	(80.0, 3041.5)	(81.0, 2718.0)	(82.0, 2273.0)	(83.0, 1910.5)	(84.0, 1789.0)	(85.0, 1540.5)	(86.0, 1211.0)	(87.0, 1052.5)	(88.0, 819.5)	(89.0, 546.5)	(90.0, 410.0)	(91.0, 413.5)	(92.0, 358.5)	(93.0, 179.5)	(94.0, 77.0)	(95.0, 35.5)	(96.0, 12.0)	(97.0, 3.5)	(98.0, 1.5)	(99.0, 0.5)	(100.0, 1.0)
ERR950165_1	(0.0, 888.0)	(1.0, 771.0)	(2.0, 676.0)	(3.0, 754.5)	(4.0, 934.5)	(5.0, 1201.0)	(6.0, 1391.0)	(7.0, 1627.5)	(8.0, 1796.0)	(9.0, 1771.0)	(10.0, 1749.0)	(11.0, 1774.0)	(12.0, 2134.5)	(13.0, 2409.0)	(14.0, 2594.0)	(15.0, 2871.0)	(16.0, 3315.5)	(17.0, 4380.0)	(18.0, 5964.5)	(19.0, 8705.5)	(20.0, 13253.5)	(21.0, 20038.0)	(22.0, 30734.5)	(23.0, 45209.5)	(24.0, 67301.0)	(25.0, 94233.0)	(26.0, 119676.5)	(27.0, 151132.0)	(28.0, 189603.5)	(29.0, 230456.0)	(30.0, 274766.0)	(31.0, 320226.0)	(32.0, 376830.5)	(33.0, 451410.5)	(34.0, 552142.0)	(35.0, 633426.0)	(36.0, 798453.5)	(37.0, 928318.5)	(38.0, 940984.0)	(39.0, 912514.0)	(40.0, 958408.5)	(41.0, 1021952.5)	(42.0, 998636.5)	(43.0, 1050022.0)	(44.0, 1086817.0)	(45.0, 1020139.0)	(46.0, 937955.0)	(47.0, 876411.0)	(48.0, 787909.5)	(49.0, 736213.5)	(50.0, 694769.0)	(51.0, 625891.5)	(52.0, 560839.5)	(53.0, 509903.0)	(54.0, 472970.5)	(55.0, 429414.5)	(56.0, 377740.0)	(57.0, 336983.0)	(58.0, 313519.5)	(59.0, 299674.0)	(60.0, 272790.0)	(61.0, 241486.5)	(62.0, 217190.0)	(63.0, 195978.0)	(64.0, 175643.0)	(65.0, 136364.0)	(66.0, 109429.0)	(67.0, 105884.0)	(68.0, 89703.0)	(69.0, 60196.0)	(70.0, 34689.5)	(71.0, 24695.5)	(72.0, 19191.0)	(73.0, 17108.0)	(74.0, 14360.0)	(75.0, 10089.0)	(76.0, 7942.0)	(77.0, 7293.0)	(78.0, 6668.0)	(79.0, 5491.5)	(80.0, 4542.0)	(81.0, 3863.5)	(82.0, 3334.5)	(83.0, 2805.0)	(84.0, 2778.5)	(85.0, 2462.5)	(86.0, 1773.0)	(87.0, 1718.5)	(88.0, 1531.0)	(89.0, 1036.0)	(90.0, 890.0)	(91.0, 1161.0)	(92.0, 997.0)	(93.0, 408.5)	(94.0, 144.5)	(95.0, 44.0)	(96.0, 16.0)	(97.0, 6.5)	(98.0, 2.0)	(99.0, 0.5)	(100.0, 1.0)
ERR950166_1	(0.0, 1252.0)	(1.0, 1493.0)	(2.0, 2032.0)	(3.0, 2417.5)	(4.0, 2677.5)	(5.0, 3207.5)	(6.0, 3249.0)	(7.0, 3005.5)	(8.0, 2786.0)	(9.0, 2532.0)	(10.0, 2650.0)	(11.0, 2847.0)	(12.0, 3249.0)	(13.0, 3549.5)	(14.0, 3901.5)	(15.0, 4468.5)	(16.0, 5484.0)	(17.0, 7474.0)	(18.0, 10511.0)	(19.0, 15318.5)	(20.0, 23026.5)	(21.0, 34574.0)	(22.0, 51695.5)	(23.0, 73503.5)	(24.0, 101394.5)	(25.0, 137847.0)	(26.0, 178035.5)	(27.0, 223062.0)	(28.0, 274129.0)	(29.0, 329117.0)	(30.0, 385863.5)	(31.0, 442338.5)	(32.0, 506169.5)	(33.0, 583712.5)	(34.0, 676348.0)	(35.0, 777130.5)	(36.0, 969287.5)	(37.0, 1070019.0)	(38.0, 1058556.5)	(39.0, 1046790.5)	(40.0, 1071003.5)	(41.0, 1116797.5)	(42.0, 1117491.5)	(43.0, 1183944.0)	(44.0, 1194303.0)	(45.0, 1104524.5)	(46.0, 1029145.0)	(47.0, 971628.5)	(48.0, 905002.5)	(49.0, 848801.0)	(50.0, 786159.0)	(51.0, 706262.0)	(52.0, 634854.0)	(53.0, 568860.5)	(54.0, 509610.5)	(55.0, 466546.5)	(56.0, 412276.5)	(57.0, 361576.5)	(58.0, 333596.0)	(59.0, 310773.0)	(60.0, 280005.0)	(61.0, 249748.5)	(62.0, 223668.5)	(63.0, 197196.0)	(64.0, 179913.5)	(65.0, 145768.0)	(66.0, 116310.5)	(67.0, 103211.0)	(68.0, 84339.0)	(69.0, 66185.5)	(70.0, 45824.0)	(71.0, 35382.0)	(72.0, 30262.0)	(73.0, 29326.0)	(74.0, 29923.0)	(75.0, 24242.0)	(76.0, 18030.0)	(77.0, 16274.5)	(78.0, 14092.0)	(79.0, 10582.0)	(80.0, 8351.5)	(81.0, 6866.0)	(82.0, 5329.5)	(83.0, 4118.5)	(84.0, 3612.5)	(85.0, 3264.5)	(86.0, 2770.5)	(87.0, 2658.5)	(88.0, 2353.5)	(89.0, 1638.0)	(90.0, 1362.0)	(91.0, 1562.5)	(92.0, 1416.5)	(93.0, 802.0)	(94.0, 444.0)	(95.0, 229.0)	(96.0, 84.0)	(97.0, 39.5)	(98.0, 17.5)	(99.0, 11.0)	(100.0, 5.0)
ERR950167_1	(0.0, 4473.0)	(1.0, 3351.0)	(2.0, 1789.5)	(3.0, 1472.5)	(4.0, 1755.5)	(5.0, 2212.5)	(6.0, 2766.5)	(7.0, 3323.0)	(8.0, 3360.5)	(9.0, 3580.5)	(10.0, 3651.5)	(11.0, 2971.0)	(12.0, 3177.0)	(13.0, 3318.0)	(14.0, 3005.0)	(15.0, 3207.5)	(16.0, 3310.5)	(17.0, 3868.5)	(18.0, 4525.0)	(19.0, 4986.5)	(20.0, 5880.5)	(21.0, 7345.0)	(22.0, 9359.5)	(23.0, 12629.0)	(24.0, 17078.5)	(25.0, 21763.0)	(26.0, 27954.5)	(27.0, 36037.5)	(28.0, 44793.0)	(29.0, 55281.0)	(30.0, 66987.5)	(31.0, 83075.5)	(32.0, 139384.0)	(33.0, 271973.5)	(34.0, 529548.5)	(35.0, 708282.0)	(36.0, 1064900.5)	(37.0, 1348205.0)	(38.0, 1355348.5)	(39.0, 1327271.0)	(40.0, 1532038.0)	(41.0, 1605931.5)	(42.0, 1548677.5)	(43.0, 2059068.0)	(44.0, 2255036.0)	(45.0, 1967632.0)	(46.0, 1848827.5)	(47.0, 1813792.5)	(48.0, 1620561.0)	(49.0, 1404568.5)	(50.0, 1188266.5)	(51.0, 969795.5)	(52.0, 850159.0)	(53.0, 723786.0)	(54.0, 587147.0)	(55.0, 487039.5)	(56.0, 379055.5)	(57.0, 315693.0)	(58.0, 312884.5)	(59.0, 330802.0)	(60.0, 315663.5)	(61.0, 316397.0)	(62.0, 337057.0)	(63.0, 296962.0)	(64.0, 198051.5)	(65.0, 119072.0)	(66.0, 126956.5)	(67.0, 124194.0)	(68.0, 93712.0)	(69.0, 71578.5)	(70.0, 43961.5)	(71.0, 34963.0)	(72.0, 33854.0)	(73.0, 36150.0)	(74.0, 29817.5)	(75.0, 22325.0)	(76.0, 23623.0)	(77.0, 27339.0)	(78.0, 27068.0)	(79.0, 23130.0)	(80.0, 22543.0)	(81.0, 22383.0)	(82.0, 19832.5)	(83.0, 17558.0)	(84.0, 19125.5)	(85.0, 17746.5)	(86.0, 13727.5)	(87.0, 12137.5)	(88.0, 9701.5)	(89.0, 7309.5)	(90.0, 6743.5)	(91.0, 7902.0)	(92.0, 6653.0)	(93.0, 2932.0)	(94.0, 1089.0)	(95.0, 463.5)	(96.0, 215.0)	(97.0, 81.5)	(98.0, 41.0)	(99.0, 20.0)	(100.0, 6.0)
