Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR950158_1	(2.0, 784.0)	(3.0, 619.0)	(4.0, 955.0)	(5.0, 1485.0)	(6.0, 2600.0)	(7.0, 5604.0)	(8.0, 11739.0)	(9.0, 19496.0)	(10.0, 28625.0)	(11.0, 40019.0)	(12.0, 52999.0)	(13.0, 64885.0)	(14.0, 76729.0)	(15.0, 91101.0)	(16.0, 110214.0)	(17.0, 133412.0)	(18.0, 160720.0)	(19.0, 189376.0)	(20.0, 221871.0)	(21.0, 256793.0)	(22.0, 294368.0)	(23.0, 342419.0)	(24.0, 403948.0)	(25.0, 482288.0)	(26.0, 584010.0)	(27.0, 711254.0)	(28.0, 870943.0)	(29.0, 1060208.0)	(30.0, 1287566.0)	(31.0, 1563427.0)	(32.0, 1916535.0)	(33.0, 2405602.0)	(34.0, 3136748.0)	(35.0, 4348779.0)	(36.0, 6476397.0)	(37.0, 7280331.0)	(38.0, 2390751.0)	(39.0, 54175.0)	
ERR950159_1	(2.0, 403.0)	(3.0, 405.0)	(4.0, 506.0)	(5.0, 842.0)	(6.0, 1409.0)	(7.0, 3212.0)	(8.0, 6742.0)	(9.0, 11504.0)	(10.0, 18092.0)	(11.0, 25673.0)	(12.0, 34109.0)	(13.0, 43574.0)	(14.0, 52694.0)	(15.0, 62714.0)	(16.0, 77626.0)	(17.0, 97005.0)	(18.0, 120937.0)	(19.0, 149958.0)	(20.0, 185718.0)	(21.0, 224948.0)	(22.0, 270423.0)	(23.0, 317770.0)	(24.0, 375866.0)	(25.0, 441355.0)	(26.0, 518407.0)	(27.0, 607237.0)	(28.0, 706769.0)	(29.0, 823716.0)	(30.0, 968081.0)	(31.0, 1151833.0)	(32.0, 1392409.0)	(33.0, 1719808.0)	(34.0, 2156209.0)	(35.0, 2755857.0)	(36.0, 3267880.0)	(37.0, 2376672.0)	(38.0, 458242.0)	(39.0, 6469.0)	
ERR950160_1	(2.0, 608.0)	(3.0, 507.0)	(4.0, 614.0)	(5.0, 961.0)	(6.0, 1720.0)	(7.0, 3891.0)	(8.0, 8481.0)	(9.0, 14097.0)	(10.0, 21564.0)	(11.0, 29822.0)	(12.0, 39390.0)	(13.0, 49659.0)	(14.0, 59445.0)	(15.0, 70011.0)	(16.0, 83445.0)	(17.0, 100076.0)	(18.0, 121062.0)	(19.0, 144811.0)	(20.0, 171150.0)	(21.0, 202258.0)	(22.0, 236813.0)	(23.0, 278302.0)	(24.0, 327348.0)	(25.0, 387835.0)	(26.0, 462129.0)	(27.0, 556013.0)	(28.0, 672065.0)	(29.0, 811241.0)	(30.0, 980013.0)	(31.0, 1197592.0)	(32.0, 1488215.0)	(33.0, 1918444.0)	(34.0, 2604577.0)	(35.0, 3780959.0)	(36.0, 5652014.0)	(37.0, 6217963.0)	(38.0, 2084146.0)	(39.0, 44676.0)	
ERR950161_1	(2.0, 660.0)	(3.0, 694.0)	(4.0, 880.0)	(5.0, 1391.0)	(6.0, 2313.0)	(7.0, 5023.0)	(8.0, 10835.0)	(9.0, 18684.0)	(10.0, 29074.0)	(11.0, 40300.0)	(12.0, 51487.0)	(13.0, 63109.0)	(14.0, 74713.0)	(15.0, 87490.0)	(16.0, 105117.0)	(17.0, 127630.0)	(18.0, 153795.0)	(19.0, 182315.0)	(20.0, 214031.0)	(21.0, 249910.0)	(22.0, 289443.0)	(23.0, 337689.0)	(24.0, 396752.0)	(25.0, 472644.0)	(26.0, 570514.0)	(27.0, 692721.0)	(28.0, 849453.0)	(29.0, 1041163.0)	(30.0, 1272794.0)	(31.0, 1559271.0)	(32.0, 1932394.0)	(33.0, 2464335.0)	(34.0, 3262457.0)	(35.0, 4585185.0)	(36.0, 7002148.0)	(37.0, 8063031.0)	(38.0, 2408068.0)	(39.0, 33476.0)	
ERR950162_1	(2.0, 825.0)	(3.0, 902.0)	(4.0, 1254.0)	(5.0, 2146.0)	(6.0, 3747.0)	(7.0, 9160.0)	(8.0, 19535.0)	(9.0, 32497.0)	(10.0, 48244.0)	(11.0, 64270.0)	(12.0, 81535.0)	(13.0, 97998.0)	(14.0, 113739.0)	(15.0, 129579.0)	(16.0, 152548.0)	(17.0, 185427.0)	(18.0, 227041.0)	(19.0, 272019.0)	(20.0, 320931.0)	(21.0, 372647.0)	(22.0, 430069.0)	(23.0, 495393.0)	(24.0, 575935.0)	(25.0, 677581.0)	(26.0, 809308.0)	(27.0, 972446.0)	(28.0, 1151877.0)	(29.0, 1316402.0)	(30.0, 1484272.0)	(31.0, 1760377.0)	(32.0, 2133718.0)	(33.0, 2646208.0)	(34.0, 3439522.0)	(35.0, 4700794.0)	(36.0, 6508058.0)	(37.0, 6276457.0)	(38.0, 1485971.0)	(39.0, 16732.0)	
ERR950163_1	(2.0, 494.0)	(3.0, 341.0)	(4.0, 497.0)	(5.0, 862.0)	(6.0, 1612.0)	(7.0, 3568.0)	(8.0, 7902.0)	(9.0, 13326.0)	(10.0, 19801.0)	(11.0, 27154.0)	(12.0, 35126.0)	(13.0, 43346.0)	(14.0, 49634.0)	(15.0, 57780.0)	(16.0, 68270.0)	(17.0, 81364.0)	(18.0, 99023.0)	(19.0, 117633.0)	(20.0, 138385.0)	(21.0, 161173.0)	(22.0, 187435.0)	(23.0, 218966.0)	(24.0, 258080.0)	(25.0, 305530.0)	(26.0, 366884.0)	(27.0, 444074.0)	(28.0, 536931.0)	(29.0, 647247.0)	(30.0, 778706.0)	(31.0, 946591.0)	(32.0, 1172808.0)	(33.0, 1501980.0)	(34.0, 2019852.0)	(35.0, 2895562.0)	(36.0, 4236130.0)	(37.0, 4505657.0)	(38.0, 1555500.0)	(39.0, 40049.0)	(40.0, 1.0)
ERR950164_1	(2.0, 390.0)	(3.0, 273.0)	(4.0, 317.0)	(5.0, 500.0)	(6.0, 916.0)	(7.0, 2029.0)	(8.0, 4506.0)	(9.0, 8039.0)	(10.0, 12341.0)	(11.0, 16764.0)	(12.0, 21487.0)	(13.0, 26962.0)	(14.0, 30628.0)	(15.0, 35152.0)	(16.0, 42093.0)	(17.0, 50602.0)	(18.0, 61476.0)	(19.0, 73610.0)	(20.0, 88037.0)	(21.0, 104347.0)	(22.0, 122718.0)	(23.0, 143763.0)	(24.0, 169517.0)	(25.0, 202093.0)	(26.0, 242668.0)	(27.0, 296421.0)	(28.0, 359935.0)	(29.0, 430001.0)	(30.0, 521204.0)	(31.0, 645272.0)	(32.0, 818230.0)	(33.0, 1079986.0)	(34.0, 1520178.0)	(35.0, 2294066.0)	(36.0, 3539856.0)	(37.0, 3932463.0)	(38.0, 1370279.0)	(39.0, 32982.0)	
ERR950165_1	(2.0, 421.0)	(3.0, 367.0)	(4.0, 511.0)	(5.0, 697.0)	(6.0, 1164.0)	(7.0, 2327.0)	(8.0, 4788.0)	(9.0, 7987.0)	(10.0, 12311.0)	(11.0, 17459.0)	(12.0, 23170.0)	(13.0, 29040.0)	(14.0, 34894.0)	(15.0, 41453.0)	(16.0, 49447.0)	(17.0, 60063.0)	(18.0, 73490.0)	(19.0, 87998.0)	(20.0, 104371.0)	(21.0, 122675.0)	(22.0, 143402.0)	(23.0, 168843.0)	(24.0, 201399.0)	(25.0, 240885.0)	(26.0, 291044.0)	(27.0, 354301.0)	(28.0, 434085.0)	(29.0, 536155.0)	(30.0, 660964.0)	(31.0, 822379.0)	(32.0, 1038885.0)	(33.0, 1363853.0)	(34.0, 1883891.0)	(35.0, 2813687.0)	(36.0, 4538252.0)	(37.0, 5336689.0)	(38.0, 1552131.0)	(39.0, 20370.0)	
ERR950166_1	(2.0, 498.0)	(3.0, 326.0)	(4.0, 523.0)	(5.0, 946.0)	(6.0, 1792.0)	(7.0, 4170.0)	(8.0, 8972.0)	(9.0, 15976.0)	(10.0, 23891.0)	(11.0, 32189.0)	(12.0, 41337.0)	(13.0, 50685.0)	(14.0, 60741.0)	(15.0, 72627.0)	(16.0, 88629.0)	(17.0, 110065.0)	(18.0, 135401.0)	(19.0, 166432.0)	(20.0, 203931.0)	(21.0, 244437.0)	(22.0, 291406.0)	(23.0, 344411.0)	(24.0, 406348.0)	(25.0, 481326.0)	(26.0, 573852.0)	(27.0, 684632.0)	(28.0, 812010.0)	(29.0, 960197.0)	(30.0, 1139570.0)	(31.0, 1367325.0)	(32.0, 1651850.0)	(33.0, 2029651.0)	(34.0, 2550551.0)	(35.0, 3262829.0)	(36.0, 4013437.0)	(37.0, 3579612.0)	(38.0, 1159011.0)	(39.0, 34869.0)	
ERR950167_1	(2.0, 881.0)	(3.0, 752.0)	(4.0, 1233.0)	(5.0, 2202.0)	(6.0, 2776.0)	(7.0, 5528.0)	(8.0, 10442.0)	(9.0, 16735.0)	(10.0, 24224.0)	(11.0, 33410.0)	(12.0, 45639.0)	(13.0, 58160.0)	(14.0, 65509.0)	(15.0, 76536.0)	(16.0, 92618.0)	(17.0, 116313.0)	(18.0, 142853.0)	(19.0, 172281.0)	(20.0, 201872.0)	(21.0, 236077.0)	(22.0, 273649.0)	(23.0, 317987.0)	(24.0, 373289.0)	(25.0, 440462.0)	(26.0, 531864.0)	(27.0, 645491.0)	(28.0, 787637.0)	(29.0, 961719.0)	(30.0, 1168091.0)	(31.0, 1425827.0)	(32.0, 1769117.0)	(33.0, 2255031.0)	(34.0, 3005244.0)	(35.0, 4322685.0)	(36.0, 6524952.0)	(37.0, 6382586.0)	(38.0, 989338.0)	(39.0, 4804.0)	
