Sample	Unique Reads	Duplicate Reads
ERR950158_1	19857809.0	17221966.0
ERR950159_1	15168063.0	6265011.0
ERR950160_1	12984498.0	17839419.0
ERR950161_1	18720359.0	19932630.0
ERR950162_1	5307128.0	33710036.0
ERR950163_1	13525549.0	10019725.0
ERR950164_1	10552441.0	7749660.0
ERR950165_1	12115074.0	10960774.0
ERR950166_1	21990151.0	4616304.0
ERR950167_1	3256196.0	30229618.0
ERR950168_1	8860087.0	16053203.0
ERR950169_1	20367742.0	12918075.0
ERR950170_1	22070822.0	7199876.0
ERR950171_1	31337125.0	8663877.0
ERR950172_1	11156893.0	13135969.0
ERR950173_1	9432449.0	10284883.0
ERR950174_1	8445748.0	16553834.0
ERR950175_1	21179441.0	6960583.0
ERR950176_1	10312238.0	14843062.0
ERR950177_1	6200261.0	17596309.0
ERR950178_1	14926921.0	11433908.0
ERR950179_1	8053903.0	9617164.0
ERR950180_1	16150540.0	17025241.0
ERR950181_1	19212409.0	6680297.0
ERR950182_1	10089362.0	15564398.0
ERR950183_1	15376751.0	13958676.0
ERR950184_1	19613355.0	5618833.0
ERR950185_1	12151371.0	11714350.0
ERR950186_1	20755701.0	6990570.0
ERR950187_1	6595249.0	18772762.0
