Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR950158_1	(1.0, 42.637927149178786)	(2.0, 14.478665971745794)	(3.0, 5.324013525288719)	(4.0, 2.707698151736991)	(5.0, 1.6164297608142142)	(6.0, 1.1703667259210842)	(7.0, 0.9467226533061164)	(8.0, 0.7357776163945251)	(9.0, 0.5990122493317872)	('>10', 6.528909266542788)	('>50', 2.0014446388089655)	('>100', 4.542533574312838)	('>500', 2.02321781192607)	('>1k', 4.660639847507329)	('>5k', 2.6377307887602797)	('>10k+', 7.388910268423715)
ERR950159_1	(1.0, 62.06737910933124)	(2.0, 12.798702818526323)	(3.0, 3.248597198765235)	(4.0, 1.4451366303912399)	(5.0, 0.9071695303413939)	(6.0, 0.7063618012521791)	(7.0, 0.587326841892374)	(8.0, 0.513414151491499)	(9.0, 0.4314240858464813)	('>10', 5.98892159510761)	('>50', 1.903325451324219)	('>100', 2.845753395620759)	('>500', 1.1756012864932446)	('>1k', 2.5041795243236593)	('>5k', 1.1106910873162026)	('>10k+', 1.7660154919762625)
ERR950160_1	(1.0, 28.098457250827934)	(2.0, 17.171615282073173)	(3.0, 8.655075328698839)	(4.0, 4.21130831377353)	(5.0, 2.3417431189508253)	(6.0, 1.5434832121569348)	(7.0, 1.0807832000398738)	(8.0, 0.8277287840400444)	(9.0, 0.6596737139881363)	('>10', 6.989318840228869)	('>50', 2.0000976187314277)	('>100', 4.313684241372759)	('>500', 1.9688062287312833)	('>1k', 4.970659009293108)	('>5k', 2.9082577512586227)	('>10k+', 12.25930810583466)
ERR950161_1	(1.0, 34.259991690785924)	(2.0, 18.11453111977093)	(3.0, 8.239696930259724)	(4.0, 3.904737761656602)	(5.0, 2.2066815056488007)	(6.0, 1.3809453686915294)	(7.0, 1.0432115387931806)	(8.0, 0.8075476284331076)	(9.0, 0.6290871730958227)	('>10', 6.242894249701293)	('>50', 1.9398497529538266)	('>100', 4.35839744320316)	('>500', 1.8704245940143072)	('>1k', 4.9247906097495635)	('>5k', 2.135834182033185)	('>10k+', 7.941378451209061)
ERR950162_1	(1.0, 5.995063306232459)	(2.0, 4.468453928389781)	(3.0, 4.886313587316323)	(4.0, 4.659787607108709)	(5.0, 4.124000187518466)	(6.0, 3.338647019222184)	(7.0, 2.4628020412044016)	(8.0, 1.7855354779943624)	(9.0, 1.2655572898801828)	('>10', 6.784964378800187)	('>50', 2.139023212499798)	('>100', 6.278200426087343)	('>500', 3.363314362198358)	('>1k', 8.949505732562955)	('>5k', 5.00007719608008)	('>10k+', 34.49875424690457)
ERR950163_1	(1.0, 49.01392667759028)	(2.0, 11.474920025501362)	(3.0, 3.7412022660842057)	(4.0, 1.8971415332107051)	(5.0, 1.2523305703183234)	(6.0, 0.886483931639696)	(7.0, 0.6680586357453419)	(8.0, 0.5686106217247281)	(9.0, 0.47028106925972973)	('>10', 5.5296653950273145)	('>50', 1.9730844604580002)	('>100', 4.897474378701369)	('>500', 2.2765270282607815)	('>1k', 5.8252084059452995)	('>5k', 2.663627232247614)	('>10k+', 6.861457768285348)
ERR950164_1	(1.0, 49.024360578474216)	(2.0, 11.65666732528491)	(3.0, 3.8923638319112586)	(4.0, 1.9926859589541495)	(5.0, 1.325374488295141)	(6.0, 0.9671204953203669)	(7.0, 0.7115820610390136)	(8.0, 0.5961013535413568)	(9.0, 0.5046434718478547)	('>10', 5.445741361096775)	('>50', 2.0277239767219095)	('>100', 4.885079869638191)	('>500', 1.9033220154133959)	('>1k', 5.392114035214626)	('>5k', 2.447989721210341)	('>10k+', 7.227129456036545)
ERR950165_1	(1.0, 43.113661098774934)	(2.0, 12.284360798904013)	(3.0, 4.470878184323863)	(4.0, 2.2750413970046526)	(5.0, 1.493574492488853)	(6.0, 1.1087235601365348)	(7.0, 0.8266479056615703)	(8.0, 0.6787401059888376)	(9.0, 0.6000782340483649)	('>10', 6.8195541183346045)	('>50', 2.0910576195973003)	('>100', 4.913990051746151)	('>500', 2.1411965706455685)	('>1k', 5.9282999438029025)	('>5k', 2.6166964116892455)	('>10k+', 8.637499506852482)
ERR950166_1	(1.0, 77.0669075102712)	(2.0, 7.622059529691276)	(3.0, 2.22144314587683)	(4.0, 1.2182183478814064)	(5.0, 0.8507426728442116)	(6.0, 0.6646753940725907)	(7.0, 0.5023984612835337)	(8.0, 0.482807730785033)	(9.0, 0.39171892151401955)	('>10', 4.485781059231247)	('>50', 1.1153265490649225)	('>100', 1.4644887746029542)	('>500', 0.4331901831439546)	('>1k', 0.9156500059010768)	('>5k', 0.26335364305679365)	('>10k+', 0.3012380707789171)
ERR950167_1	(1.0, 4.791615477746224)	(2.0, 3.682918884159271)	(3.0, 3.3334632692146946)	(4.0, 2.7269941912454496)	(5.0, 2.033339499413464)	(6.0, 1.4340379312062133)	(7.0, 0.9928465795498674)	(8.0, 0.7079630250620528)	(9.0, 0.5042339313359723)	('>10', 5.34549876071551)	('>50', 2.5132676269341556)	('>100', 7.9842110019853525)	('>500', 4.497062554415477)	('>1k', 13.207430813328521)	('>5k', 7.247595465717535)	('>10k+', 38.997520987970105)
