Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR950158_1	(101, 37079775.0)																																						
ERR950159_1	(101, 21433074.0)																																						
ERR950160_1	(101, 30823917.0)																																						
ERR950161_1	(101, 38652989.0)																																						
ERR950162_1	(101, 39017164.0)																																						
ERR950163_1	(101, 23545274.0)																																						
ERR950164_1	(101, 18302101.0)																																						
ERR950165_1	(101, 23075848.0)																																						
ERR950166_1	(101, 26606455.0)																																						
ERR950167_1	(101, 33485814.0)																																						
ERR950168_1	(101, 24913290.0)																																						
ERR950169_1	(101, 33285817.0)																																						
ERR950170_1	(101, 29270698.0)																																						
ERR950171_1	(101, 40001002.0)																																						
ERR950172_1	(101, 24292862.0)																																						
ERR950173_1	(101, 19717332.0)																																						
ERR950174_1	(101, 24999582.0)																																						
ERR950175_1	(101, 28140024.0)																																						
ERR950176_1	(101, 25155300.0)																																						
ERR950177_1	(101, 23796570.0)																																						
ERR950178_1	(101, 26360829.0)																																						
ERR950179_1	(101, 17671067.0)																																						
ERR950180_1	(101, 33175781.0)																																						
ERR950181_1	(101, 25892706.0)																																						
ERR950182_1	(101, 25653760.0)																																						
ERR950183_1	(24, 16032.0)	(26, 29888.0)	(28, 30008.0)	(30, 34013.0)	(32, 38595.0)	(34, 43463.0)	(36, 52038.0)	(38, 55750.0)	(40, 68602.0)	(42, 72960.0)	(44, 72899.0)	(46, 85830.0)	(48, 101467.0)	(50, 103378.0)	(52, 90941.0)	(54, 84938.0)	(56, 104614.0)	(58, 129927.0)	(60, 116951.0)	(62, 168775.0)	(64, 185006.0)	(66, 241241.0)	(68, 271583.0)	(70, 250931.0)	(72, 293866.0)	(74, 280598.0)	(76, 332292.0)	(78, 374938.0)	(80, 418911.0)	(82, 500873.0)	(84, 539044.0)	(86, 693296.0)	(88, 809257.0)	(90, 883483.0)	(92, 1037759.0)	(94, 1233018.0)	(96, 1670562.0)	(98, 3483052.0)	(100, 14334648.0)
ERR950184_1	(101, 25232188.0)																																						
ERR950185_1	(101, 23865721.0)																																						
ERR950186_1	(101, 27746271.0)																																						
ERR950187_1	(101, 25368011.0)																																						
