Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR950158_1	46.44571572281103	43.0	101.0	101	18.181818181818183	37.079775
ERR950159_1	29.230577498936185	44.0	101.0	101	18.181818181818183	21.433073999999998
ERR950160_1	57.87525183831013	43.0	101.0	101	36.36363636363637	30.823916999999998
ERR950161_1	51.56814825639238	43.0	101.0	101	36.36363636363637	38.652989
ERR950162_1	86.39796716245601	44.0	101.0	101	45.45454545454545	39.017164
ERR950163_1	42.555145136236085	43.0	101.0	101	18.181818181818183	23.545274
ERR950164_1	42.343007599550084	43.0	101.0	101	27.27272727272727	18.302101
ERR950165_1	47.49890176300065	44.0	101.0	101	27.27272727272727	23.075848
ERR950166_1	17.3503161410612	43.0	101.0	101	18.181818181818183	26.606455
ERR950167_1	90.27589562902172	45.0	101.0	101	54.54545454545454	33.485814
ERR950168_1	64.43630410402403	45.0	101.0	101	27.27272727272727	24.91329
ERR950169_1	38.80954790295591	46.0	101.0	101	18.181818181818183	33.285817
ERR950170_1	24.597555057650254	43.0	101.0	101	27.27272727272727	29.270698
ERR950171_1	21.659151972910536	43.0	101.0	101	27.27272727272727	40.001002
ERR950172_1	54.073370414600255	44.0	101.0	101	36.36363636363637	24.292862
ERR950173_1	52.16164121983947	44.0	101.0	101	27.27272727272727	19.717332
ERR950174_1	66.21644539875182	43.0	101.0	101	27.27272727272727	24.999582
ERR950175_1	24.73552890402631	44.0	101.0	101	9.090909090909092	28.140024
ERR950176_1	59.00570828685439	43.0	101.0	101	45.45454545454545	25.1553
ERR950177_1	73.94472932454643	44.0	101.0	101	36.36363636363637	23.79657
ERR950178_1	43.37461492355268	42.0	101.0	101	27.27272727272727	26.360829
ERR950179_1	54.423227305796765	43.0	101.0	101	36.36363636363637	17.671067
ERR950180_1	51.31828323439807	43.0	101.0	101	36.36363636363637	33.175781
ERR950181_1	25.799918968210605	44.0	101.0	101	18.181818181818183	25.892706
ERR950182_1	60.671022016431856	44.0	101.0	101	27.27272727272727	25.65376
ERR950183_1	47.5830006701816	43.0	92.87668679579814	98	9.090909090909092	29.335427
ERR950184_1	22.26851355692169	45.0	101.0	101	18.181818181818183	25.232187999999997
ERR950185_1	49.08441779681102	43.0	101.0	101	18.181818181818183	23.865721
ERR950186_1	25.19463096231165	44.0	101.0	101	18.181818181818183	27.746271
ERR950187_1	74.00171147737984	47.0	101.0	101	27.27272727272727	25.368011
