.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR950158_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
ERR950158_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950159_1_val_1	1	1	1	1	0.5	0.5	0.5	0.5	1	0.5	1
ERR950159_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950160_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR950160_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950161_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR950161_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950162_1_val_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR950162_2_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR950163_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
ERR950163_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950164_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
ERR950164_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950165_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
ERR950165_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
ERR950166_1_val_1	1	1	1	1	0.25	0.5	0.5	0.5	1	0.5	1
ERR950166_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950167_1_val_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR950167_2_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR950168_1_val_1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR950168_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950169_1_val_1	1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.5	1
ERR950169_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950170_1_val_1	1	1	1	1	0.5	0.25	0.5	0.5	1	0.5	1
ERR950170_2_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
ERR950171_1_val_1	1	1	1	1	0.25	0.5	0.5	0.5	1	0.5	1
ERR950171_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950172_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR950172_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950173_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR950173_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
ERR950174_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR950174_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950175_1_val_1	1	1	1	1	0.5	0.5	0.5	0.5	1	0.5	1
ERR950175_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950176_1_val_1	1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.5	1
ERR950176_2_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR950177_1_val_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
ERR950177_2_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR950178_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	0.25	1
ERR950178_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950179_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR950179_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950180_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR950180_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
ERR950181_1_val_1	1	1	1	1	0.5	0.5	0.5	0.5	1	0.5	1
ERR950181_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950182_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR950182_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950183_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
ERR950183_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950184_1_val_1	1	1	1	1	0.25	0.5	0.5	0.5	1	0.5	1
ERR950184_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
ERR950185_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
ERR950185_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
ERR950186_1_val_1	1	1	1	1	0.5	0.5	0.5	0.5	1	0.5	1
ERR950186_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR950187_1_val_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
ERR950187_2_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
