Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
ERR950158_1_val_1 - polya	(1, 0.005319418286568839)	(2, 0.012367934741881978)	(3, 0.01492998717796157)	(4, 0.017925750284274365)	(5, 0.02125756735361554)	(6, 0.0278063112485275)	(7, 0.033484761546878794)	(8, 0.042713320377734995)	(9, 0.04962396854052367)	(10, 0.06263385251947268)	(12, 0.0770224194236663)	(14, 0.09209745553438799)	(16, 0.10750998173618517)	(18, 0.12136574513489365)	(20, 0.13388878170586566)	(22, 0.14786805211662726)	(24, 0.16360801551317006)	(26, 0.18732279795542472)	(28, 0.20719881012770136)	(30, 0.23156415857530582)	(32, 0.270938481243464)	(34, 0.31590508652714566)	(36, 0.34551373847482114)	(38, 0.3793273733444926)	(40, 0.4074611217877657)	(42, 0.43114430941298354)	(44, 0.45407783819759956)	(46, 0.47961650325970906)	(48, 0.4991923646701356)	(50, 0.5159720847728004)	(52, 0.531357324541702)	(54, 0.5457401469337072)	(56, 0.5601516918866549)	(58, 0.5734516737311242)	(60, 0.5858569478022315)	(62, 0.5983598785805437)	(64, 0.611019347315993)	(66, 0.6226448038575089)	(68, 0.6333037462233064)	(70, 0.6437903532234484)	(72, 0.654241057022412)	(74, 0.6665745246911629)	(76, 0.6775106397700563)	(78, 0.6890513647567915)	(80, 0.7019521030041587)	(82, 0.7203043833184306)	(84, 0.7341544022049505)	(86, 0.7433097185054032)	(88, 0.7509125803869083)	(90, 0.7525282244399294)
ERR950158_2_val_2 - polya	(1, 0.00012063475595890456)	(2, 0.0021685533511660226)	(3, 0.0032025655450994904)	(4, 0.004816773470073404)	(5, 0.007729241149652671)	(6, 0.0172048140046152)	(7, 0.029279778624882694)	(8, 0.04285118867025946)	(9, 0.05063787494179732)	(10, 0.06088752081416282)	(12, 0.07322816912314933)	(14, 0.08686851331478831)	(16, 0.09622919592598046)	(18, 0.10397279835610443)	(20, 0.11187724712750695)	(22, 0.1198132907159463)	(24, 0.13170012256203978)	(26, 0.16437490789033737)	(28, 0.1848899970435868)	(30, 0.20488664397182238)	(32, 0.23071397077140499)	(34, 0.2570180920826347)	(36, 0.2720371191995183)	(38, 0.2862030862564068)	(40, 0.2986629331933051)	(42, 0.3124985907993537)	(44, 0.3293199586153853)	(46, 0.34734192947881737)	(48, 0.3597917235193857)	(50, 0.3704822607022201)	(52, 0.38016032761182794)	(54, 0.3894362786682394)	(56, 0.3983417086884914)	(58, 0.4068952873371966)	(60, 0.41475952452327947)	(62, 0.42264386750202215)	(64, 0.43005716048130627)	(66, 0.43697211702823635)	(68, 0.4439545715933815)	(70, 0.4522209246326607)	(72, 0.46082045937887406)	(74, 0.46848363863835873)	(76, 0.4773675267379038)	(78, 0.4849861860279274)	(80, 0.49148466544118985)	(82, 0.49720763570900217)	(84, 0.5024696088736859)	(86, 0.507470206733792)	(88, 0.512747977306994)	(90, 0.5139155494093105)
ERR950159_1_val_1 - polya	(1, 0.0050297874639225705)	(2, 0.012790456571633309)	(3, 0.017805348317498856)	(4, 0.021127093444215733)	(5, 0.025774557478007963)	(6, 0.03274078828934396)	(7, 0.03920056468674106)	(8, 0.04868417184971452)	(9, 0.05605755228794257)	(10, 0.07175267388069602)	(12, 0.08787977129710324)	(14, 0.10368412815560821)	(16, 0.12108729208556736)	(18, 0.13525808519715177)	(20, 0.14818260323129834)	(22, 0.16398944270947946)	(24, 0.17893729577970544)	(26, 0.2055609091869639)	(28, 0.22583398146257677)	(30, 0.25030516361059496)	(32, 0.2931874532770977)	(34, 0.34258661959354947)	(36, 0.37024052016641895)	(38, 0.40301854775090545)	(40, 0.429135706744225)	(42, 0.4527727286810497)	(44, 0.4741530493322349)	(46, 0.4991977166254486)	(48, 0.5175864805668476)	(50, 0.5309231134672385)	(52, 0.5460000627606254)	(54, 0.5609379853521467)	(56, 0.5749573386634846)	(58, 0.5865933770856984)	(60, 0.5968366658695803)	(62, 0.6072934599456128)	(64, 0.6177701149790547)	(66, 0.6272313785649426)	(68, 0.6362432879894435)	(70, 0.6451161707120789)	(72, 0.6552328458924759)	(74, 0.6662854686907895)	(76, 0.676700058232327)	(78, 0.6866454326550684)	(80, 0.6974646892038219)	(82, 0.7124125422740478)	(84, 0.7246866139530376)	(86, 0.7324994180739479)	(88, 0.7391851128618766)	(90, 0.7407094413430456)
ERR950159_2_val_2 - polya	(1, 0.00011916574445621095)	(2, 0.002125122442802429)	(3, 0.0031231355526231954)	(4, 0.004587881161564122)	(5, 0.0074081371136944475)	(6, 0.015193632418166897)	(7, 0.025268103064069066)	(8, 0.037720923359743114)	(9, 0.043996985901103555)	(10, 0.051971160300965005)	(12, 0.061228849073406894)	(14, 0.07107491870910132)	(16, 0.07850043416052896)	(18, 0.08438176017337821)	(20, 0.08997013706443927)	(22, 0.09622882126806652)	(24, 0.1062685352385023)	(26, 0.13942143839409066)	(28, 0.15973671520419844)	(30, 0.17734097132792745)	(32, 0.20341096054739977)	(34, 0.23131808832723866)	(36, 0.2445951383554015)	(38, 0.2575767566421)	(40, 0.26813533812485546)	(42, 0.2789843861097231)	(44, 0.2919486260586883)	(46, 0.3075419602447188)	(48, 0.31823212057031136)	(50, 0.32660599673803636)	(52, 0.3347589197545821)	(54, 0.3424252493145984)	(56, 0.3500940614942908)	(58, 0.3574475809751094)	(60, 0.36388501379542104)	(62, 0.3701536284777529)	(64, 0.3759381323232315)	(66, 0.3813229344008465)	(68, 0.38693365486899317)	(70, 0.39311786048233527)	(72, 0.39875837238659595)	(74, 0.404100969929716)	(76, 0.4109256914195103)	(78, 0.4167797086159216)	(80, 0.42202300137199494)	(82, 0.42671266994028206)	(84, 0.43113173296386653)	(86, 0.4351635073179684)	(88, 0.439483265554506)	(90, 0.44036707815922294)
ERR950160_1_val_1 - polya	(1, 0.00370786754753481)	(2, 0.011853470720670707)	(3, 0.01483147019013924)	(4, 0.018608193216736908)	(5, 0.02330069411487056)	(6, 0.030358380718813333)	(7, 0.03574287918152869)	(8, 0.04384372629327373)	(9, 0.050078589922415366)	(10, 0.06082693020412723)	(12, 0.0725926101889928)	(14, 0.08298118059260123)	(16, 0.09302719498787197)	(18, 0.10154289636097072)	(20, 0.1096592359555049)	(22, 0.11864487597320764)	(24, 0.12948789253863094)	(26, 0.14765713207634212)	(28, 0.16286214324039738)	(30, 0.18197126006731656)	(32, 0.21489622876819786)	(34, 0.25171841758403685)	(36, 0.2742720297510754)	(38, 0.3012926411223168)	(40, 0.32182190220490736)	(42, 0.3398344955277506)	(44, 0.35683835608232295)	(46, 0.3764707745501198)	(48, 0.3918307105420665)	(50, 0.4043572435705766)	(52, 0.4153827271555165)	(54, 0.42590040158236775)	(56, 0.4364043049134065)	(58, 0.44603202227337035)	(60, 0.454761175631564)	(62, 0.46421331151991757)	(64, 0.4730991110929792)	(66, 0.4813634899674985)	(68, 0.48913727355369496)	(70, 0.49691794268779776)	(72, 0.5043250708479845)	(74, 0.5125016589866986)	(76, 0.5203012633775437)	(78, 0.5284468665506796)	(80, 0.5372689748056081)	(82, 0.5494804940174056)	(84, 0.5590427986722598)	(86, 0.5652139709832682)	(88, 0.5703299330776386)	(90, 0.5714419490645036)
ERR950160_2_val_2 - polya	(1, 7.229825301599908e-05)	(2, 0.0017661430379622635)	(3, 0.0025751949169508246)	(4, 0.003859349601473094)	(5, 0.006062724931484495)	(6, 0.012807119105691267)	(7, 0.02168259035689344)	(8, 0.03253765663115273)	(9, 0.03888957457470122)	(10, 0.047128132644571975)	(12, 0.057010615277068424)	(14, 0.06786223877737457)	(16, 0.07485795545016077)	(18, 0.08092240176862184)	(20, 0.08709873824056004)	(22, 0.09328884580831082)	(24, 0.10242080371902214)	(26, 0.12631537634080983)	(28, 0.14233460354478333)	(30, 0.15746903784279914)	(32, 0.1778691949021469)	(34, 0.19786138324804722)	(36, 0.20938951183014592)	(38, 0.2210088739220029)	(40, 0.2310583310912268)	(42, 0.24181183553386837)	(44, 0.25572064230456537)	(46, 0.27018201429474176)	(48, 0.28070313149554615)	(50, 0.28887283408635406)	(52, 0.29678605001765285)	(54, 0.30388160713508017)	(56, 0.31165194794732354)	(58, 0.3186390576852268)	(60, 0.32505810972086163)	(62, 0.3315666738792781)	(64, 0.33792547737073286)	(66, 0.3437644219952631)	(68, 0.3496291874244419)	(70, 0.35645792956050065)	(72, 0.363131746868668)	(74, 0.36972121621498333)	(76, 0.37715072240586556)	(78, 0.38352673976708607)	(80, 0.3885239261600728)	(82, 0.39319921318844075)	(84, 0.3976317846531121)	(86, 0.40206263473080694)	(88, 0.40641257962060284)	(90, 0.407379999101436)
ERR950161_1_val_1 - polya	(1, 0.0021532006087995746)	(2, 0.00869540603911644)	(3, 0.010438342081789242)	(4, 0.012825586235023554)	(5, 0.016140744205604997)	(6, 0.0216008424245942)	(7, 0.02668922442595176)	(8, 0.03565997581146201)	(9, 0.04280518755038131)	(10, 0.0541397787346824)	(12, 0.06909791467752599)	(14, 0.08335254326033341)	(16, 0.09712669421368363)	(18, 0.10911523059567)	(20, 0.12015933243952563)	(22, 0.13268341552024795)	(24, 0.1466530616695378)	(26, 0.16729019538175366)	(28, 0.18502794259644273)	(30, 0.20690275364069877)	(32, 0.24549378066452288)	(34, 0.29062563639193184)	(36, 0.31807481397393056)	(38, 0.3504554267098423)	(40, 0.37559308010886494)	(42, 0.39818654250720886)	(44, 0.41871904498779505)	(46, 0.44076457014681525)	(48, 0.45822697201511053)	(50, 0.47277759684529125)	(52, 0.4863837871373413)	(54, 0.4997972356869156)	(56, 0.512676514264486)	(58, 0.5241363875813962)	(60, 0.5343613370197302)	(62, 0.5452595058299972)	(64, 0.5561494142798722)	(66, 0.5660191682213582)	(68, 0.5754249652541708)	(70, 0.5849519142393964)	(72, 0.5946468238859224)	(74, 0.6046404832332857)	(76, 0.6142651798164813)	(78, 0.6245094034290628)	(80, 0.6358742826014672)	(82, 0.653449576061784)	(84, 0.6673022004388565)	(86, 0.6761917249471805)	(88, 0.6837100296304635)	(90, 0.685414417324641)
ERR950161_2_val_2 - polya	(1, 9.361741777389455e-05)	(2, 0.0026350549649887377)	(3, 0.003780491605986977)	(4, 0.005542701822907345)	(5, 0.008979011745902063)	(6, 0.018852895867584)	(7, 0.03206947249448676)	(8, 0.046761900178060326)	(9, 0.05538296297365044)	(10, 0.06583644904949135)	(12, 0.07787041741363271)	(14, 0.09089287557132783)	(16, 0.10026976134276894)	(18, 0.10830020837034435)	(20, 0.11609248167328909)	(22, 0.12416560722955552)	(24, 0.13714401013182764)	(26, 0.17604204721688083)	(28, 0.19825415631046928)	(30, 0.21640629827148106)	(32, 0.24027598635036024)	(34, 0.26455593899536617)	(36, 0.27818415691512766)	(38, 0.29188947153187944)	(40, 0.303956481337588)	(42, 0.3174497800376166)	(44, 0.3323500934577175)	(46, 0.3476427739964295)	(48, 0.3588135346996263)	(50, 0.3684781563580489)	(52, 0.37776280143844815)	(54, 0.38591440041843683)	(56, 0.39413483573502395)	(58, 0.40209782315273285)	(60, 0.4094330231806639)	(62, 0.4168893751610082)	(64, 0.4240304567197316)	(66, 0.4305533879758009)	(68, 0.4369854552675603)	(70, 0.44439224508555364)	(72, 0.4517081709392371)	(74, 0.45843485775163784)	(76, 0.4663469062802639)	(78, 0.47316308033024257)	(80, 0.478970113685688)	(82, 0.4842870323245524)	(84, 0.4890711577181448)	(86, 0.4942751847649878)	(88, 0.4991267697684467)	(90, 0.5002446718748056)
ERR950162_1_val_1 - polya	(1, 0.009314728715179549)	(2, 0.025611926881983705)	(3, 0.03053971884743353)	(4, 0.03771392004219701)	(5, 0.04584964162046289)	(6, 0.05815767486285529)	(7, 0.07255186393731093)	(8, 0.09387415077503837)	(9, 0.12308605575954)	(10, 0.1565074740896727)	(12, 0.19355033303088365)	(14, 0.2198647993597419)	(16, 0.24982503047604676)	(18, 0.26936306743545946)	(20, 0.2859206773727955)	(22, 0.30219355136323134)	(24, 0.3147019013521867)	(26, 0.33649922504604923)	(28, 0.35344745263918315)	(30, 0.3780821199647202)	(32, 0.4201758225871268)	(34, 0.4673375388975774)	(36, 0.4909806383276276)	(38, 0.5182280083619077)	(40, 0.5402485421447978)	(42, 0.5627512669533428)	(44, 0.5836199794434955)	(46, 0.610223474220966)	(48, 0.6313168276340501)	(50, 0.6424844862549374)	(52, 0.6529367279238139)	(54, 0.663283087883793)	(56, 0.6725634765852759)	(58, 0.6805747156138919)	(60, 0.6871479665689664)	(62, 0.6949059479965707)	(64, 0.7022575725954328)	(66, 0.7082413199820505)	(68, 0.7136584571426756)	(70, 0.7186649449728466)	(72, 0.7232679376420836)	(74, 0.7278108352873516)	(76, 0.732373764607276)	(78, 0.7369109389169279)	(80, 0.7417714816888888)	(82, 0.7494078422346513)	(84, 0.7552756920750431)	(86, 0.7591918844703498)	(88, 0.7622667465300919)	(90, 0.7630007643228548)
ERR950162_2_val_2 - polya	(1, 0.00014880672601822934)	(2, 0.0021634208628804113)	(3, 0.0030448145477576156)	(4, 0.0042152366812471505)	(5, 0.006204095807836946)	(6, 0.013026311862211154)	(7, 0.02227236054999767)	(8, 0.03521568404577558)	(9, 0.040189262696154096)	(10, 0.045946938325936354)	(12, 0.05277773938373469)	(14, 0.059748762164127125)	(16, 0.065147298484)	(18, 0.06936968933476725)	(20, 0.07332737591329055)	(22, 0.07811494615614628)	(24, 0.08573842919677249)	(26, 0.11626956304078188)	(28, 0.1352138039300257)	(30, 0.15083851016193978)	(32, 0.1793221206892945)	(34, 0.21103083083631355)	(36, 0.22305842063351775)	(38, 0.23413879838625973)	(40, 0.24287260853640658)	(42, 0.2515649245033368)	(44, 0.2615321134787501)	(46, 0.27295159886674525)	(48, 0.27960640735434894)	(50, 0.28478888775471456)	(52, 0.28966087719790756)	(54, 0.29388040638086677)	(56, 0.2981242597401943)	(58, 0.3018587362296903)	(60, 0.30515251587674763)	(62, 0.3086351655991358)	(64, 0.31183594104243173)	(66, 0.31436851705254965)	(68, 0.31734178990510625)	(70, 0.3203722961138237)	(72, 0.3230794338602322)	(74, 0.32592536249533083)	(76, 0.32956826561496944)	(78, 0.3325773093151265)	(80, 0.3348194260427281)	(82, 0.3370372185939613)	(84, 0.3388457926486444)	(86, 0.34050126747559717)	(88, 0.3423270115371285)	(90, 0.34274195336929475)
