Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR950158_1_val_1	(1, 0.008975800294561352)	(2, 0.0417166475130269)	(3, 0.0017693097540639334)	(4, 0.0)	(5, 0.001680269815141885)	(6, 0.0007755091454501008)	(7, 0.0)	(8, 0.0)	(9, 2.8722560942596325e-05)	(10, 0.0009004522855503948)	(12, 2.8722560942596325e-05)	(14, 0.0003791378044422715)	(16, 6.031737797945228e-05)	(18, 0.00029727850575587197)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.001516551217769086)	(34, 7.611478649788026e-05)	(36, 0.0013485242362548974)	(38, 0.00042940228609181507)	(40, 2.728643289546651e-05)	(42, 0.0003992435971020889)	(44, 0.00018095213393835684)	(46, 0.002664017527425809)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.00016077526469945432)	(56, 0.00016586008470998294)	(58, 0.0)	(60, 2.206249985567448e-05)	(62, 0.0)	(64, 0.0)	(66, 1.0519160229591792e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0003023187475855197)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.00011169649381913488)	(82, 0.0)	(84, 0.002786265409889312)	(86, 0.0)	(88, 0.014210434286095332)	(90, 1.8379958140748132e-06)	(92, 0.0)	(94, 0.0018680426252637714)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR950158_2_val_2	(1, 0.04433901732708594)	(2, 0.06955742583468552)	(3, 0.0815835621013506)	(4, 0.05949878499258829)	(5, 0.02977955118528387)	(6, 0.02228009052317197)	(7, 0.004391679568122977)	(8, 1.4361280471298162e-05)	(9, 2.8722560942596323e-06)	(10, 1.4361280471298162e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00031594817036855957)	(24, 0.013610185502649268)	(26, 0.04504702845432095)	(28, 0.11689795078027278)	(30, 0.08375355158056375)	(32, 0.04331793028557664)	(34, 0.03877689340055217)	(36, 0.006774215998311343)	(38, 0.00030302301794439123)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.297804875407706e-05)	(50, 0.03410199517014194)	(52, 0.07714612386604056)	(54, 0.0672465557407198)	(56, 0.040254114849283554)	(58, 0.00194337782574244)	(60, 0.0)	(62, 0.0040721951185608025)	(64, 0.00011070994713465377)	(66, 0.006911951125536268)	(68, 0.007749716967851525)	(70, 0.00760000739376985)	(72, 0.0059970885162792)	(74, 0.002904618704650695)	(76, 0.00911078440658656)	(78, 0.015665930940331873)	(80, 0.012588021240305324)	(82, 0.00023318791075358462)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR950159_1_val_1	(1, 0.0)	(2, 19.387258679436997)	(3, 0.00022343577085539554)	(4, 0.0)	(5, 0.0006355506370997918)	(6, 4.965239352342124e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.004851038847238255)	(12, 0.0)	(14, 5.21350131995923e-05)	(16, 0.0)	(18, 0.00012164836413238203)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0004890760762056992)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0001166831247800399)	(46, 0.00551886354012827)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.00010509991060251653)	(56, 0.0)	(58, 0.0)	(60, 1.0174017152426387e-05)	(62, 0.0)	(64, 0.0)	(66, 7.571159500625116e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0002173219089741208)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0020839234637127463)	(84, 0.003318706270101983)	(86, 0.0)	(88, 0.007975673993757246)	(90, 0.0)	(92, 0.0)	(94, 0.0004981106977495121)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR950159_2_val_2	(1, 0.12697110071809278)	(2, 0.16255697115632878)	(3, 0.20086379275964825)	(4, 0.129543094702606)	(5, 0.07087382651533147)	(6, 0.024806335804301246)	(7, 0.009543190035201562)	(8, 0.00020357481344602708)	(9, 0.0)	(10, 0.002629094237065154)	(12, 0.0)	(14, 4.965239352342123e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0026067506599796145)	(24, 0.02450842144316072)	(26, 0.07989070117918476)	(28, 0.1945107690083265)	(30, 0.15286482394055695)	(32, 0.09272584490498915)	(34, 0.049622602087307184)	(36, 0.007944382963747398)	(38, 0.0014895718057026369)	(40, 0.0)	(42, 1.7378337733197432e-05)	(44, 0.0)	(46, 0.0)	(48, 0.00013902670186557946)	(50, 0.05900006580136219)	(52, 0.16502677482350486)	(54, 0.11900984112618086)	(56, 0.06138421762605184)	(58, 0.0013304998819339145)	(60, 0.0002613761561200288)	(62, 0.00518053064157489)	(64, 0.0001618650554156579)	(66, 0.011989515461093376)	(68, 0.012626663747484255)	(70, 0.00903410889709597)	(72, 0.011810973003501686)	(74, 0.007397927578811754)	(76, 0.02240884597306031)	(78, 0.03101297522100578)	(80, 0.016844864394202328)	(82, 0.0011932153887726634)	(84, 0.0)	(86, 0.0)	(88, 0.0003961847530187297)	(90, 1.8767978550452676e-05)	(92, 0.00013893573931261059)	(94, 0.0)	(96, 3.556649043352102e-06)	(98, 0.0)	(100, 0.0)
ERR950160_1_val_1	(1, 0.01817440369864091)	(2, 0.006193550341703923)	(3, 0.0)	(4, 0.0017661430379622635)	(5, 0.00018246701951656912)	(6, 0.00011016876650057004)	(7, 0.0)	(8, 0.0)	(9, 0.0021104204332765444)	(10, 0.0026543787178731093)	(12, 0.0)	(14, 0.0039660755940205215)	(16, 0.0)	(18, 1.2049708835999848e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0005904357329639925)	(34, 0.00032362075159542446)	(36, 0.0007333108520194192)	(38, 0.0)	(40, 3.4427739531428137e-06)	(42, 7.57410269691419e-05)	(44, 0.0005233016408777077)	(46, 0.008464059763801608)	(48, 1.8935256742285476e-05)	(50, 0.0)	(52, 0.0)	(54, 0.00036084541361662656)	(56, 0.0006203020288911942)	(58, 0.0002223380753376287)	(60, 0.002708177746556796)	(62, 0.0)	(64, 0.0)	(66, 0.0001759737539096475)	(68, 0.00021370967486336842)	(70, 0.0003989414801526797)	(72, 0.0)	(74, 4.8696492294267054e-05)	(76, 0.0)	(78, 0.0)	(80, 0.00027990892977016444)	(82, 0.0)	(84, 0.0018403531882062838)	(86, 0.0)	(88, 0.00984380010136471)	(90, 0.0)	(92, 0.0)	(94, 0.002419231432520203)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR950160_2_val_2	(1, 0.07668090425834989)	(2, 0.12118564315062705)	(3, 0.13099066336917778)	(4, 0.0971309815400182)	(5, 0.047730618086371975)	(6, 0.04124787473260405)	(7, 0.0007746241394571331)	(8, 0.0)	(9, 0.00011016876650057004)	(10, 1.8935256742285476e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00011533292743028426)	(22, 0.0013237465849834117)	(24, 0.0314135909354516)	(26, 0.07545699811800761)	(28, 0.19845009759403465)	(30, 0.14381843911858788)	(32, 0.07815785428424815)	(34, 0.05005621189171994)	(36, 0.006952681998371912)	(38, 8.606934882857034e-05)	(40, 0.0014752286389216956)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.00013943234510228395)	(50, 0.03965290030500614)	(52, 0.1457282767342325)	(54, 0.10166919733326013)	(56, 0.060156724216768286)	(58, 0.0009266455777577262)	(60, 2.1179133428222913e-05)	(62, 5.1522523435330696e-05)	(64, 0.0032700189333738474)	(66, 0.008568834149629116)	(68, 0.011647256330904009)	(70, 0.015529479914960936)	(72, 0.013411503309118427)	(74, 0.003996994921597986)	(76, 0.01934830104996069)	(78, 0.015850229219962268)	(80, 0.013251082968004797)	(82, 0.0)	(84, 0.00035135859095212634)	(86, 6.212799310926002e-06)	(88, 0.0016577415374467383)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR950161_1_val_1	(1, 0.007103909936960233)	(2, 0.06596999154249233)	(3, 0.0015612081140528886)	(4, 0.0)	(5, 0.0023982579670900634)	(6, 0.0009609552589143882)	(7, 0.0)	(8, 0.0)	(9, 1.1013813855752301e-05)	(10, 0.0007365488016034352)	(12, 3.0287988103318825e-05)	(14, 0.0003152704216209096)	(16, 5.231561581482343e-05)	(18, 0.00021476937018716986)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 9.637087123783263e-06)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 1.2390540587721338e-05)	(42, 0.0003042566077651573)	(44, 2.065090097953556e-05)	(46, 0.0022123998582742432)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 1.2911060182238755e-05)	(62, 0.0)	(64, 0.0)	(66, 1.1855509320386485e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 8.159100053262272e-05)	(82, 0.0)	(84, 0.001458597780330962)	(86, 0.0)	(88, 0.006501617961220731)	(90, 0.0)	(92, 0.0)	(94, 0.0019333711153157345)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR950161_2_val_2	(1, 0.03519464217605647)	(2, 0.055749172284354206)	(3, 0.0650778726201764)	(4, 0.047541127508354805)	(5, 0.021939517200658582)	(6, 0.01799381838683532)	(7, 0.003697888002068835)	(8, 1.9274174247566526e-05)	(9, 8.260360391814226e-06)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00026295480580608617)	(24, 0.011148733075485267)	(26, 0.03606473347066091)	(28, 0.09338750440965572)	(30, 0.06691717953408705)	(32, 0.03451591589719574)	(34, 0.031116777595964186)	(36, 0.0052301848547503735)	(38, 0.0002670849860019933)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 1.7897447515597487e-05)	(50, 0.02744655272373422)	(52, 0.06168121190618608)	(54, 0.053832246332464896)	(56, 0.032543515000264686)	(58, 0.0016686110798592286)	(60, 0.0)	(62, 0.004875405262624392)	(64, 9.378759059753026e-05)	(66, 0.005659097927043378)	(68, 0.006485056372489392)	(70, 0.005507064822069158)	(72, 0.0050910200551362575)	(74, 0.0024692222294190997)	(76, 0.0077526628543041634)	(78, 0.013186620023887381)	(80, 0.0103904116923412)	(82, 0.00019585558439904238)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR950162_1_val_1	(1, 0.013839025519695328)	(2, 0.02363451442662608)	(3, 0.0)	(4, 0.0)	(5, 0.0009557970478863192)	(6, 9.15733698573719e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0017742340409865806)	(10, 0.0021033258389115106)	(12, 0.0)	(14, 0.003159281260079331)	(16, 0.0)	(18, 1.4308339040214361e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0008127136574841757)	(34, 0.0)	(36, 0.000390617655797852)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0005079460359276097)	(46, 0.006467369246176891)	(48, 2.5755010272385844e-05)	(50, 0.0)	(52, 0.0)	(54, 0.00020060195121738493)	(56, 0.0005007150681051785)	(58, 0.00022677895416601683)	(60, 0.002147116890763021)	(62, 0.0)	(64, 0.0)	(66, 0.00011740182893821307)	(68, 0.00019404074580249182)	(70, 0.00039287271631798415)	(72, 0.000357806667149247)	(74, 4.950664646531456e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0002808005764835835)	(82, 0.0027989057664406553)	(84, 0.00467670800776766)	(86, 0.0)	(88, 0.010596381471476908)	(90, 0.0)	(92, 0.0)	(94, 0.001919507074301493)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR950162_2_val_2	(1, 0.07018812632786753)	(2, 0.09626936673037026)	(3, 0.10935863528435835)	(4, 0.07775437601233287)	(5, 0.04006907264821629)	(6, 0.03290631812468498)	(7, 0.000669630267082032)	(8, 0.0)	(9, 5.151002054477169e-05)	(10, 0.00018171590581072237)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 7.869586472117897e-05)	(22, 0.0009672437191184907)	(24, 0.025428780142268962)	(26, 0.06069168170687724)	(28, 0.1567220991752759)	(30, 0.11390582543133847)	(32, 0.06293236760057483)	(34, 0.040130598506089216)	(36, 0.005704734775333465)	(38, 8.585003424128616e-05)	(40, 0.001108896275616613)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.00010588170889758625)	(50, 0.03217533611550748)	(52, 0.11634673254353493)	(54, 0.08232520037802546)	(56, 0.049317166238601946)	(58, 0.0007806448492242464)	(60, 1.3510956372296204e-05)	(62, 0.005135592558495995)	(64, 0.002794016077259764)	(66, 0.011466379423302609)	(68, 0.009976790710067998)	(70, 0.013402493161099278)	(72, 0.011275004766910015)	(74, 0.00327509541864537)	(76, 0.01639910332849192)	(78, 0.013911466770410236)	(80, 0.011769104932383171)	(82, 0.0)	(84, 0.0002451559523097939)	(86, 3.845644224339425e-06)	(88, 0.0014398332231021181)	(90, 5.77748205323211e-05)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
