Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR950158_1_val_1	(1, 31.113772447866182)	(2, 31.3239445887801)	(3, 31.900211533044573)	(4, 35.72180123085939)	(5, 35.58257835363832)	(6, 35.48783509068014)	(7, 35.47937175831792)	(8, 35.46532651218467)	(9, 37.06828271858005)	(10, 37.00886935448371)	(12, 36.9204896897926)	(14, 38.03532487241367)	(16, 37.95047684764839)	(18, 37.95354690165858)	(20, 37.95269777658943)	(22, 38.01996903018589)	(24, 38.242827897545595)	(26, 38.14833970528987)	(28, 38.059111633593645)	(30, 37.92923066879018)	(32, 37.72913988826407)	(34, 37.676944259590826)	(36, 37.64616356918261)	(38, 37.532892947539935)	(40, 37.40882874652705)	(42, 37.20670130664961)	(44, 37.012768154906055)	(46, 36.84298873814236)	(48, 36.64771450130583)	(50, 35.68662115098258)	(52, 35.84165349786912)	(54, 36.22368623379393)	(56, 36.28001883913476)	(58, 36.12876300165076)	(60, 35.82169687826111)	(62, 35.54118171862447)	(64, 35.12386020525917)	(66, 34.86133354174093)	(68, 34.457518997548036)	(70, 33.94124891260585)	(72, 33.453292468872675)	(74, 33.27468572520563)	(76, 32.9739347290995)	(78, 32.55832606535324)	(80, 32.10641444109338)	(82, 31.797190256356647)	(84, 31.430718098715474)	(86, 31.354294011974968)	(88, 31.121229047981117)	(90, 30.98795777675393)	(92, 30.93420514170332)	(94, 30.890259903966587)	(96, 30.830829448927023)	(98, 31.140159703408365)	(100, 30.20050401453335)
ERR950158_2_val_2	(1, 31.538470409314016)	(2, 31.549414394374605)	(3, 31.512179098264966)	(4, 34.80769958223323)	(5, 35.202397087279564)	(6, 35.2777993819307)	(7, 35.40154976024273)	(8, 35.48539703353965)	(9, 37.00768710515275)	(10, 37.04636184676531)	(12, 37.145191683888)	(14, 38.33275408544681)	(16, 38.20430972261273)	(18, 38.192513725865616)	(20, 38.27886103958954)	(22, 38.28897376501389)	(24, 38.23870767490094)	(26, 38.12896694110786)	(28, 38.00378650957035)	(30, 37.84904580923905)	(32, 37.76519747320738)	(34, 37.62612919517058)	(36, 37.60143126818982)	(38, 37.62065796378815)	(40, 37.514076338305465)	(42, 37.48557593201048)	(44, 37.38814887604167)	(46, 37.22513999878848)	(48, 36.934220179741764)	(50, 35.85526648929219)	(52, 35.97869501526938)	(54, 36.4546783618014)	(56, 36.57544142562933)	(58, 36.558618637663706)	(60, 36.34119672429129)	(62, 36.035298481169534)	(64, 35.7709202097855)	(66, 35.421034189390895)	(68, 35.15642372780731)	(70, 34.64066820626394)	(72, 34.33673504569509)	(74, 34.067540862756175)	(76, 33.598402564554505)	(78, 33.43768700492312)	(80, 33.18979490403224)	(82, 32.76102097800293)	(84, 32.41811812725859)	(86, 32.37563183803576)	(88, 32.308892576746274)	(90, 32.009031402787045)	(92, 31.904550797498292)	(94, 31.791620842836366)	(96, 31.796550589412757)	(98, 32.05776390878806)	(100, 30.934142263929985)
ERR950159_1_val_1	(1, 31.988432283271276)	(2, 26.06477065360822)	(3, 29.21641512102076)	(4, 35.03998407945654)	(5, 35.556403430861224)	(6, 35.59407787958063)	(7, 35.75816335001919)	(8, 35.73293745148961)	(9, 37.50178693999052)	(10, 37.48411756475268)	(12, 37.40518788565014)	(14, 38.685236620467435)	(16, 38.611765278637314)	(18, 38.61928828656343)	(20, 38.58258235743209)	(22, 38.46106624244986)	(24, 38.582639259075066)	(26, 38.455986330894675)	(28, 38.2785169336509)	(30, 38.105238521161056)	(32, 37.99341820284552)	(34, 37.83435991312023)	(36, 37.69404515368806)	(38, 37.57053224287409)	(40, 37.20608670320818)	(42, 36.99692867672002)	(44, 36.80341179967285)	(46, 36.56579595070828)	(48, 36.34348120676766)	(50, 35.084576364305235)	(52, 35.200088074461746)	(54, 35.726814406864975)	(56, 35.61590747927097)	(58, 35.305328396350305)	(60, 34.98359923688863)	(62, 34.615929261768784)	(64, 34.15175399304307)	(66, 33.7175568474096)	(68, 33.263305320084164)	(70, 32.80944033097559)	(72, 32.32231941024573)	(74, 31.998743367632017)	(76, 31.592955514788343)	(78, 31.244437690741485)	(80, 30.777547380640517)	(82, 30.541122681113475)	(84, 30.154599130044524)	(86, 30.0249038631381)	(88, 29.834447752553423)	(90, 29.457865460521177)	(92, 29.318415415367404)	(94, 29.27236602681728)	(96, 29.6307185897193)	(98, 30.259087378479443)	(100, 29.49700003538996)
ERR950159_2_val_2	(1, 31.68370457103907)	(2, 31.605915308110976)	(3, 31.45548265701477)	(4, 34.894837620784415)	(5, 35.25001052630743)	(6, 35.306114652540494)	(7, 35.408787609701996)	(8, 35.45270252019661)	(9, 37.30952070743142)	(10, 37.198105949866175)	(12, 37.201448126952826)	(14, 38.4815100444806)	(16, 38.4672949366078)	(18, 38.440995205763485)	(20, 38.49276497595632)	(22, 38.44638353316105)	(24, 38.439438801836104)	(26, 38.17141791247832)	(28, 37.992940099948285)	(30, 38.0196169158952)	(32, 37.889559993398215)	(34, 37.7113028609312)	(36, 37.677592833094074)	(38, 37.65278227683633)	(40, 37.65007942396868)	(42, 37.65175094697045)	(44, 37.4726039443067)	(46, 37.1651361647379)	(48, 37.090163483484815)	(50, 35.98791258520267)	(52, 35.93155933535182)	(54, 36.33926509108269)	(56, 36.451037274733814)	(58, 36.41098828410509)	(60, 36.25713557627458)	(62, 35.82664083238364)	(64, 35.50046946396483)	(66, 35.13763062865232)	(68, 34.752549954499024)	(70, 34.245755063274515)	(72, 34.03648453255758)	(74, 33.7187015175212)	(76, 33.34404128183749)	(78, 33.112312180793865)	(80, 32.81755012561716)	(82, 32.447868043026695)	(84, 32.24603038607889)	(86, 32.196302757824405)	(88, 31.89432414858296)	(90, 31.706882403683313)	(92, 31.57047831408437)	(94, 31.462958834629212)	(96, 31.579390841035732)	(98, 31.94251935967522)	(100, 30.786098763029486)
ERR950160_1_val_1	(1, 32.01103202485545)	(2, 32.21998223872917)	(3, 32.45785974104487)	(4, 36.02774734652501)	(5, 35.94481470904515)	(6, 35.88155962479961)	(7, 35.79168163842989)	(8, 35.799068041090884)	(9, 37.52587291103235)	(10, 37.47995467243813)	(12, 37.357257651522076)	(14, 38.60453535548104)	(16, 38.587155457941435)	(18, 38.6127340118008)	(20, 38.6168664594461)	(22, 38.746893955160274)	(24, 38.736713879147274)	(26, 38.59169460047383)	(28, 38.43860625149223)	(30, 38.399370901915546)	(32, 38.31611994555597)	(34, 38.2077408706672)	(36, 38.1467133472387)	(38, 37.99299104586136)	(40, 37.81617883420444)	(42, 37.61484802993286)	(44, 37.46945428073653)	(46, 37.28388205125292)	(48, 37.106816589144)	(50, 35.95170700543829)	(52, 35.922936194908175)	(54, 36.53515926059805)	(56, 36.57975729307205)	(58, 36.307247914777676)	(60, 35.95483988164473)	(62, 35.730826108193654)	(64, 35.34648970632529)	(66, 35.079684605954924)	(68, 34.5425250712422)	(70, 34.15186564139199)	(72, 33.72084310706185)	(74, 33.344861391857194)	(76, 33.03955603445018)	(78, 32.552573571075555)	(80, 32.21751996735842)	(82, 31.878278118300585)	(84, 31.5658912933605)	(86, 31.323345107715802)	(88, 30.992458121743603)	(90, 30.688552302777765)	(92, 30.618042868472347)	(94, 30.528313317755384)	(96, 30.65421143971308)	(98, 31.08231390504063)	(100, 29.873718943950344)
ERR950160_2_val_2	(1, 31.784078719714994)	(2, 31.680854062705652)	(3, 31.771427179564245)	(4, 35.120971227188825)	(5, 35.49976318879364)	(6, 35.404349841606575)	(7, 35.57476453577894)	(8, 35.6708612735957)	(9, 37.38369536683531)	(10, 37.34719297729198)	(12, 37.31492220449768)	(14, 38.58908687134302)	(16, 38.54384350251297)	(18, 38.644572750891726)	(20, 38.64496694850936)	(22, 38.59805725987211)	(24, 38.54794322659185)	(26, 38.39065001121484)	(28, 38.19414320459252)	(30, 38.127827098383634)	(32, 38.085683534365515)	(34, 37.87398584916622)	(36, 37.8490050297206)	(38, 37.83386747971217)	(40, 37.83891685855828)	(42, 37.78123877548104)	(44, 37.598465108088476)	(46, 37.47144430736466)	(48, 37.334102517889946)	(50, 36.19520584046107)	(52, 36.27924766183264)	(54, 36.619776989476094)	(56, 36.787987022075725)	(58, 36.70846242564437)	(60, 36.50572175698609)	(62, 36.16164056169039)	(64, 35.997377900090456)	(66, 35.5955088011062)	(68, 35.205042153692546)	(70, 34.79428626000719)	(72, 34.5225883208564)	(74, 34.27924798741679)	(76, 33.72489007464669)	(78, 33.44273869292513)	(80, 32.966198256585514)	(82, 32.65678280393641)	(84, 32.41406018376928)	(86, 32.40225036854767)	(88, 32.19879480045606)	(90, 31.949420777373852)	(92, 31.779083084164856)	(94, 31.625014810645215)	(96, 31.615374549113625)	(98, 32.0498773351319)	(100, 30.801390429500614)
ERR950161_1_val_1	(1, 30.931495151664073)	(2, 31.30398142762597)	(3, 31.922875796009627)	(4, 35.781404485948414)	(5, 35.67731664835987)	(6, 35.64519846727361)	(7, 35.58440003956162)	(8, 35.52664417792728)	(9, 37.186918766624665)	(10, 37.10863081552776)	(12, 37.02473410725935)	(14, 38.13765169188151)	(16, 38.08955714776144)	(18, 38.04380765112026)	(20, 37.99326757223713)	(22, 38.317698940041566)	(24, 38.45757978654568)	(26, 38.29284567708357)	(28, 38.161360454372684)	(30, 38.06098171134181)	(32, 37.973950746995406)	(34, 37.88592018267071)	(36, 37.7968498041799)	(38, 37.675972784094995)	(40, 37.519070239716754)	(42, 37.40433563738648)	(44, 37.15137069116197)	(46, 37.03656974437048)	(48, 36.8163553235875)	(50, 35.73447612370106)	(52, 35.87512049395605)	(54, 36.392225570376574)	(56, 36.45435331223507)	(58, 36.25252984432208)	(60, 35.96776673184286)	(62, 35.70862379685822)	(64, 35.37305323854708)	(66, 34.96721360360338)	(68, 34.5925969193506)	(70, 34.11166291633985)	(72, 33.69773794507692)	(74, 33.45078109266016)	(76, 33.01981638097331)	(78, 32.6118995100488)	(80, 32.284026394363195)	(82, 31.95565212457635)	(84, 31.464951623190387)	(86, 31.447612167448767)	(88, 31.214105833575296)	(90, 31.00335476642454)	(92, 31.00292387272102)	(94, 30.84753901311737)	(96, 30.791843417480358)	(98, 31.172778277038837)	(100, 30.278194555007616)
ERR950161_2_val_2	(1, 31.795923611270965)	(2, 31.66401614647139)	(3, 31.633788706809742)	(4, 35.084304467191885)	(5, 35.48720035129661)	(6, 35.53217966570212)	(7, 35.673340551419805)	(8, 35.78878197902155)	(9, 37.38122645315434)	(10, 37.42446820075143)	(12, 37.47586749478799)	(14, 38.67672064959034)	(16, 38.59409906562107)	(18, 38.57786489673944)	(20, 38.65289465881793)	(22, 38.68787860673493)	(24, 38.67809006590336)	(26, 38.59100156814682)	(28, 38.48855046590084)	(30, 38.32365296651019)	(32, 38.26538768845049)	(34, 38.18306225216854)	(36, 38.12295699259883)	(38, 38.1205573166032)	(40, 38.007600922054465)	(42, 37.97379085395275)	(44, 37.869333103658605)	(46, 37.73326643726361)	(48, 37.48182806070858)	(50, 36.40406250000247)	(52, 36.523710364357825)	(54, 36.985685949138144)	(56, 37.04782158772555)	(58, 37.00650365155465)	(60, 36.824162739750534)	(62, 36.53536922845372)	(64, 36.25096074212843)	(66, 35.952776057655726)	(68, 35.610334146232304)	(70, 35.17376348308123)	(72, 34.746668086317825)	(74, 34.46790977238652)	(76, 33.97428034882127)	(78, 33.81403306660966)	(80, 33.58747923538019)	(82, 33.13055746164176)	(84, 32.77200429382016)	(86, 32.79669134981803)	(88, 32.68999094815044)	(90, 32.38120593471095)	(92, 32.30352240811217)	(94, 32.02572707389604)	(96, 32.09864885439545)	(98, 32.36134041359347)	(100, 31.165950809436872)
ERR950162_1_val_1	(1, 31.528021494101374)	(2, 31.573608749400517)	(3, 32.031061458122196)	(4, 35.79958034786262)	(5, 35.668240870127875)	(6, 35.547605890079275)	(7, 35.47203868677263)	(8, 35.443565206549316)	(9, 37.104855314504874)	(10, 37.06914929798853)	(12, 36.949189957709415)	(14, 38.10983214114822)	(16, 38.058730609374706)	(18, 38.10444628201673)	(20, 38.1068608285381)	(22, 37.91979367546804)	(24, 38.15146301192769)	(26, 38.06505891587375)	(28, 37.862658531746355)	(30, 37.74799817036407)	(32, 37.6822997718936)	(34, 37.62841519663507)	(36, 37.56936003120592)	(38, 37.46439821973357)	(40, 37.23541359985305)	(42, 37.06706059527212)	(44, 36.8467509067266)	(46, 36.694149551961544)	(48, 36.494976385087995)	(50, 35.356866368891986)	(52, 35.44726715980162)	(54, 35.923051730231016)	(56, 35.909770347882144)	(58, 35.696553185347156)	(60, 35.46162602421919)	(62, 35.196158783776184)	(64, 34.75686818346472)	(66, 34.36149710686973)	(68, 33.85231314396941)	(70, 33.412837475893326)	(72, 32.95824195835371)	(74, 32.53588944006249)	(76, 32.199449211585005)	(78, 31.787355349120514)	(80, 31.547197481627162)	(82, 31.31782755544141)	(84, 30.999228929855924)	(86, 30.868829409082394)	(88, 30.69592939312308)	(90, 30.350287856015854)	(92, 30.30405968373482)	(94, 30.245030604533305)	(96, 30.377219013534017)	(98, 30.914160879726346)	(100, 29.882727945193523)
ERR950162_2_val_2	(1, 31.409834441929135)	(2, 31.442886733728706)	(3, 31.37126565586264)	(4, 34.780662834950704)	(5, 35.01899394805907)	(6, 34.8808571221632)	(7, 35.12474433502094)	(8, 35.26997251682854)	(9, 36.95759803852131)	(10, 36.79096898847798)	(12, 36.81909831022236)	(14, 38.03784180797654)	(16, 38.02219313527673)	(18, 38.00921974996063)	(20, 38.079405114779064)	(22, 37.95472070308202)	(24, 37.896128913212685)	(26, 37.67746499844025)	(28, 37.518229582279204)	(30, 37.498361967038335)	(32, 37.39248303395853)	(34, 37.018118807118356)	(36, 37.16694389073557)	(38, 37.05102535417646)	(40, 37.09679574190698)	(42, 37.18150986572854)	(44, 36.96307976352436)	(46, 36.74103058158505)	(48, 36.53952823174083)	(50, 35.366543547830204)	(52, 35.47930536427175)	(54, 35.63761912025886)	(56, 35.84340841220879)	(58, 35.80642628385965)	(60, 35.716935059631034)	(62, 35.228238102714826)	(64, 34.905003697693246)	(66, 34.46783861139562)	(68, 34.009439369211066)	(70, 33.61287325086004)	(72, 33.47625845504881)	(74, 33.21618120247645)	(76, 32.73629052828551)	(78, 32.588884355077624)	(80, 32.33719940506644)	(82, 31.9357865774205)	(84, 31.88238753948778)	(86, 31.91907620544028)	(88, 31.62239644780807)	(90, 31.481466900569743)	(92, 31.326601947923265)	(94, 31.20604379116425)	(96, 31.324469033320668)	(98, 31.811368084371516)	(100, 30.69122959936165)
