Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
ERR950158_1_val_1	(19.0, 8.0)	(20.0, 60.0)	(21.0, 633.0)	(22.0, 4007.0)	(23.0, 16495.0)	(24.0, 51567.0)	(25.0, 123611.0)	(26.0, 245869.0)	(27.0, 425349.0)	(28.0, 653710.0)	(29.0, 919700.0)	(30.0, 1206449.0)	(31.0, 1514435.0)	(32.0, 1870752.0)	(33.0, 2335080.0)	(34.0, 3008074.0)	(35.0, 4079691.0)	(36.0, 6033554.0)	(37.0, 7679383.0)	(38.0, 3935679.0)	(39.0, 710746.0)	(40.0, 985.0)							
ERR950158_2_val_2	(12.0, 3.0)	(13.0, 1.0)	(14.0, 7.0)	(15.0, 13.0)	(16.0, 47.0)	(17.0, 220.0)	(18.0, 566.0)	(19.0, 1650.0)	(20.0, 10356.0)	(21.0, 27393.0)	(22.0, 55275.0)	(23.0, 96002.0)	(24.0, 152197.0)	(25.0, 228273.0)	(26.0, 321560.0)	(27.0, 436666.0)	(28.0, 573174.0)	(29.0, 732141.0)	(30.0, 923460.0)	(31.0, 1157162.0)	(32.0, 1462021.0)	(33.0, 1884824.0)	(34.0, 2521747.0)	(35.0, 3471344.0)	(36.0, 5209791.0)	(37.0, 7345259.0)	(38.0, 6495788.0)	(39.0, 1690302.0)	(40.0, 18595.0)
ERR950159_1_val_1	(19.0, 1.0)	(20.0, 33.0)	(21.0, 236.0)	(22.0, 1523.0)	(23.0, 6874.0)	(24.0, 21879.0)	(25.0, 54344.0)	(26.0, 113853.0)	(27.0, 204590.0)	(28.0, 330934.0)	(29.0, 495871.0)	(30.0, 710775.0)	(31.0, 997521.0)	(32.0, 1399558.0)	(33.0, 1918217.0)	(34.0, 2490909.0)	(35.0, 3074415.0)	(36.0, 3684649.0)	(37.0, 3317840.0)	(38.0, 1129127.0)	(39.0, 186700.0)	(40.0, 167.0)							
ERR950159_2_val_2	(14.0, 1.0)	(15.0, 15.0)	(16.0, 60.0)	(17.0, 249.0)	(18.0, 647.0)	(19.0, 1360.0)	(20.0, 5659.0)	(21.0, 14853.0)	(22.0, 29657.0)	(23.0, 52671.0)	(24.0, 83819.0)	(25.0, 125720.0)	(26.0, 177975.0)	(27.0, 243230.0)	(28.0, 320012.0)	(29.0, 412106.0)	(30.0, 525686.0)	(31.0, 669005.0)	(32.0, 860040.0)	(33.0, 1127536.0)	(34.0, 1545745.0)	(35.0, 2157475.0)	(36.0, 3274494.0)	(37.0, 4406331.0)	(38.0, 3359796.0)	(39.0, 738415.0)	(40.0, 7459.0)		
ERR950160_1_val_1	(17.0, 1.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 24.0)	(21.0, 271.0)	(22.0, 1943.0)	(23.0, 8847.0)	(24.0, 28138.0)	(25.0, 71629.0)	(26.0, 148109.0)	(27.0, 264217.0)	(28.0, 418311.0)	(29.0, 601746.0)	(30.0, 811055.0)	(31.0, 1053664.0)	(32.0, 1350790.0)	(33.0, 1771954.0)	(34.0, 2417913.0)	(35.0, 3513286.0)	(36.0, 5461169.0)	(37.0, 6956277.0)	(38.0, 3533229.0)	(39.0, 632630.0)	(40.0, 1140.0)					
ERR950160_2_val_2	(13.0, 1.0)	(14.0, 7.0)	(15.0, 16.0)	(16.0, 54.0)	(17.0, 261.0)	(18.0, 659.0)	(19.0, 1566.0)	(20.0, 7443.0)	(21.0, 18736.0)	(22.0, 37318.0)	(23.0, 64931.0)	(24.0, 104076.0)	(25.0, 156605.0)	(26.0, 225150.0)	(27.0, 311321.0)	(28.0, 415766.0)	(29.0, 540962.0)	(30.0, 695397.0)	(31.0, 887061.0)	(32.0, 1143648.0)	(33.0, 1505931.0)	(34.0, 2048546.0)	(35.0, 2889666.0)	(36.0, 4488298.0)	(37.0, 6478216.0)	(38.0, 5620349.0)	(39.0, 1390164.0)	(40.0, 14197.0)	
ERR950161_1_val_1	(18.0, 1.0)	(19.0, 7.0)	(20.0, 87.0)	(21.0, 698.0)	(22.0, 3636.0)	(23.0, 15148.0)	(24.0, 46104.0)	(25.0, 109728.0)	(26.0, 220304.0)	(27.0, 383962.0)	(28.0, 595782.0)	(29.0, 847539.0)	(30.0, 1127552.0)	(31.0, 1439192.0)	(32.0, 1806669.0)	(33.0, 2306135.0)	(34.0, 3048935.0)	(35.0, 4211726.0)	(36.0, 6344708.0)	(37.0, 8239718.0)	(38.0, 4448913.0)	(39.0, 1120368.0)	(40.0, 1116.0)						
ERR950161_2_val_2	(13.0, 1.0)	(14.0, 4.0)	(15.0, 17.0)	(16.0, 44.0)	(17.0, 208.0)	(18.0, 470.0)	(19.0, 1309.0)	(20.0, 7414.0)	(21.0, 19717.0)	(22.0, 39654.0)	(23.0, 69493.0)	(24.0, 111197.0)	(25.0, 167663.0)	(26.0, 239980.0)	(27.0, 328946.0)	(28.0, 437049.0)	(29.0, 570922.0)	(30.0, 738117.0)	(31.0, 949416.0)	(32.0, 1233127.0)	(33.0, 1649523.0)	(34.0, 2303435.0)	(35.0, 3297311.0)	(36.0, 5296458.0)	(37.0, 8234478.0)	(38.0, 7977336.0)	(39.0, 2614687.0)	(40.0, 30052.0)	
ERR950162_1_val_1	(17.0, 1.0)	(18.0, 0.0)	(19.0, 4.0)	(20.0, 61.0)	(21.0, 570.0)	(22.0, 3821.0)	(23.0, 17255.0)	(24.0, 53751.0)	(25.0, 131643.0)	(26.0, 264274.0)	(27.0, 460426.0)	(28.0, 706125.0)	(29.0, 986142.0)	(30.0, 1283141.0)	(31.0, 1602676.0)	(32.0, 1969138.0)	(33.0, 2448896.0)	(34.0, 3144505.0)	(35.0, 4257093.0)	(36.0, 6079501.0)	(37.0, 7087429.0)	(38.0, 3473731.0)	(39.0, 971967.0)	(40.0, 2507.0)					
ERR950162_2_val_2	(13.0, 1.0)	(14.0, 4.0)	(15.0, 22.0)	(16.0, 96.0)	(17.0, 294.0)	(18.0, 831.0)	(19.0, 2312.0)	(20.0, 11468.0)	(21.0, 30397.0)	(22.0, 62170.0)	(23.0, 109982.0)	(24.0, 177523.0)	(25.0, 265585.0)	(26.0, 376584.0)	(27.0, 513974.0)	(28.0, 674886.0)	(29.0, 866755.0)	(30.0, 1095994.0)	(31.0, 1382082.0)	(32.0, 1743279.0)	(33.0, 2210345.0)	(34.0, 2851571.0)	(35.0, 3792153.0)	(36.0, 5594703.0)	(37.0, 7188090.0)	(38.0, 4842626.0)	(39.0, 1141073.0)	(40.0, 9857.0)	
