Sample	Unique Reads	Duplicate Reads
ERR950158_1_val_1	18524955.0	16290882.0
ERR950158_2_val_2	19791020.0	15024817.0
ERR950159_1_val_1	14212219.0	5927797.0
ERR950159_2_val_2	7787970.0	12352046.0
ERR950160_1_val_1	12130676.0	16915669.0
ERR950160_2_val_2	13147139.0	15899206.0
ERR950161_1_val_1	17349381.0	18968647.0
ERR950161_2_val_2	18598038.0	17719990.0
ERR950162_1_val_1	4307004.0	30637653.0
ERR950162_2_val_2	4671623.0	30273034.0
ERR950163_1_val_1	12608521.0	9440638.0
ERR950163_2_val_2	12910798.0	9138361.0
ERR950164_1_val_1	9905012.0	7348873.0
ERR950164_2_val_2	10422307.0	6831578.0
ERR950165_1_val_1	11521785.0	10572825.0
ERR950165_2_val_2	12080585.0	10014025.0
ERR950166_1_val_1	20772145.0	4336511.0
ERR950166_2_val_2	13960962.0	11147694.0
ERR950167_1_val_1	2748101.0	28715258.0
ERR950167_2_val_2	3030311.0	28433048.0
ERR950168_1_val_1	8368946.0	15500845.0
ERR950168_2_val_2	8589889.0	15279902.0
ERR950169_1_val_1	19015924.0	12123761.0
ERR950169_2_val_2	8083487.0	23056198.0
ERR950170_1_val_1	20587704.0	6713093.0
ERR950170_2_val_2	11172978.0	16127819.0
ERR950171_1_val_1	29506807.0	8097065.0
ERR950171_2_val_2	20325957.0	17277915.0
ERR950172_1_val_1	10212023.0	12181054.0
ERR950172_2_val_2	10800008.0	11593069.0
ERR950173_1_val_1	9002421.0	9932488.0
ERR950173_2_val_2	9741175.0	9193734.0
ERR950174_1_val_1	8052050.0	15982666.0
ERR950174_2_val_2	8715714.0	15319002.0
ERR950175_1_val_1	19861763.0	6541955.0
ERR950175_2_val_2	11743200.0	14660518.0
ERR950176_1_val_1	9103097.0	13912839.0
ERR950176_2_val_2	1610271.0	21405665.0
ERR950177_1_val_1	5698558.0	16447525.0
ERR950177_2_val_2	6223686.0	15922397.0
ERR950178_1_val_1	13780932.0	10734101.0
ERR950178_2_val_2	14182010.0	10333023.0
ERR950179_1_val_1	7625554.0	9258268.0
ERR950179_2_val_2	8202120.0	8681702.0
ERR950180_1_val_1	14998204.0	15977604.0
ERR950180_2_val_2	15534254.0	15441554.0
ERR950181_1_val_1	18041045.0	6303473.0
ERR950181_2_val_2	10761788.0	13582730.0
ERR950182_1_val_1	9420803.0	14785278.0
ERR950182_2_val_2	9781730.0	14424351.0
ERR950183_1_val_1	14214338.0	13332755.0
ERR950183_2_val_2	14775051.0	12772042.0
ERR950184_1_val_1	18439614.0	5288464.0
ERR950184_2_val_2	13504068.0	10224010.0
ERR950185_1_val_1	11291438.0	11000624.0
ERR950185_2_val_2	11652369.0	10639693.0
ERR950186_1_val_1	19528599.0	6561018.0
ERR950186_2_val_2	10002191.0	16087426.0
ERR950187_1_val_1	6191447.0	18019447.0
ERR950187_2_val_2	6515677.0	17695217.0
