Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR950158_1_val_1	(1.0, 42.292904219320256)	(2.0, 14.487808348788892)	(3.0, 5.296415558445782)	(4.0, 2.739958530444107)	(5.0, 1.6083293449101959)	(6.0, 1.1792468172415538)	(7.0, 0.9162148617695786)	(8.0, 0.7324256714637001)	(9.0, 0.6216080796262138)	('>10', 6.478034411866805)	('>50', 2.0087790182222345)	('>100', 4.593952134501531)	('>500', 2.0269519330995767)	('>1k', 4.802172149186204)	('>5k', 2.6735423337971516)	('>10k+', 7.541656587316109)
ERR950158_2_val_2	(1.0, 46.59864598241709)	(2.0, 14.17845168263068)	(3.0, 4.84709172934779)	(4.0, 2.2112441471715907)	(5.0, 1.3054610194169451)	(6.0, 0.9415583341834942)	(7.0, 0.7065448029343682)	(8.0, 0.5486032685507991)	(9.0, 0.4511744918751094)	('>10', 5.432372020821086)	('>50', 2.0148906974039456)	('>100', 4.787266111121191)	('>500', 2.1245848481474994)	('>1k', 5.162332217987862)	('>5k', 2.1352083635642956)	('>10k+', 6.554570282426493)
ERR950159_1_val_1	(1.0, 61.90826552234974)	(2.0, 12.727466143364035)	(3.0, 3.2358293016785415)	(4.0, 1.4490754553365213)	(5.0, 0.8818970817066587)	(6.0, 0.7311122734111417)	(7.0, 0.5576897402959308)	(8.0, 0.5177218833307842)	(9.0, 0.44453938400303616)	('>10', 5.977277460327989)	('>50', 1.886721085778188)	('>100', 2.8636776574060754)	('>500', 1.2384488781382972)	('>1k', 2.62657129292158)	('>5k', 1.1656357563192863)	('>10k+', 1.7880710836321014)
ERR950159_2_val_2	(1.0, 26.57785628854152)	(2.0, 15.43208344157284)	(3.0, 7.560340717509045)	(4.0, 3.3778158099678075)	(5.0, 1.6137975523642163)	(6.0, 0.9058332508064117)	(7.0, 0.6037796830618088)	(8.0, 0.4443078436101623)	(9.0, 0.3887874009271096)	('>10', 5.360512750135958)	('>50', 2.588263909365684)	('>100', 7.301846365813993)	('>500', 3.5041665575733814)	('>1k', 9.249102227962004)	('>5k', 3.7878444553706077)	('>10k+', 11.303661745417461)
ERR950160_1_val_1	(1.0, 27.737277053087567)	(2.0, 17.22202927489934)	(3.0, 8.599562952130487)	(4.0, 4.201616546053451)	(5.0, 2.3408176512854277)	(6.0, 1.5319312284971172)	(7.0, 1.0689830254349695)	(8.0, 0.8396039630105739)	(9.0, 0.6659005166480628)	('>10', 6.948391171205589)	('>50', 1.9601033962625918)	('>100', 4.301841201934188)	('>500', 2.0070696975191855)	('>1k', 5.152377341253672)	('>5k', 2.86338047623108)	('>10k+', 12.559114504546947)
ERR950160_2_val_2	(1.0, 31.151487965863307)	(2.0, 17.978887945090666)	(3.0, 8.568054313712011)	(4.0, 3.900599269636356)	(5.0, 2.14021681619636)	(6.0, 1.2779230125749528)	(7.0, 0.8800637380608943)	(8.0, 0.6820196944682454)	(9.0, 0.5821120835291369)	('>10', 5.782290426955871)	('>50', 1.931361414335912)	('>100', 4.645522491476079)	('>500', 2.1123486692569804)	('>1k', 5.895414356896319)	('>5k', 2.288572691280198)	('>10k+', 10.18312511066679)
ERR950161_1_val_1	(1.0, 33.552926223013976)	(2.0, 18.179626841381083)	(3.0, 8.233180143553524)	(4.0, 3.953840442185546)	(5.0, 2.188827808872937)	(6.0, 1.3893094512971935)	(7.0, 1.072818174396456)	(8.0, 0.815131910464185)	(9.0, 0.6323847440455704)	('>10', 6.229239991847997)	('>50', 1.940847035610063)	('>100', 4.386060960739627)	('>500', 1.8865804374037076)	('>1k', 5.0444627297244775)	('>5k', 2.2411083948814015)	('>10k+', 8.25365471058226)
ERR950161_2_val_2	(1.0, 37.276945317857646)	(2.0, 18.545049135436358)	(3.0, 7.988283898102377)	(4.0, 3.487597972501909)	(5.0, 1.8445602527978209)	(6.0, 1.1190120473577345)	(7.0, 0.721404909572079)	(8.0, 0.6196168126102672)	(9.0, 0.49973068305233626)	('>10', 5.113164396841414)	('>50', 1.8801650817298006)	('>100', 4.568380307559945)	('>500', 2.1173159552498158)	('>1k', 4.985374913414214)	('>5k', 1.846471124173589)	('>10k+', 7.386927191742747)
ERR950162_1_val_1	(1.0, 4.768832836288285)	(2.0, 4.301054390188599)	(3.0, 4.950238413754925)	(4.0, 4.804271112322246)	(5.0, 4.1999880815426955)	(6.0, 3.383734264171095)	(7.0, 2.459866733729287)	(8.0, 1.7411738946318474)	(9.0, 1.2070830921456923)	('>10', 6.241843469116022)	('>50', 1.9403168093587257)	('>100', 5.730945443436242)	('>500', 3.235065201998053)	('>1k', 9.043692436113506)	('>5k', 5.099048681243043)	('>10k+', 36.89284513995967)
ERR950162_2_val_2	(1.0, 5.641994917472507)	(2.0, 4.615009089418729)	(3.0, 5.158039399780595)	(4.0, 4.848478443859097)	(5.0, 4.273897388168135)	(6.0, 3.301620351227209)	(7.0, 2.3251468941846882)	(8.0, 1.6333328324989516)	(9.0, 1.112834389462466)	('>10', 5.892343303757438)	('>50', 2.098144371388131)	('>100', 6.396008011621642)	('>500', 3.5354827227722945)	('>1k', 10.375796804915444)	('>5k', 5.550475042691849)	('>10k+', 33.24139603678085)
ERR950163_1_val_1	(1.0, 48.76036365428906)	(2.0, 11.492852901903285)	(3.0, 3.74725327769354)	(4.0, 1.8587496853244074)	(5.0, 1.2540539829889934)	(6.0, 0.8695991845615952)	(7.0, 0.6591530613422701)	(8.0, 0.5612176748600981)	(9.0, 0.48076846134296697)	('>10', 5.44385402181853)	('>50', 1.9460281890129338)	('>100', 4.8979735118404335)	('>500', 2.332285666667662)	('>1k', 5.9937323030830445)	('>5k', 2.7702330739479932)	('>10k+', 6.931881349323291)
ERR950163_2_val_2	(1.0, 50.44538172665997)	(2.0, 11.141642894132007)	(3.0, 3.5052986713894554)	(4.0, 1.83432939187723)	(5.0, 1.1316814155256862)	(6.0, 0.7717091147305067)	(7.0, 0.6397950721234421)	(8.0, 0.5112817978062209)	(9.0, 0.47442934385703306)	('>10', 5.42141886763196)	('>50', 2.035434728703451)	('>100', 5.463214166375083)	('>500', 2.5243543818345615)	('>1k', 5.76534364704175)	('>5k', 2.3102873983661296)	('>10k+', 6.024397381945572)
ERR950164_1_val_1	(1.0, 48.74902541292428)	(2.0, 11.751602966473818)	(3.0, 3.87757642139942)	(4.0, 1.9850454693842299)	(5.0, 1.320888118953747)	(6.0, 0.9505292878526882)	(7.0, 0.6983361904471805)	(8.0, 0.5803707692923779)	(9.0, 0.4919776339931875)	('>10', 5.338045878153411)	('>50', 1.9733117616072555)	('>100', 4.882490782899715)	('>500', 1.9302626265470908)	('>1k', 5.53017914267456)	('>5k', 2.499987317400028)	('>10k+', 7.4403702199970025)
ERR950164_2_val_2	(1.0, 52.34648313086229)	(2.0, 11.255060427236405)	(3.0, 3.5127679635844995)	(4.0, 1.6392042569893435)	(5.0, 1.0185253464318627)	(6.0, 0.7984297850441984)	(7.0, 0.5675682468298286)	(8.0, 0.4900121712074558)	(9.0, 0.3858368054317765)	('>10', 5.138364362282464)	('>50', 2.06486913222906)	('>100', 5.271220047475788)	('>500', 2.235880459763919)	('>1k', 5.317999550059702)	('>5k', 2.036254782000559)	('>10k+', 5.921523532570944)
ERR950165_1_val_1	(1.0, 42.73266200565784)	(2.0, 12.32740886066957)	(3.0, 4.49483394691493)	(4.0, 2.272170538481129)	(5.0, 1.4626912063881894)	(6.0, 1.1332041170395897)	(7.0, 0.8217007837349707)	(8.0, 0.6922103666241894)	(9.0, 0.6108563641435739)	('>10', 6.764722642941553)	('>50', 2.132797241806518)	('>100', 4.914530410265486)	('>500', 2.17242413602263)	('>1k', 6.020828962876729)	('>5k', 2.6441966546075597)	('>10k+', 8.802761761825717)
ERR950165_2_val_2	(1.0, 45.695794996822116)	(2.0, 12.079886135952878)	(3.0, 4.176055201602342)	(4.0, 2.0596851689784823)	(5.0, 1.3012221980983398)	(6.0, 0.9714893509660408)	(7.0, 0.759115303156962)	(8.0, 0.6279452187023722)	(9.0, 0.48709974463301764)	('>10', 5.740119525172152)	('>50', 2.132139260543067)	('>100', 5.188583285520767)	('>500', 2.3272040198478243)	('>1k', 6.174340353616094)	('>5k', 2.6971291865701144)	('>10k+', 7.582191049817418)
ERR950166_1_val_1	(1.0, 77.15872761722459)	(2.0, 7.600479137754544)	(3.0, 2.2246383465682733)	(4.0, 1.240005205912695)	(5.0, 0.8405354966980546)	(6.0, 0.6556138080610926)	(7.0, 0.507256507299494)	(8.0, 0.47687139125478906)	(9.0, 0.4026883483541097)	('>10', 4.378637821094507)	('>50', 1.0952922166935208)	('>100', 1.4390278158561722)	('>500', 0.45316589985578165)	('>1k', 0.9610707594794364)	('>5k', 0.2500383318931617)	('>10k+', 0.31595129599974137)
ERR950166_2_val_2	(1.0, 45.638709859521285)	(2.0, 13.811552746127898)	(3.0, 4.610354763322022)	(4.0, 2.154149520088183)	(5.0, 1.3242378669851)	(6.0, 0.9121486955817277)	(7.0, 0.668691315923913)	(8.0, 0.5728064609396973)	(9.0, 0.4797579631455905)	('>10', 5.32812709525986)	('>50', 2.058812746727947)	('>100', 5.139246654386001)	('>500', 2.4061721217239707)	('>1k', 5.690254681957791)	('>5k', 2.470462192658122)	('>10k+', 6.734515315650633)
ERR950167_1_val_1	(1.0, 4.022063816764735)	(2.0, 3.4682295316758567)	(3.0, 3.219110723146716)	(4.0, 2.6408328796807514)	(5.0, 1.9480879564113527)	(6.0, 1.378626817320223)	(7.0, 0.9579205183292585)	(8.0, 0.6609331363319576)	(9.0, 0.48346659602787334)	('>10', 5.120597218613651)	('>50', 2.456007503542336)	('>100', 7.950050271054518)	('>500', 4.615645413036443)	('>1k', 13.538285911810316)	('>5k', 7.462117357899838)	('>10k+', 40.07802434835416)
ERR950167_2_val_2	(1.0, 4.988790062742875)	(2.0, 3.4341042322526762)	(3.0, 3.1493754218821994)	(4.0, 2.5276332530683128)	(5.0, 1.8999996525316791)	(6.0, 1.291811971356965)	(7.0, 0.8912363501055327)	(8.0, 0.6515880976428868)	(9.0, 0.48149723166167535)	('>10', 5.559785730930029)	('>50', 2.9302420214922917)	('>100', 9.3888136227914)	('>500', 5.245625326002117)	('>1k', 14.794796743410583)	('>5k', 7.6851231759743195)	('>10k+', 35.07957710615445)
ERR950168_1_val_1	(1.0, 26.963866428473)	(2.0, 10.37129715202708)	(3.0, 4.1900435509230265)	(4.0, 2.025273117500255)	(5.0, 1.3077342451232326)	(6.0, 0.8536346152301739)	(7.0, 0.7222035447189296)	(8.0, 0.5575855996925836)	(9.0, 0.4936824504908014)	('>10', 5.612765554505473)	('>50', 2.3073686380899927)	('>100', 6.851163974726596)	('>500', 3.921072728014827)	('>1k', 11.223103452334476)	('>5k', 4.934014640893207)	('>10k+', 17.665190307256367)
ERR950168_2_val_2	(1.0, 28.09543003780676)	(2.0, 10.324842561481598)	(3.0, 3.965215221022441)	(4.0, 1.901693083752221)	(5.0, 1.1327432814475273)	(6.0, 0.8363662308784575)	(7.0, 0.616305723494233)	(8.0, 0.47952727557022556)	(9.0, 0.4306186360343698)	('>10', 5.502350159874556)	('>50', 2.5031191323967525)	('>100', 7.261365712785353)	('>500', 3.9505778900655515)	('>1k', 10.943049105823476)	('>5k', 4.959587584422347)	('>10k+', 17.097208363144226)
ERR950169_1_val_1	(1.0, 45.099472202974155)	(2.0, 21.71741218578985)	(3.0, 8.711170959297213)	(4.0, 3.7133063014458187)	(5.0, 1.932574002714565)	(6.0, 1.2391291400540705)	(7.0, 0.945732876543848)	(8.0, 0.7190061233429236)	(9.0, 0.6025747668862526)	('>10', 6.320644738283304)	('>50', 1.820983266423447)	('>100', 2.515442897290976)	('>500', 0.8663416039188637)	('>1k', 2.0903421633700714)	('>5k', 0.7462456738228198)	('>10k+', 0.9596210978418409)
ERR950169_2_val_2	(1.0, 11.321779619988066)	(2.0, 10.456472026076062)	(3.0, 10.45688068044452)	(4.0, 8.88296313876809)	(5.0, 6.441972752065722)	(6.0, 4.838011243271991)	(7.0, 3.3414597963801365)	(8.0, 2.4005451188153644)	(9.0, 1.701391534188115)	('>10', 9.437576268814908)	('>50', 2.387272088282545)	('>100', 5.300362044521105)	('>500', 2.549240416125379)	('>1k', 6.6999876547762875)	('>5k', 3.5961302474168213)	('>10k+', 10.187955370064826)
ERR950170_1_val_1	(1.0, 65.66331379973317)	(2.0, 14.443201157765689)	(3.0, 3.785262464467086)	(4.0, 1.7485897452508403)	(5.0, 1.1052465921780004)	(6.0, 0.8041469737456791)	(7.0, 0.5684756013898701)	(8.0, 0.47750135346709005)	(9.0, 0.45528987444911584)	('>10', 4.624222831866183)	('>50', 1.186551539696309)	('>100', 1.5542022119795287)	('>500', 0.5489671019795097)	('>1k', 1.1387583015363973)	('>5k', 0.4962146474976145)	('>10k+', 1.4000558029979906)
ERR950170_2_val_2	(1.0, 25.55150755649776)	(2.0, 17.803905324490124)	(3.0, 10.551386333827896)	(4.0, 5.652715051185595)	(5.0, 2.9955498911446505)	(6.0, 1.662592442317832)	(7.0, 1.0366828642123938)	(8.0, 0.7396640756761174)	(9.0, 0.5885524390746251)	('>10', 5.532602634208159)	('>50', 1.9397589380088078)	('>100', 5.065308895187578)	('>500', 2.375378166309217)	('>1k', 6.112258599870693)	('>5k', 2.274046741380616)	('>10k+', 10.118090046607788)
ERR950171_1_val_1	(1.0, 72.51622518612358)	(2.0, 7.836088832948228)	(3.0, 2.544832797763791)	(4.0, 1.3978833106101793)	(5.0, 0.9606548172592582)	(6.0, 0.7421125160237322)	(7.0, 0.6034650350487939)	(8.0, 0.5081392802402992)	(9.0, 0.44075983887872267)	('>10', 5.32135539206769)	('>50', 1.7021116533223513)	('>100', 2.2354779059817025)	('>500', 0.6392783487038544)	('>1k', 1.3171482786559632)	('>5k', 0.47443697635594906)	('>10k+', 0.7600298300159377)
ERR950171_2_val_2	(1.0, 45.731299942064354)	(2.0, 11.15573674368568)	(3.0, 3.7878686970221995)	(4.0, 2.038900354693)	(5.0, 1.250371450295947)	(6.0, 0.8438065839161988)	(7.0, 0.7400814359834741)	(8.0, 0.5443408068397375)	(9.0, 0.4325036008217536)	('>10', 5.567763475974979)	('>50', 2.099488052560992)	('>100', 5.487079759521797)	('>500', 2.5072833692068786)	('>1k', 6.194029291303219)	('>5k', 2.3955652088937947)	('>10k+', 9.223881227216122)
