Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
ERR950158_1_val_1	(50, 117600.0)	(52, 142725.0)	(54, 147923.0)	(56, 170792.0)	(58, 191807.0)	(60, 218862.0)	(62, 228388.0)	(64, 255607.0)	(66, 288242.0)	(68, 327033.0)	(70, 384072.0)	(72, 382754.0)	(74, 432981.0)	(76, 467809.0)	(78, 489987.0)	(80, 534375.0)	(82, 561173.0)	(84, 606787.0)	(86, 697887.0)	(88, 758413.0)	(90, 899148.0)	(92, 1085487.0)	(94, 1526898.0)	(96, 2145510.0)	(98, 5120340.0)	(100, 16633237.0)
ERR950158_2_val_2	(50, 143774.0)	(52, 159539.0)	(54, 164205.0)	(56, 181850.0)	(58, 206802.0)	(60, 232358.0)	(62, 241224.0)	(64, 270423.0)	(66, 291952.0)	(68, 338147.0)	(70, 379335.0)	(72, 376251.0)	(74, 426505.0)	(76, 428645.0)	(78, 468137.0)	(80, 576676.0)	(82, 505707.0)	(84, 538083.0)	(86, 617752.0)	(88, 675587.0)	(90, 777287.0)	(92, 912876.0)	(94, 1216184.0)	(96, 1700861.0)	(98, 4529505.0)	(100, 18456172.0)
ERR950159_1_val_1	(50, 62317.0)	(52, 77028.0)	(54, 83743.0)	(56, 103064.0)	(58, 122380.0)	(60, 151659.0)	(62, 158433.0)	(64, 180867.0)	(66, 201606.0)	(68, 232735.0)	(70, 289296.0)	(72, 299096.0)	(74, 333531.0)	(76, 361711.0)	(78, 394054.0)	(80, 422329.0)	(82, 451589.0)	(84, 510654.0)	(86, 586226.0)	(88, 646771.0)	(90, 744357.0)	(92, 827108.0)	(94, 1077508.0)	(96, 1453879.0)	(98, 2922411.0)	(100, 7445664.0)
ERR950159_2_val_2	(50, 73382.0)	(52, 77047.0)	(54, 74898.0)	(56, 85162.0)	(58, 100129.0)	(60, 116664.0)	(62, 119702.0)	(64, 132796.0)	(66, 146640.0)	(68, 173473.0)	(70, 208023.0)	(72, 202555.0)	(74, 233247.0)	(76, 236130.0)	(78, 271998.0)	(80, 384540.0)	(82, 284943.0)	(84, 325102.0)	(86, 386542.0)	(88, 409749.0)	(90, 486703.0)	(92, 569842.0)	(94, 753005.0)	(96, 1058930.0)	(98, 2891101.0)	(100, 10337713.0)
ERR950160_1_val_1	(50, 90516.0)	(52, 108334.0)	(54, 120104.0)	(56, 131790.0)	(58, 143412.0)	(60, 171191.0)	(62, 174893.0)	(64, 204753.0)	(66, 229743.0)	(68, 256740.0)	(70, 326195.0)	(72, 308632.0)	(74, 352648.0)	(76, 375103.0)	(78, 395211.0)	(80, 462454.0)	(82, 496221.0)	(84, 570948.0)	(86, 683073.0)	(88, 720599.0)	(90, 842125.0)	(92, 990339.0)	(94, 1369700.0)	(96, 2016712.0)	(98, 4671847.0)	(100, 12833062.0)
ERR950160_2_val_2	(50, 114744.0)	(52, 127524.0)	(54, 133953.0)	(56, 141483.0)	(58, 157970.0)	(60, 181903.0)	(62, 184568.0)	(64, 213792.0)	(66, 233187.0)	(68, 262126.0)	(70, 315677.0)	(72, 299580.0)	(74, 352924.0)	(76, 347531.0)	(78, 378059.0)	(80, 456617.0)	(82, 414279.0)	(84, 456269.0)	(86, 546748.0)	(88, 584886.0)	(90, 698165.0)	(92, 824819.0)	(94, 1083989.0)	(96, 1474202.0)	(98, 4093804.0)	(100, 14967546.0)
ERR950161_1_val_1	(50, 227350.0)	(52, 259935.0)	(54, 274714.0)	(56, 302266.0)	(58, 318515.0)	(60, 347797.0)	(62, 354628.0)	(64, 392813.0)	(66, 413955.0)	(68, 455141.0)	(70, 565310.0)	(72, 503629.0)	(74, 557194.0)	(76, 576484.0)	(78, 583287.0)	(80, 641914.0)	(82, 647499.0)	(84, 682253.0)	(86, 772163.0)	(88, 814573.0)	(90, 948575.0)	(92, 1123222.0)	(94, 1511761.0)	(96, 2072726.0)	(98, 4931553.0)	(100, 16038771.0)
ERR950161_2_val_2	(50, 241034.0)	(52, 267363.0)	(54, 279367.0)	(56, 300844.0)	(58, 317632.0)	(60, 345095.0)	(62, 350977.0)	(64, 384667.0)	(66, 404354.0)	(68, 458475.0)	(70, 551325.0)	(72, 476723.0)	(74, 525972.0)	(76, 516593.0)	(78, 533250.0)	(80, 612368.0)	(82, 552977.0)	(84, 580668.0)	(86, 654385.0)	(88, 684009.0)	(90, 768723.0)	(92, 863215.0)	(94, 1089901.0)	(96, 1501528.0)	(98, 4334661.0)	(100, 18721922.0)
ERR950162_1_val_1	(50, 214126.0)	(52, 275258.0)	(54, 324596.0)	(56, 318165.0)	(58, 301522.0)	(60, 371355.0)	(62, 305494.0)	(64, 370663.0)	(66, 399925.0)	(68, 442323.0)	(70, 613933.0)	(72, 551794.0)	(74, 624699.0)	(76, 597383.0)	(78, 574046.0)	(80, 701902.0)	(82, 705140.0)	(84, 786842.0)	(86, 994857.0)	(88, 992201.0)	(90, 1196285.0)	(92, 1352250.0)	(94, 1737351.0)	(96, 2154439.0)	(98, 4594695.0)	(100, 13443413.0)
ERR950162_2_val_2	(50, 262902.0)	(52, 297228.0)	(54, 342112.0)	(56, 330646.0)	(58, 330013.0)	(60, 390272.0)	(62, 326390.0)	(64, 372913.0)	(66, 391004.0)	(68, 446189.0)	(70, 592391.0)	(72, 539519.0)	(74, 623198.0)	(76, 557276.0)	(78, 622403.0)	(80, 1021449.0)	(82, 617185.0)	(84, 675842.0)	(86, 889333.0)	(88, 851509.0)	(90, 1054359.0)	(92, 1194190.0)	(94, 1429974.0)	(96, 1652777.0)	(98, 4496183.0)	(100, 14637400.0)
ERR950163_1_val_1	(50, 79237.0)	(52, 89028.0)	(54, 98543.0)	(56, 110946.0)	(58, 121348.0)	(60, 136223.0)	(62, 149299.0)	(64, 176866.0)	(66, 189847.0)	(68, 204951.0)	(70, 243125.0)	(72, 242575.0)	(74, 283555.0)	(76, 296809.0)	(78, 316620.0)	(80, 354072.0)	(82, 385527.0)	(84, 441687.0)	(86, 513098.0)	(88, 552390.0)	(90, 636221.0)	(92, 755065.0)	(94, 1027921.0)	(96, 1534897.0)	(98, 3496498.0)	(100, 9612811.0)
ERR950163_2_val_2	(50, 101501.0)	(52, 106035.0)	(54, 111916.0)	(56, 123166.0)	(58, 135940.0)	(60, 150435.0)	(62, 162013.0)	(64, 188787.0)	(66, 196999.0)	(68, 213784.0)	(70, 241445.0)	(72, 245012.0)	(74, 288931.0)	(76, 287152.0)	(78, 314837.0)	(80, 379718.0)	(82, 335744.0)	(84, 383280.0)	(86, 440412.0)	(88, 476457.0)	(90, 553493.0)	(92, 652597.0)	(94, 838898.0)	(96, 1162624.0)	(98, 3054168.0)	(100, 10903815.0)
ERR950164_1_val_1	(50, 57965.0)	(52, 65052.0)	(54, 72416.0)	(56, 79383.0)	(58, 84333.0)	(60, 95869.0)	(62, 101714.0)	(64, 116258.0)	(66, 129766.0)	(68, 141073.0)	(70, 169558.0)	(72, 167210.0)	(74, 190491.0)	(76, 202705.0)	(78, 216861.0)	(80, 250876.0)	(82, 271524.0)	(84, 312182.0)	(86, 373227.0)	(88, 404765.0)	(90, 470087.0)	(92, 570707.0)	(94, 787686.0)	(96, 1217152.0)	(98, 2894969.0)	(100, 7810056.0)
ERR950164_2_val_2	(50, 72163.0)	(52, 75441.0)	(54, 80713.0)	(56, 85976.0)	(58, 92677.0)	(60, 102886.0)	(62, 107458.0)	(64, 121778.0)	(66, 131501.0)	(68, 144593.0)	(70, 166348.0)	(72, 164050.0)	(74, 193917.0)	(76, 193285.0)	(78, 213997.0)	(80, 271018.0)	(82, 230929.0)	(84, 254909.0)	(86, 302263.0)	(88, 333397.0)	(90, 393720.0)	(92, 477555.0)	(94, 619512.0)	(96, 873015.0)	(98, 2462756.0)	(100, 9088028.0)
ERR950165_1_val_1	(50, 58918.0)	(52, 71120.0)	(54, 78313.0)	(56, 86339.0)	(58, 96328.0)	(60, 110452.0)	(62, 115148.0)	(64, 136134.0)	(66, 148254.0)	(68, 165721.0)	(70, 206430.0)	(72, 200176.0)	(74, 234098.0)	(76, 250987.0)	(78, 260933.0)	(80, 299302.0)	(82, 314917.0)	(84, 340435.0)	(86, 398578.0)	(88, 442461.0)	(90, 534853.0)	(92, 669181.0)	(94, 959299.0)	(96, 1416114.0)	(98, 3510332.0)	(100, 10989787.0)
ERR950165_2_val_2	(50, 69213.0)	(52, 77086.0)	(54, 82873.0)	(56, 88588.0)	(58, 97424.0)	(60, 111402.0)	(62, 115977.0)	(64, 134762.0)	(66, 143904.0)	(68, 168115.0)	(70, 199494.0)	(72, 185799.0)	(74, 215932.0)	(76, 217205.0)	(78, 231720.0)	(80, 282586.0)	(82, 260520.0)	(84, 285325.0)	(86, 331529.0)	(88, 363942.0)	(90, 423761.0)	(92, 500476.0)	(94, 669176.0)	(96, 987891.0)	(98, 2968003.0)	(100, 12881907.0)
ERR950166_1_val_1	(50, 78438.0)	(52, 91988.0)	(54, 106327.0)	(56, 124066.0)	(58, 141881.0)	(60, 164713.0)	(62, 181169.0)	(64, 211655.0)	(66, 229667.0)	(68, 253427.0)	(70, 303328.0)	(72, 307763.0)	(74, 357504.0)	(76, 384789.0)	(78, 428966.0)	(80, 457382.0)	(82, 489110.0)	(84, 545407.0)	(86, 618259.0)	(88, 684858.0)	(90, 787028.0)	(92, 934050.0)	(94, 1221632.0)	(96, 1677665.0)	(98, 3604300.0)	(100, 10723284.0)
ERR950166_2_val_2	(50, 89406.0)	(52, 93203.0)	(54, 101218.0)	(56, 111555.0)	(58, 126917.0)	(60, 140659.0)	(62, 153509.0)	(64, 178310.0)	(66, 184077.0)	(68, 209277.0)	(70, 238544.0)	(72, 229857.0)	(74, 274323.0)	(76, 270851.0)	(78, 302444.0)	(80, 378671.0)	(82, 338963.0)	(84, 378469.0)	(86, 429342.0)	(88, 467664.0)	(90, 548846.0)	(92, 673654.0)	(94, 888579.0)	(96, 1272843.0)	(98, 3490479.0)	(100, 13536996.0)
ERR950167_1_val_1	(50, 152778.0)	(52, 207976.0)	(54, 171753.0)	(56, 202825.0)	(58, 221990.0)	(60, 272822.0)	(62, 226495.0)	(64, 274979.0)	(66, 304931.0)	(68, 342418.0)	(70, 504564.0)	(72, 479678.0)	(74, 505096.0)	(76, 536263.0)	(78, 501470.0)	(80, 565938.0)	(82, 567460.0)	(84, 628617.0)	(86, 786699.0)	(88, 884293.0)	(90, 944010.0)	(92, 973589.0)	(94, 1443369.0)	(96, 1910843.0)	(98, 4295955.0)	(100, 13556548.0)
ERR950167_2_val_2	(50, 169775.0)	(52, 210922.0)	(54, 176623.0)	(56, 197558.0)	(58, 226857.0)	(60, 267081.0)	(62, 223233.0)	(64, 259056.0)	(66, 283809.0)	(68, 335995.0)	(70, 475247.0)	(72, 430406.0)	(74, 460799.0)	(76, 457016.0)	(78, 473477.0)	(80, 695619.0)	(82, 475024.0)	(84, 523815.0)	(86, 682799.0)	(88, 765276.0)	(90, 766130.0)	(92, 756179.0)	(94, 1037490.0)	(96, 1324247.0)	(98, 3939925.0)	(100, 15849001.0)
ERR950168_1_val_1	(50, 82749.0)	(52, 103489.0)	(54, 108585.0)	(56, 123835.0)	(58, 130671.0)	(60, 157245.0)	(62, 159022.0)	(64, 180960.0)	(66, 192728.0)	(68, 223444.0)	(70, 284655.0)	(72, 279815.0)	(74, 310808.0)	(76, 329503.0)	(78, 334256.0)	(80, 386309.0)	(82, 403437.0)	(84, 443902.0)	(86, 541846.0)	(88, 576450.0)	(90, 695425.0)	(92, 816053.0)	(94, 1139451.0)	(96, 1611802.0)	(98, 3796777.0)	(100, 10456574.0)
ERR950168_2_val_2	(50, 89767.0)	(52, 104285.0)	(54, 108341.0)	(56, 120681.0)	(58, 127937.0)	(60, 150438.0)	(62, 154147.0)	(64, 171431.0)	(66, 180426.0)	(68, 219967.0)	(70, 252942.0)	(72, 251615.0)	(74, 283136.0)	(76, 282136.0)	(78, 309188.0)	(80, 421165.0)	(82, 347852.0)	(84, 381847.0)	(86, 436159.0)	(88, 456423.0)	(90, 566093.0)	(92, 656301.0)	(94, 874285.0)	(96, 1194580.0)	(98, 3541957.0)	(100, 12186692.0)
ERR950169_1_val_1	(50, 129681.0)	(52, 151480.0)	(54, 164536.0)	(56, 200896.0)	(58, 226286.0)	(60, 268902.0)	(62, 287056.0)	(64, 329282.0)	(66, 361416.0)	(68, 410086.0)	(70, 504151.0)	(72, 548012.0)	(74, 584913.0)	(76, 670090.0)	(78, 661360.0)	(80, 702246.0)	(82, 750956.0)	(84, 831916.0)	(86, 959778.0)	(88, 1020773.0)	(90, 1152007.0)	(92, 1278877.0)	(94, 1618008.0)	(96, 2197564.0)	(98, 4430469.0)	(100, 10698944.0)
