Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR950158_1_val_1	ERR950158_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34815837.0	3.2 Gbp	0.0	50-101	43.0	53.20841259089849	93.8209035876403	98	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
ERR950158_2_val_2	ERR950158_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34815837.0	3.2 Gbp	0.0	50-101	42.0	56.84487601238827	94.01279413446242	100	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
ERR950159_1_val_1	ERR950159_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20140016.0	1.8 Gbp	0.0	50-101	44.0	70.56706526435137	92.0980302101051	98	pass	pass	pass	pass	warn	warn	warn	warn	pass	warn	pass
ERR950159_2_val_2	ERR950159_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20140016.0	1.9 Gbp	0.0	50-101	43.0	38.669133631250155	94.28166204038766	100	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
ERR950160_1_val_1	ERR950160_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29046345.0	2.7 Gbp	0.0	50-101	43.0	41.76317502786199	93.7261029055463	98	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR950160_2_val_2	ERR950160_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29046345.0	2.7 Gbp	0.0	50-101	42.0	45.262624604634915	94.10997998199085	100	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
ERR950161_1_val_1	ERR950161_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36318028.0	3.3 Gbp	0.0	50-101	43.0	47.77071109496032	92.04048209886285	98	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR950161_2_val_2	ERR950161_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36318028.0	3.3 Gbp	0.0	50-101	42.0	51.20883202602046	92.62281624982502	100	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
ERR950162_1_val_1	ERR950162_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34944657.0	3.1 Gbp	0.0	50-101	43.0	12.325213222705631	91.16194714688429	98	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR950162_2_val_2	ERR950162_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34944657.0	3.1 Gbp	0.0	50-101	43.0	13.368633147959178	91.17042500946569	98	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR950163_1_val_1	ERR950163_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22049159.0	2 Gbp	0.0	50-101	43.0	57.18367977142211	93.45214633809843	98	pass	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
