Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR950158_1_val_1	46.79158740910151	43.0	93.8209035876403	98	9.090909090909092	34.815837
ERR950158_2_val_2	43.15512398761173	42.0	94.01279413446242	100	9.090909090909092	34.815837
ERR950159_1_val_1	29.43293473564863	44.0	92.0980302101051	98	0.0	20.140016
ERR950159_2_val_2	61.330866368749845	43.0	94.28166204038766	100	18.181818181818183	20.140016
ERR950160_1_val_1	58.23682497213801	43.0	93.7261029055463	98	27.27272727272727	29.046345
ERR950160_2_val_2	54.737375395365085	42.0	94.10997998199085	100	18.181818181818183	29.046345
ERR950161_1_val_1	52.22928890503968	43.0	92.04048209886285	98	27.27272727272727	36.318028
ERR950161_2_val_2	48.79116797397954	42.0	92.62281624982502	100	9.090909090909092	36.318028
ERR950162_1_val_1	87.67478677729437	43.0	91.16194714688429	98	36.36363636363637	34.944657
ERR950162_2_val_2	86.63136685204083	43.0	91.17042500946569	98	36.36363636363637	34.944657
ERR950163_1_val_1	42.81632022857789	43.0	93.45214633809843	98	18.181818181818183	22.049159
ERR950163_2_val_2	41.445396751087905	42.0	93.57972272321135	98	9.090909090909092	22.049159
ERR950164_1_val_1	42.59257049827197	43.0	94.05571582863801	98	18.181818181818183	17.253885
ERR950164_2_val_2	39.594437360436544	42.0	94.35349050373293	100	9.090909090909092	17.253885
ERR950165_1_val_1	47.85251174142591	43.0	94.67832684079963	98	18.181818181818183	22.09461
ERR950165_2_val_2	45.32338459108125	42.0	95.2443793757844	100	9.090909090909092	22.09461
ERR950166_1_val_1	17.27098391215958	43.0	93.03303649546196	98	9.090909090909092	25.108656
ERR950166_2_val_2	44.39781320657915	42.0	94.59818008578397	100	9.090909090909092	25.108656
ERR950167_1_val_1	91.26571024520277	44.0	92.38078412098339	98	36.36363636363637	31.463358999999997
ERR950167_2_val_2	90.36876497192048	44.0	92.99206176619603	100	36.36363636363637	31.463358999999997
ERR950168_1_val_1	64.9391745433168	45.0	93.45100841058893	98	9.090909090909092	23.869791
ERR950168_2_val_2	64.01355811576924	44.0	94.11761181738039	100	18.181818181818183	23.869791
ERR950169_1_val_1	38.93347668603322	45.0	91.1686788257492	96	18.181818181818183	31.139685
ERR950169_2_val_2	74.04120547090224	45.0	93.55084531201905	98	18.181818181818183	31.139685
